Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo9345_rep1_Dep6_Tu5,0.708,0.763,6.550,3.323,3.459,5.485,7.438,6.103,8.043,2.513,1.800,2.129,1.108,0.717,1.420,1.407,1.400,1.156,1.576,2.089,0.020,0.190,1.336,0.326,0.055,0.699,0.138,0.242,0.001,0.341,0.314,0.537,0.673,3.897,1.786,0.527,0.824,0.941,2.050,1.939,0.818,0.858,0.398,1.023,1.461,5.626,2.684,4.773,1.353,4.983
Colo9345_rep8_Dep6_Tu30,2.007,1.872,1.012,2.480,3.111,6.267,2.911,3.565,7.395,2.245,1.987,2.876,0.313,0.710,0.982,0.256,1.230,2.435,0.352,0.978,1.391,1.194,1.041,0.504,0.885,0.670,0.135,1.008,0.093,1.542,0.293,0.223,1.513,0.811,2.263,1.191,0.660,0.233,2.875,0.841,2.736,3.063,4.178,2.559,0.938,8.919,6.253,3.126,1.202,2.679
Colo9345_rep5_Dep6_Tu1,1.152,1.760,2.250,10.221,6.963,9.524,6.870,9.874,9.959,3.579,3.794,0.208,1.157,0.468,1.432,1.206,1.291,1.246,1.407,0.392,1.116,0.796,0.015,0.204,0.193,0.392,0.481,0.059,0.001,0.014,0.088,0.092,2.936,1.077,2.186,0.115,0.248,0.206,1.552,0.527,0.005,5.852,0.011,0.037,0.027,6.548,0.059,0.199,0.008,0.202
Colo9345_rep5_Dep6_Tu20,1.425,1.172,1.643,2.615,0.864,2.763,3.353,0.491,0.768,0.723,0.096,1.040,0.501,0.942,2.888,1.289,0.620,3.034,1.529,1.103,0.416,1.130,1.661,1.150,1.814,0.953,0.402,0.423,1.000,2.488,0.423,1.380,0.881,1.942,0.188,0.287,3.285,0.921,0.938,1.293,6.983,6.024,7.070,0.871,5.835,0.234,3.653,12.979,2.832,1.685
Colo9345_rep7_Dep6_Tu20,1.137,2.062,0.943,1.212,1.117,2.281,1.412,1.932,0.539,1.595,0.167,1.806,0.804,0.450,2.643,2.052,1.347,0.626,1.534,2.139,0.891,0.534,1.774,1.839,0.447,0.512,0.049,0.307,1.192,3.632,0.695,0.855,0.962,0.644,0.938,0.862,3.615,0.014,1.671,1.972,5.350,1.134,1.771,8.523,1.027,4.201,9.250,4.291,3.141,10.110
Colo9345_rep6_Dep6_Tu2,0.057,0.286,9.875,9.587,4.546,10.482,12.480,2.269,1.724,2.200,0.529,4.490,0.091,1.147,1.419,1.714,1.930,0.557,2.054,0.945,0.853,1.207,0.099,0.016,0.674,0.461,0.419,0.177,0.315,0.103,0.179,0.016,1.431,5.858,1.853,0.090,0.678,0.043,0.574,1.175,0.145,7.299,0.142,0.330,0.208,4.164,1.948,0.927,0.170,0.065
Colo9345_rep10_Dep6_Tu10,0.937,1.868,2.889,3.819,11.724,3.782,4.870,9.200,10.269,2.744,0.299,4.222,0.655,0.474,1.204,1.659,1.670,1.343,1.104,1.524,1.085,0.619,0.083,0.121,0.023,0.511,0.138,0.162,0.457,0.312,0.048,0.096,2.038,6.284,1.279,0.180,0.634,0.874,0.551,1.001,0.122,11.425,0.205,0.054,0.256,0.648,0.428,1.758,0.222,2.129
Colo9345_rep1_Dep6_Tu10,0.438,1.194,7.075,3.116,6.314,0.455,1.434,1.278,4.584,1.812,2.264,1.766,0.744,0.981,1.518,2.220,1.959,1.785,0.956,1.511,1.109,0.265,1.217,0.710,1.208,0.765,0.362,0.359,0.903,1.624,0.225,0.411,0.985,2.228,1.517,1.221,1.360,0.792,1.238,1.713,2.554,8.227,2.706,5.196,1.450,2.761,3.059,7.832,0.401,2.199
Colo9345_rep3_Dep6_Tu30,0.978,0.964,0.024,0.773,0.084,0.444,0.710,1.583,0.045,0.077,1.713,1.248,0.746,1.023,1.816,1.946,1.858,1.788,0.633,1.487,1.246,0.575,0.395,1.553,0.471,0.648,0.773,1.396,1.450,1.544,1.108,0.598,0.671,0.389,0.983,2.339,1.071,1.405,0.857,1.302,13.210,2.763,7.424,11.302,6.949,3.707,7.878,3.599,2.272,0.181
Colo9345_rep6_Dep6_Tu1,1.553,0.959,2.146,7.707,11.691,4.967,12.791,8.326,10.294,3.001,1.320,3.703,1.388,0.770,0.740,0.419,1.435,1.467,0.340,0.581,0.222,0.009,1.544,0.149,0.327,0.382,0.290,0.137,0.028,0.021,0.074,0.177,4.440,1.600,0.084,0.446,0.021,0.356,1.238,0.697,0.031,1.648,0.024,0.071,0.007,9.457,0.550,0.323,0.019,0.031
