Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo9345_rep1_Dep6_Tu5,0.000,5.279,21.337,0.505,36.700,0.000,0.015,0.028,0.191,0.065,1.114,0.004,34.762
Colo9345_rep8_Dep6_Tu30,0.000,8.652,34.615,1.106,28.981,0.000,0.002,0.005,0.009,0.007,0.388,0.000,26.234
Colo9345_rep5_Dep6_Tu1,0.000,1.632,1.573,0.048,50.273,0.000,0.006,0.000,0.095,0.028,1.546,0.005,44.794
Colo9345_rep5_Dep6_Tu20,0.000,11.352,58.078,4.328,8.635,0.423,0.022,0.103,0.102,0.275,1.627,0.051,15.004
Colo9345_rep7_Dep6_Tu20,0.002,11.287,60.357,2.916,10.735,0.083,0.044,0.015,0.056,0.130,0.297,0.005,14.073
Colo9345_rep6_Dep6_Tu2,0.000,3.144,6.961,0.480,43.627,0.000,0.007,0.168,0.084,0.042,1.675,0.002,43.810
Colo9345_rep10_Dep6_Tu10,0.000,3.813,9.065,1.151,42.580,0.000,0.010,0.061,0.053,0.008,1.924,0.024,41.311
Colo9345_rep1_Dep6_Tu10,0.000,10.969,36.568,2.241,23.466,0.003,0.016,0.071,0.059,0.019,0.769,0.007,25.812
Colo9345_rep3_Dep6_Tu30,0.004,11.557,74.192,4.104,2.100,0.614,0.000,0.056,0.004,0.045,0.280,0.001,7.042
Colo9345_rep6_Dep6_Tu1,0.000,1.349,1.213,0.359,49.521,0.000,0.012,0.050,0.015,0.015,0.885,0.004,46.576
Colo9345_rep2_Dep6_Tu10,0.002,10.005,38.077,1.324,24.863,0.001,0.005,0.014,0.011,0.047,0.313,0.007,25.331
Colo9345_rep6_Dep6_Tu5,0.000,5.376,19.523,1.196,36.603,0.000,0.008,0.060,0.050,0.043,0.786,0.009,36.345
Colo9345_rep5_Dep6_Tu10,0.005,8.522,38.026,1.265,24.350,0.001,0.011,0.058,0.028,0.177,1.443,0.002,26.110
Colo9345_rep5_Dep6_Tu40,0.029,8.149,81.680,7.384,0.373,0.721,0.052,0.162,0.162,0.138,0.330,0.007,0.814
Colo9345_rep1_Dep6_Tu0.1,0.000,0.000,0.000,0.000,45.686,0.000,0.014,0.089,0.049,0.046,2.635,0.041,51.441
Colo9345_rep3_Dep6_Tu10,0.001,8.049,37.906,1.589,25.626,0.001,0.010,0.026,0.008,0.015,0.683,0.004,26.081
Colo9345_rep4_Dep6_Tu2,0.000,3.598,6.378,0.239,46.037,0.000,0.004,0.055,0.047,0.009,1.355,0.001,42.276
Colo9345_rep2_Dep6_Tu20,0.005,14.018,58.219,4.784,7.691,0.035,0.025,0.032,0.005,0.034,0.383,0.011,14.756
