Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo9345_rep1_Dep6_Tu5,1.054,3.878,0.058,15.729,44.960,4.307,4.584,6.990,8.693,6.265,0.000,3.446,0.036
Colo9345_rep8_Dep6_Tu30,2.418,11.978,0.409,22.773,34.560,4.651,5.294,14.168,0.322,0.710,0.215,2.173,0.329
Colo9345_rep5_Dep6_Tu1,0.000,0.000,0.227,0.929,55.883,0.000,0.432,16.129,1.150,17.707,0.000,7.311,0.233
Colo9345_rep5_Dep6_Tu20,3.416,14.308,1.037,36.006,18.390,9.279,0.339,0.000,0.000,11.080,0.000,4.447,1.698
Colo9345_rep7_Dep6_Tu20,6.577,9.957,1.523,42.173,22.496,7.830,4.576,0.000,0.000,3.627,0.000,1.087,0.154
Colo9345_rep6_Dep6_Tu2,0.000,0.000,0.166,4.307,51.953,3.063,0.901,7.835,0.925,22.172,0.000,7.004,1.673
Colo9345_rep10_Dep6_Tu10,0.057,0.000,0.365,7.985,50.970,3.541,3.136,12.011,1.396,9.654,0.000,7.747,3.137
Colo9345_rep1_Dep6_Tu10,1.395,7.441,1.183,25.116,32.205,4.673,0.474,1.589,1.726,20.236,0.000,3.711,0.251
Colo9345_rep3_Dep6_Tu30,6.844,12.818,2.163,49.882,13.512,11.043,0.000,0.000,0.000,1.954,0.000,1.784,0.000
Colo9345_rep6_Dep6_Tu1,0.000,0.145,0.027,1.657,60.497,0.000,2.362,21.672,1.090,8.204,0.000,4.112,0.233
Colo9345_rep2_Dep6_Tu10,6.336,14.684,0.468,22.621,33.244,7.032,1.144,8.277,0.000,1.559,0.000,2.124,2.512
Colo9345_rep6_Dep6_Tu5,4.045,0.860,0.190,12.998,46.627,7.124,3.750,5.760,9.724,4.784,0.000,4.031,0.108
Colo9345_rep5_Dep6_Tu10,4.228,10.031,2.064,23.461,32.429,3.931,0.265,10.013,0.008,9.400,0.171,3.442,0.556
Colo9345_rep5_Dep6_Tu40,7.582,9.946,2.433,55.989,9.283,11.880,0.000,0.000,0.000,2.886,0.000,0.000,0.000
Colo9345_rep1_Dep6_Tu0.1,0.000,0.000,0.000,0.007,62.300,0.000,6.120,27.521,0.218,0.419,0.050,3.040,0.325
Colo9345_rep3_Dep6_Tu10,8.332,0.000,1.208,24.380,34.771,7.646,6.932,0.707,0.000,7.010,0.596,4.767,3.652
Colo9345_rep4_Dep6_Tu2,0.150,0.338,0.075,5.209,51.661,0.888,0.324,23.162,0.918,12.149,0.000,5.081,0.046
Colo9345_rep2_Dep6_Tu20,4.329,13.060,0.839,40.015,21.569,8.584,3.672,0.000,0.000,5.529,0.000,2.402,0.000
Colo9345_rep3_Dep6_Tu50,6.199,10.807,4.532,59.844,5.076,13.542,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo9345_rep6_Dep6_Tu0.1,0.000,0.000,0.000,0.000,59.769,0.000,6.568,11.098,8.355,8.073,0.000,6.098,0.039
Colo9345_rep3_Dep6_Tu40,9.055,6.917,7.344,55.471,8.404,11.540,0.000,0.000,0.000,1.268,0.000,0.000,0.000
Colo9345_rep6_Dep6_Tu3,1.755,0.000,0.000,5.934,51.415,4.253,8.029,7.210,7.422,9.939,0.000,3.901,0.143
Colo9345_rep9_Dep6_Tu50,8.542,1.275,0.975,43.149,23.318,6.793,9.156,0.000,0.000,4.897,0.000,1.535,0.359
Colo9345_rep1_Dep6_Tu3,2.039,0.000,0.034,5.755,48.605,5.023,8.635,4.876,0.876,10.003,0.000,8.191,5.964
Colo9345_rep6_Dep6_Tu30,11.386,3.909,2.237,48.590,12.718,10.817,0.000,0.000,0.000,8.077,0.000,2.268,0.000
Colo9345_rep1_Dep6_Tu20,2.587,10.028,2.633,37.903,21.001,8.703,0.000,0.000,0.000,13.361,0.000,1.643,2.141
Colo9345_rep4_Dep6_Tu0.5,0.025,0.000,0.037,0.084,52.860,0.055,0.452,10.709,3.599,23.184,0.000,8.817,0.175
Colo9345_rep9_Dep6_Tu10,0.006,0.500,0.357,6.916,49.440,0.735,0.303,18.801,0.000,10.626,0.084,4.130,8.100
Colo9345_rep3_Dep6_Tu1,0.096,0.000,0.035,0.524,54.758,0.000,0.420,21.984,0.170,12.490,0.000,6.770,2.753
Colo9345_rep7_Dep6_Tu0.1,0.000,0.000,0.024,0.010,64.786,0.000,5.934,23.181,0.651,2.669,0.260,2.383,0.102
Colo9345_rep4_Dep6_Tu20,3.990,13.407,0.834,39.096,20.652,7.977,0.382,0.000,0.000,9.283,0.000,1.443,2.936
