Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo9345_rep1_Dep6_Tu5,1.977,2.282,1.272,14.754,3.850,3.860,3.238,0.000,0.626,8.881,7.599,3.089,48.573
Colo9345_rep8_Dep6_Tu30,2.883,1.257,3.701,25.185,4.768,5.472,2.333,0.903,0.000,4.163,6.876,1.606,40.854
Colo9345_rep5_Dep6_Tu1,1.018,1.039,0.499,3.573,4.800,0.000,3.280,0.275,2.518,11.303,9.105,3.035,59.556
Colo9345_rep5_Dep6_Tu20,5.643,5.828,3.921,36.498,2.349,10.410,1.524,0.000,0.507,0.484,5.910,0.905,26.020
Colo9345_rep7_Dep6_Tu20,5.047,3.391,4.091,38.117,3.368,9.942,2.067,1.754,0.000,0.558,5.372,0.267,26.026
Colo9345_rep6_Dep6_Tu2,0.000,0.657,0.723,7.115,3.271,2.147,2.869,0.000,3.387,11.554,9.157,1.987,57.134
Colo9345_rep10_Dep6_Tu10,0.000,1.866,0.654,9.878,3.349,1.254,3.955,0.000,1.228,11.226,8.428,2.978,55.183
Colo9345_rep1_Dep6_Tu10,4.199,5.007,1.866,24.975,1.960,6.921,2.095,0.000,1.518,3.727,7.354,1.130,39.249
Colo9345_rep3_Dep6_Tu30,7.374,5.051,4.962,44.688,1.579,12.590,0.516,0.000,0.000,0.000,4.333,0.115,18.792
Colo9345_rep6_Dep6_Tu1,0.038,0.003,0.842,3.909,5.358,0.158,3.083,0.000,2.395,12.190,7.645,2.893,61.486
Colo9345_rep2_Dep6_Tu10,3.896,3.074,2.439,25.625,4.628,5.494,1.332,1.692,0.000,5.873,5.313,1.482,39.153
Colo9345_rep6_Dep6_Tu5,1.335,0.000,1.577,14.806,3.525,3.659,2.291,0.000,2.300,10.073,8.328,2.683,49.424
Colo9345_rep5_Dep6_Tu10,3.788,2.468,3.198,24.916,2.678,5.959,1.984,1.219,0.000,7.624,6.780,0.436,38.949
Colo9345_rep5_Dep6_Tu40,7.435,5.220,4.428,50.675,2.442,13.727,0.133,0.000,0.000,0.000,2.734,0.000,13.206
Colo9345_rep1_Dep6_Tu0.1,0.000,0.357,0.000,0.088,4.476,0.000,4.135,0.000,1.685,14.076,7.733,3.234,64.216
Colo9345_rep3_Dep6_Tu10,6.022,0.000,2.623,26.103,3.670,5.568,2.984,1.973,0.000,3.810,6.479,1.387,39.382
Colo9345_rep4_Dep6_Tu2,0.893,1.489,0.489,7.116,6.440,1.489,2.581,0.000,4.955,7.907,8.355,1.347,56.940
Colo9345_rep2_Dep6_Tu20,4.850,5.944,3.704,37.454,3.543,9.852,1.784,0.253,0.000,0.000,5.517,0.945,26.155
Colo9345_rep3_Dep6_Tu50,8.085,5.342,5.248,54.848,0.100,14.892,0.000,0.000,0.000,0.000,2.076,0.000,9.408
Colo9345_rep6_Dep6_Tu0.1,0.000,0.000,0.258,0.240,3.122,0.000,4.609,0.000,4.933,14.409,8.814,1.055,62.559
Colo9345_rep3_Dep6_Tu40,7.170,4.571,5.581,51.206,0.927,14.038,0.000,0.000,0.000,0.000,2.963,0.000,13.543
Colo9345_rep6_Dep6_Tu3,0.878,0.000,0.000,9.323,6.466,2.663,3.851,0.000,4.474,8.942,7.509,1.445,54.448
Colo9345_rep9_Dep6_Tu50,4.337,1.638,3.623,39.384,5.349,8.643,2.684,0.000,0.000,1.615,4.902,0.203,27.622
Colo9345_rep1_Dep6_Tu3,3.161,0.000,1.232,10.060,3.076,2.906,3.694,0.000,1.270,8.919,9.525,2.764,53.393
Colo9345_rep6_Dep6_Tu30,7.305,3.686,4.822,44.776,3.032,12.879,0.961,0.000,0.000,0.000,4.352,0.000,18.188
Colo9345_rep1_Dep6_Tu20,5.409,5.831,3.764,37.628,3.127,10.063,0.000,0.000,0.708,0.000,5.828,0.669,26.975
Colo9345_rep4_Dep6_Tu0.5,1.362,1.082,0.500,1.138,3.959,1.158,2.580,0.000,3.032,11.189,9.069,3.150,61.781
Colo9345_rep9_Dep6_Tu10,1.106,2.555,0.966,8.556,3.328,1.652,3.160,0.000,0.000,10.957,8.613,2.899,56.208
Colo9345_rep3_Dep6_Tu1,0.300,0.000,0.667,3.716,4.883,0.242,3.614,0.349,1.619,13.055,8.055,3.061,60.438
Colo9345_rep7_Dep6_Tu0.1,0.000,0.000,0.524,0.878,3.132,0.160,2.849,2.249,1.862,13.833,7.994,2.192,64.327
Colo9345_rep4_Dep6_Tu20,5.541,4.551,4.240,37.199,2.400,10.108,1.674,0.000,1.095,0.167,4.794,1.140,27.090
Colo9345_rep7_Dep6_Tu5,3.853,0.000,2.429,15.551,2.643,4.163,3.380,0.294,0.000,7.828,7.974,2.692,49.192
Colo9345_rep10_Dep6_Tu50,7.019,7.311,1.828,36.789,1.326,8.224,2.205,1.181,0.000,1.852,3.618,0.253,28.394
Colo9345_rep2_Dep6_Tu50,7.674,4.392,6.193,54.962,0.000,15.352,0.000,0.000,0.000,0.000,2.239,0.000,9.188
Colo9345_rep10_Dep6_Tu40,4.737,5.320,2.219,29.674,3.545,8.337,1.549,0.539,2.352,1.731,4.423,0.798,34.775
Colo9345_rep9_Dep6_Tu20,3.364,0.000,1.875,15.703,3.986,4.918,2.222,0.000,1.742,7.949,6.903,2.561,48.777
