Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo9345_rep1_Dep6_Tu5,0.011,0.095,5.672,0.236,3.531,1.615,10.472,1.073,5.473,1.788,0.128,0.782,0.054,0.035,0.082,0.115,0.397,1.047,0.024,0.765,0.018,0.022,0.030,0.000,0.002,0.000,0.000,0.000,0.001,0.161,0.000,0.001,0.002,23.125,0.001,0.006,0.002,0.048,7.777,35.406
Colo9345_rep8_Dep6_Tu30,0.120,0.096,1.283,2.298,1.584,2.497,9.501,2.883,1.280,0.310,0.343,1.526,0.056,0.013,0.454,0.116,0.149,0.337,0.055,0.236,0.028,0.023,0.102,0.000,0.009,0.001,0.000,0.000,0.031,0.387,0.063,0.018,0.038,24.028,0.002,0.095,0.072,0.014,27.860,22.092
Colo9345_rep5_Dep6_Tu1,0.060,0.027,1.971,3.828,0.356,1.447,13.747,13.822,2.341,2.692,0.726,1.461,0.008,0.035,0.843,0.865,0.933,1.099,0.015,0.013,0.014,0.034,0.004,0.000,0.001,0.000,0.000,0.000,0.002,0.006,0.000,0.000,0.000,48.161,0.000,0.001,0.000,1.688,1.257,2.544
Colo9345_rep5_Dep6_Tu20,0.086,0.107,2.729,1.257,0.624,4.773,0.871,0.683,1.452,1.576,0.416,0.242,0.096,0.039,0.203,0.374,0.356,0.225,0.172,0.819,0.034,0.061,0.024,0.001,0.001,0.000,0.000,0.000,0.031,1.586,0.291,0.205,0.103,7.574,0.024,0.015,0.001,5.540,57.077,10.330
Colo9345_rep7_Dep6_Tu20,0.094,0.085,0.826,1.294,2.991,0.346,1.116,0.944,4.217,0.772,0.354,0.718,0.057,0.038,0.271,0.297,0.052,0.434,0.112,0.026,0.008,0.074,0.007,0.002,0.011,0.001,0.000,0.001,0.006,1.154,0.299,0.065,0.265,5.757,0.006,0.032,0.214,1.395,54.363,21.294
Colo9345_rep6_Dep6_Tu2,0.029,0.023,2.834,1.980,1.107,2.638,20.180,4.779,5.650,1.867,1.008,1.051,0.073,0.003,0.498,0.365,0.924,0.231,0.127,0.282,0.009,0.023,0.021,0.000,0.000,0.000,0.000,0.000,0.002,0.151,0.000,0.000,0.000,38.391,0.001,0.000,0.000,3.623,3.625,8.504
Colo9345_rep10_Dep6_Tu10,0.080,0.033,2.451,6.415,3.135,5.311,3.742,9.266,2.698,2.889,1.319,0.482,0.068,0.039,0.873,1.208,0.666,0.933,0.026,0.134,0.010,0.008,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.431,0.000,0.000,0.001,37.895,0.000,0.003,0.003,0.589,4.898,14.349
Colo9345_rep1_Dep6_Tu10,0.009,0.044,1.861,1.784,2.908,3.714,3.711,4.419,2.927,1.085,0.463,0.424,0.020,0.017,0.423,0.667,0.744,0.625,0.089,0.220,0.023,0.025,0.013,0.000,0.000,0.000,0.000,0.000,0.005,0.864,0.001,0.022,0.005,15.843,0.005,0.000,0.000,5.012,29.426,22.604
Colo9345_rep3_Dep6_Tu30,0.030,0.092,0.431,0.697,0.824,0.332,0.940,1.127,1.117,0.501,0.453,0.325,0.021,0.054,0.363,0.151,0.252,0.112,0.017,0.035,0.031,0.001,0.048,0.000,0.010,0.002,0.002,0.000,0.181,1.610,0.301,0.427,0.448,0.192,0.006,0.298,0.081,3.101,70.690,14.699
Colo9345_rep6_Dep6_Tu1,0.002,0.079,2.531,2.204,1.983,2.010,18.885,5.203,6.730,1.471,1.797,1.457,0.070,0.006,0.926,0.100,0.792,0.293,0.322,0.043,0.038,0.007,0.047,0.000,0.001,0.000,0.000,0.000,0.000,0.347,0.000,0.000,0.001,48.110,0.001,0.000,0.016,0.099,1.074,3.355
