Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Colo9345_rep1_Dep6_Tu5,0.182,0.197,4.401,0.374,3.352,4.882,5.627,7.672,7.611,2.465,0.559,0.825,0.109,0.122,0.255,1.009,1.917,0.929,0.165,0.465,0.009,0.124,0.056,0.004,0.000,0.000,0.003,0.001,0.010,0.029,0.000,0.000,36.846,0.004,0.051,0.010,0.000,0.000,0.035,0.766,18.931
Colo9345_rep8_Dep6_Tu30,0.489,0.298,4.365,3.776,4.178,4.564,5.689,1.792,1.548,1.297,2.044,0.811,0.188,0.078,1.647,1.150,0.568,0.531,0.470,0.184,0.177,0.219,0.090,0.001,0.156,0.006,0.005,0.004,0.023,0.462,0.026,0.037,31.727,0.038,0.213,0.304,0.071,0.019,0.084,0.262,30.411
Colo9345_rep5_Dep6_Tu1,0.057,0.012,4.517,0.499,4.260,3.402,22.686,6.345,1.665,1.486,1.397,0.913,0.022,0.020,0.786,0.544,0.403,0.381,0.049,0.261,0.001,0.019,0.046,0.000,0.000,0.000,0.000,0.000,0.001,0.023,0.000,0.000,47.187,0.002,0.004,0.001,0.000,0.000,0.004,0.348,2.659
Colo9345_rep5_Dep6_Tu20,0.277,0.738,0.225,2.416,2.768,3.712,2.709,3.403,0.032,0.709,2.219,0.927,0.261,0.171,1.339,1.140,0.336,1.357,1.138,0.698,0.422,0.314,0.038,0.023,0.102,0.015,0.018,0.008,0.450,1.788,0.364,0.298,12.738,0.213,0.179,0.172,0.224,0.561,0.823,5.423,49.252
Colo9345_rep7_Dep6_Tu20,0.312,0.587,2.530,3.070,3.985,0.827,4.196,0.106,0.663,1.605,0.645,1.725,0.194,0.235,2.684,0.367,0.421,0.176,1.062,1.306,0.092,0.089,0.721,0.074,0.091,0.019,0.014,0.042,0.128,1.530,0.260,0.100,14.897,0.075,0.367,0.165,0.482,0.035,2.629,0.662,50.828
Colo9345_rep6_Dep6_Tu2,0.033,0.002,4.101,0.726,2.881,3.678,24.639,6.179,1.488,1.044,0.779,1.168,0.017,0.025,0.243,0.532,0.189,0.471,0.204,0.360,0.012,0.018,0.030,0.000,0.001,0.000,0.000,0.000,0.000,0.024,0.000,0.000,40.829,0.008,0.001,0.000,0.000,0.000,0.000,3.771,6.544
Colo9345_rep10_Dep6_Tu10,0.117,0.051,0.256,4.350,3.833,4.433,8.794,9.105,9.412,0.180,2.043,0.719,0.028,0.107,0.660,0.505,1.011,1.108,0.393,0.012,0.024,0.045,0.035,0.000,0.002,0.000,0.000,0.000,0.000,0.256,0.000,0.000,42.394,0.001,0.005,0.000,0.000,0.000,0.003,0.813,9.303
Colo9345_rep1_Dep6_Tu10,0.046,0.194,0.151,3.063,4.088,4.346,4.334,3.532,5.558,1.453,0.456,1.376,0.122,0.027,1.052,0.185,1.271,1.317,0.404,0.483,0.034,0.140,0.174,0.002,0.019,0.004,0.003,0.000,0.032,0.940,0.002,0.003,24.736,0.042,0.075,0.041,0.001,0.011,0.009,8.529,31.745
Colo9345_rep3_Dep6_Tu30,0.076,0.742,1.549,0.896,1.301,1.847,1.857,0.068,1.636,1.044,2.250,0.330,0.274,0.321,1.424,0.465,1.342,0.790,1.319,0.945,0.342,0.086,0.592,0.077,0.587,0.063,0.011,0.032,1.083,1.557,0.227,0.632,5.983,0.272,0.628,0.057,0.888,0.147,4.125,0.498,61.640
Colo9345_rep6_Dep6_Tu1,0.092,0.037,2.238,4.358,1.771,0.815,23.156,4.407,8.243,0.780,0.609,2.056,0.021,0.049,0.167,0.458,0.165,0.473,0.078,0.338,0.017,0.018,0.026,0.000,0.001,0.000,0.000,0.000,0.000,0.269,0.000,0.000,47.227,0.007,0.003,0.000,0.000,0.000,0.030,0.061,2.029
