Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo9345_rep1_Dep6_Tu5,5.784,2.184,19.691,13.410,1.621,8.392,0.000,5.530,0.778,3.400,4.411,0.000,0.000,2.780,0.000,0.000,1.056,2.252,0.000,0.356,0.000,0.737,1.758,1.640,0.000,0.000,0.000,0.000,4.649,6.389,2.243,3.657,0.064,0.793,1.344,0.000,1.439,0.000,1.788,1.856
Colo9345_rep8_Dep6_Tu30,3.879,2.394,13.071,15.094,2.599,1.693,0.277,7.600,1.934,3.405,2.726,0.000,0.000,2.354,2.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.832,1.251,0.000,0.000,0.000,0.605,5.875,10.537,5.262,3.743,0.523,0.578,1.680,0.000,2.088,0.000,2.919,2.974
Colo9345_rep5_Dep6_Tu1,3.944,4.927,18.059,22.869,3.836,13.124,0.000,0.000,2.138,10.522,0.792,0.000,0.000,2.366,3.061,0.000,1.289,0.000,0.000,0.514,0.000,0.000,2.301,0.000,0.000,0.000,0.261,0.000,0.194,1.259,1.314,0.981,0.000,1.110,1.082,1.173,0.214,0.000,1.245,1.425
Colo9345_rep5_Dep6_Tu20,0.000,3.206,9.698,8.782,0.428,5.132,0.000,2.333,0.754,1.417,2.259,0.915,0.000,1.917,2.496,0.699,0.000,0.000,0.000,0.000,0.000,0.000,2.628,1.529,0.000,0.000,0.000,1.330,9.565,17.809,9.637,4.212,2.123,1.365,0.000,0.000,2.759,0.000,3.741,3.263
Colo9345_rep7_Dep6_Tu20,2.963,0.000,8.868,2.053,1.137,9.751,0.000,5.100,0.000,0.000,3.987,1.593,0.000,1.344,4.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.402,1.744,0.000,0.000,0.000,1.211,10.270,18.108,9.408,4.037,2.063,0.584,0.285,0.000,2.495,0.000,2.541,3.632
Colo9345_rep6_Dep6_Tu2,6.058,2.576,25.493,17.126,0.000,8.962,1.935,4.304,0.000,4.825,4.358,0.000,0.000,1.994,0.096,0.021,2.773,0.000,2.504,0.000,0.000,0.000,2.402,0.639,0.000,0.000,0.000,0.000,0.448,3.254,2.100,1.039,0.000,1.625,0.622,0.000,1.049,0.000,0.948,2.849
Colo9345_rep10_Dep6_Tu10,5.061,3.237,21.652,18.091,5.602,9.705,1.730,0.000,0.000,6.339,2.362,0.000,0.000,2.365,0.000,1.549,1.517,0.000,1.052,0.000,1.516,0.000,1.095,0.727,0.000,0.000,0.000,0.000,1.036,4.545,1.776,1.756,0.000,1.019,1.067,0.000,1.273,0.000,1.294,2.634
Colo9345_rep1_Dep6_Tu10,2.834,1.430,12.241,11.675,1.948,8.170,0.000,5.286,1.021,6.073,0.487,0.000,0.000,1.536,1.776,0.000,2.513,0.000,0.000,0.272,0.000,0.000,2.718,1.477,0.000,0.000,0.000,0.438,5.770,12.895,6.425,2.475,0.671,0.911,0.958,0.000,1.747,0.190,3.502,2.560
Colo9345_rep3_Dep6_Tu30,1.760,0.000,10.634,2.188,0.811,5.253,0.000,0.433,0.087,0.000,0.298,4.204,0.000,1.079,3.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.246,1.506,0.000,0.000,0.000,2.225,13.152,21.146,11.614,4.522,3.203,0.103,0.548,0.000,2.606,0.584,4.017,2.564
Colo9345_rep6_Dep6_Tu1,3.301,7.481,24.197,17.316,10.158,6.641,0.470,0.779,2.149,7.406,2.892,0.000,0.000,2.152,1.825,0.000,0.000,0.949,0.000,0.000,0.000,0.000,2.312,0.043,0.000,0.000,0.000,0.000,0.000,1.311,1.100,0.833,0.000,0.506,1.378,0.885,0.000,0.000,1.964,1.953
Colo9345_rep2_Dep6_Tu10,2.453,3.361,8.817,12.658,6.639,7.159,0.000,4.400,0.876,1.042,5.784,0.000,0.320,1.095,3.668,0.176,0.000,0.000,0.000,0.000,0.000,0.000,2.293,1.334,0.000,0.000,0.000,0.458,6.519,11.515,5.378,3.397,1.231,0.000,1.099,0.000,2.291,0.000,3.112,2.925
Colo9345_rep6_Dep6_Tu5,6.668,1.536,19.449,12.402,5.476,7.920,0.000,4.521,0.515,5.257,2.279,0.000,0.000,2.162,0.744,0.969,0.000,0.000,2.114,0.000,0.213,0.000,2.391,1.639,0.000,0.000,0.000,0.000,4.061,5.972,3.609,2.396,0.092,1.351,0.618,0.000,1.641,0.000,0.878,3.127
Colo9345_rep5_Dep6_Tu10,4.553,2.762,14.557,10.119,2.160,6.890,0.000,2.831,2.202,3.856,2.954,1.379,0.000,1.471,2.941,0.348,0.000,0.000,0.000,0.000,0.000,0.000,2.183,1.582,0.000,0.000,0.000,0.000,6.730,11.600,5.431,3.299,1.053,1.675,0.000,0.000,2.260,0.000,1.494,3.670
Colo9345_rep5_Dep6_Tu40,0.073,0.000,3.489,0.042,1.676,4.838,0.000,3.666,0.136,0.000,1.077,1.715,0.000,1.379,3.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.914,2.444,0.000,0.000,0.000,1.703,14.872,24.122,13.473,5.060,3.632,0.824,0.000,0.000,3.326,0.000,1.962,4.044
Colo9345_rep1_Dep6_Tu0.1,6.074,4.920,26.764,21.210,5.403,9.774,0.000,1.107,0.000,6.641,4.108,0.000,0.000,2.925,0.924,0.000,0.000,0.257,0.047,1.851,0.000,0.000,2.146,0.016,0.000,0.000,0.288,0.000,0.000,0.000,0.926,0.000,0.000,0.000,1.671,0.327,0.342,0.000,1.116,1.161
