Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo9345_rep1_Dep6_Tu5,3.522,1.182,0.641,11.807,5.983,5.544,13.050,2.748,3.791,47.603,3.064,0.209,0.856
Colo9345_rep8_Dep6_Tu30,1.384,1.208,0.839,19.175,7.226,7.919,21.737,2.112,0.000,33.856,3.244,0.820,0.479
Colo9345_rep5_Dep6_Tu1,0.000,6.668,1.167,0.693,0.534,1.688,17.940,0.966,0.851,59.268,9.234,0.223,0.769
Colo9345_rep5_Dep6_Tu20,2.323,9.659,3.185,32.667,9.959,13.877,0.000,2.316,0.000,20.446,2.376,1.544,1.647
Colo9345_rep7_Dep6_Tu20,5.480,4.273,1.519,38.275,11.696,11.162,0.000,1.851,0.000,20.641,2.097,0.479,2.526
Colo9345_rep6_Dep6_Tu2,0.068,10.289,0.996,3.145,0.556,3.328,10.476,1.452,1.432,57.673,7.235,2.001,1.349
Colo9345_rep10_Dep6_Tu10,0.006,2.305,2.134,6.648,1.508,3.389,17.761,2.503,0.857,54.061,7.187,1.023,0.619
Colo9345_rep1_Dep6_Tu10,1.123,10.594,2.606,21.441,5.105,10.342,4.131,1.217,0.000,34.615,5.075,0.416,3.334
Colo9345_rep3_Dep6_Tu30,4.698,5.648,2.157,45.388,11.527,13.868,0.000,1.567,0.000,13.024,1.571,0.551,0.000
Colo9345_rep6_Dep6_Tu1,0.000,2.711,0.357,0.593,0.749,1.063,24.831,1.505,0.392,61.438,5.597,0.314,0.450
Colo9345_rep2_Dep6_Tu10,2.620,3.328,1.884,19.937,8.722,8.675,15.958,1.845,0.000,31.701,4.252,0.571,0.505
Colo9345_rep6_Dep6_Tu5,4.033,1.453,1.838,9.871,4.669,6.783,13.748,1.441,5.215,47.043,3.735,0.170,0.000
Colo9345_rep5_Dep6_Tu10,2.053,9.643,3.842,21.168,3.137,8.150,12.013,1.158,0.000,31.597,5.542,0.699,0.999
Colo9345_rep5_Dep6_Tu40,4.784,7.132,1.796,49.848,10.283,15.163,0.000,2.356,0.000,8.638,0.000,0.000,0.000
Colo9345_rep1_Dep6_Tu0.1,0.000,0.171,0.092,0.000,0.275,0.014,33.350,0.844,0.539,59.617,4.479,0.443,0.176
Colo9345_rep3_Dep6_Tu10,7.340,2.013,2.032,20.597,4.340,9.655,7.421,2.927,0.000,35.697,3.752,2.428,1.798
Colo9345_rep4_Dep6_Tu2,0.000,10.201,0.365,3.661,0.662,1.980,21.505,0.835,1.808,50.788,6.943,0.906,0.346
