Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo9345_rep1_Dep6_Tu5,0.904,4.478,0.774,11.413,1.730,5.161,2.100,5.467,0.902,7.125,8.510,2.184,49.253
Colo9345_rep8_Dep6_Tu30,0.075,7.745,0.685,17.976,1.240,7.183,1.729,8.899,0.000,5.360,7.020,0.811,41.276
Colo9345_rep5_Dep6_Tu1,1.148,2.084,2.157,1.454,2.884,3.362,2.957,0.000,0.092,9.358,11.350,3.227,59.927
Colo9345_rep5_Dep6_Tu20,0.000,9.888,0.000,30.646,0.000,10.142,0.016,17.915,0.000,0.354,5.682,0.000,25.357
Colo9345_rep7_Dep6_Tu20,0.000,8.539,0.000,31.343,0.000,9.929,0.000,18.507,0.000,0.000,6.534,0.000,25.148
Colo9345_rep6_Dep6_Tu2,0.793,3.662,1.339,4.404,2.762,3.572,2.569,0.228,2.834,8.427,9.468,2.566,57.378
Colo9345_rep10_Dep6_Tu10,0.650,3.803,1.513,6.138,2.475,3.820,2.757,1.441,1.231,8.069,9.164,2.702,56.239
Colo9345_rep1_Dep6_Tu10,0.000,7.901,0.444,20.888,0.614,6.910,1.253,11.896,0.203,2.953,7.441,0.000,39.497
Colo9345_rep3_Dep6_Tu30,0.000,9.310,0.000,37.793,0.000,11.550,0.000,19.635,0.000,0.000,4.894,0.000,16.818
Colo9345_rep6_Dep6_Tu1,0.835,2.979,1.847,0.634,2.947,3.411,2.935,0.000,0.000,10.477,9.813,2.738,61.383
Colo9345_rep2_Dep6_Tu10,0.000,8.157,0.878,19.761,0.453,6.952,1.156,10.530,0.000,4.873,7.573,0.000,39.667
Colo9345_rep6_Dep6_Tu5,0.973,4.631,1.048,10.671,1.491,5.231,2.151,3.117,3.402,7.489,8.018,1.500,50.279
Colo9345_rep5_Dep6_Tu10,0.000,7.175,0.695,19.900,0.773,6.926,0.939,10.281,0.000,6.109,8.904,0.000,38.299
Colo9345_rep5_Dep6_Tu40,0.000,7.885,0.000,43.020,0.000,12.938,0.000,22.955,0.000,0.000,3.200,0.000,10.001
Colo9345_rep1_Dep6_Tu0.1,1.495,0.394,1.942,0.000,3.196,2.658,2.911,0.000,0.000,9.989,9.296,3.835,64.284
Colo9345_rep3_Dep6_Tu10,0.550,6.591,0.639,19.220,0.702,7.262,0.938,11.830,0.000,3.847,7.975,0.565,39.881
Colo9345_rep4_Dep6_Tu2,0.555,3.333,1.203,4.710,3.423,3.846,2.624,0.522,1.840,8.321,8.983,3.041,57.601
Colo9345_rep2_Dep6_Tu20,0.000,9.503,0.000,31.171,0.000,9.910,0.000,17.771,0.000,0.027,5.785,0.000,25.833
Colo9345_rep3_Dep6_Tu50,0.000,8.649,0.000,46.993,0.000,13.535,0.000,23.504,0.000,0.000,1.440,0.000,5.879
Colo9345_rep6_Dep6_Tu0.1,1.515,0.964,1.677,0.000,3.362,2.623,3.036,0.000,0.000,10.250,9.721,3.262,63.590
Colo9345_rep3_Dep6_Tu40,0.000,8.782,0.000,43.201,0.000,12.733,0.000,22.190,0.000,0.000,2.419,0.000,10.675
Colo9345_rep6_Dep6_Tu3,1.632,4.052,0.781,6.245,2.208,4.521,2.316,2.533,1.079,7.664,8.742,2.852,55.376
Colo9345_rep9_Dep6_Tu50,0.000,10.199,0.000,30.289,0.000,9.532,0.310,15.789,0.000,0.308,5.462,0.000,28.111
Colo9345_rep1_Dep6_Tu3,1.315,5.291,0.856,6.746,1.256,4.095,2.385,1.963,0.000,8.633,10.031,2.894,54.536
Colo9345_rep6_Dep6_Tu30,0.000,8.240,0.000,37.850,0.000,11.876,0.000,21.550,0.000,0.000,3.978,0.000,16.507
Colo9345_rep1_Dep6_Tu20,0.000,10.002,0.000,31.669,0.000,9.446,0.000,18.555,0.000,0.000,4.301,0.000,26.026
Colo9345_rep4_Dep6_Tu0.5,1.388,1.669,1.724,0.630,2.609,3.004,3.476,0.000,0.000,10.734,7.950,3.495,63.321
Colo9345_rep9_Dep6_Tu10,0.939,2.944,1.332,6.822,2.806,3.338,2.899,0.609,0.000,8.667,9.547,3.322,56.776
Colo9345_rep3_Dep6_Tu1,0.515,2.168,1.901,1.535,3.344,3.454,2.722,0.000,0.000,9.196,10.216,3.998,60.949
Colo9345_rep7_Dep6_Tu0.1,1.418,0.429,1.857,0.000,3.659,2.695,3.091,0.000,0.000,9.381,10.419,3.175,63.876
Colo9345_rep4_Dep6_Tu20,0.000,9.292,0.000,31.478,0.000,9.705,0.000,17.823,0.000,0.089,4.726,0.000,26.888
Colo9345_rep7_Dep6_Tu5,0.663,5.503,1.059,11.090,1.485,5.010,1.980,5.776,0.000,7.174,8.244,2.023,49.993
Colo9345_rep10_Dep6_Tu50,0.000,9.407,0.000,30.829,0.000,9.091,0.117,15.741,0.000,2.377,4.773,0.000,27.665
Colo9345_rep2_Dep6_Tu50,0.000,8.780,0.000,46.355,0.000,13.938,0.000,23.880,0.000,0.000,1.481,0.000,5.566
Colo9345_rep10_Dep6_Tu40,0.000,8.887,0.004,24.928,0.517,8.135,0.595,14.236,0.855,2.988,5.875,0.000,32.979
Colo9345_rep9_Dep6_Tu20,0.958,5.741,0.539,11.434,1.517,5.350,1.594,2.001,5.610,6.874,8.180,0.909,49.292
Colo9345_rep8_Dep6_Tu3,1.550,2.559,1.689,0.535,2.930,3.116,2.880,0.000,0.000,9.593,8.975,3.891,62.283
Colo9345_rep5_Dep6_Tu3,0.559,3.505,1.537,6.339,2.284,4.088,2.191,1.114,0.000,10.232,8.888,3.099,56.163
Colo9345_rep1_Dep6_Tu40,0.000,8.911,0.000,42.685,0.000,12.849,0.000,22.606,0.000,0.000,2.688,0.000,10.260
