Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo9345_rep1_Dep6_Tu5,0.108,6.350,21.168,1.024,35.473,0.000,0.048,0.058,0.204,1.390,4.335,0.000,29.841
Colo9345_rep8_Dep6_Tu30,0.000,0.625,37.908,0.000,35.646,0.001,0.001,0.000,0.002,0.063,3.799,0.003,21.952
Colo9345_rep5_Dep6_Tu1,0.000,0.461,3.865,0.000,47.548,0.000,0.169,0.147,0.662,4.606,5.145,0.341,37.057
Colo9345_rep5_Dep6_Tu20,0.175,7.776,54.202,7.676,10.373,0.018,0.115,0.048,0.932,1.089,3.889,0.046,13.662
Colo9345_rep7_Dep6_Tu20,0.239,8.560,55.737,4.917,17.272,0.013,0.296,0.247,0.015,0.629,0.543,0.018,11.513
Colo9345_rep6_Dep6_Tu2,0.018,0.004,7.659,0.178,45.651,0.128,0.013,0.200,0.736,2.018,2.597,0.067,40.731
Colo9345_rep10_Dep6_Tu10,0.000,3.659,11.680,0.000,41.951,0.000,0.000,0.004,0.000,3.253,3.743,0.234,35.473
Colo9345_rep1_Dep6_Tu10,0.000,4.256,38.197,4.234,26.244,0.535,1.977,0.199,0.070,1.130,4.249,0.411,18.498
Colo9345_rep3_Dep6_Tu30,0.238,9.034,74.046,3.785,6.491,0.012,0.007,0.000,0.005,0.002,1.522,0.001,4.855
Colo9345_rep6_Dep6_Tu1,0.000,2.235,0.009,0.643,47.431,0.000,0.005,0.007,0.002,2.037,1.014,0.315,46.301
Colo9345_rep2_Dep6_Tu10,0.003,5.544,38.037,1.723,30.908,0.102,0.000,0.000,0.001,0.048,4.421,0.000,19.212
Colo9345_rep6_Dep6_Tu5,0.000,2.484,20.230,4.311,39.236,0.207,0.121,0.000,0.000,0.219,1.270,0.000,31.921
Colo9345_rep5_Dep6_Tu10,0.186,6.797,40.064,0.487,27.175,0.000,0.001,0.021,0.002,1.962,3.607,0.000,19.697
