Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo9345_rep1_Dep6_Tu5,1.281,1.842,0.806,1.032,37.727,0.000,0.441,0.325,0.439,2.167,5.107,0.007,30.391,18.432
Colo9345_rep8_Dep6_Tu30,1.125,0.027,1.202,0.000,38.959,0.013,0.201,0.022,0.062,0.462,4.712,0.162,22.494,30.558
Colo9345_rep5_Dep6_Tu1,0.000,0.050,0.001,0.000,47.391,0.000,0.072,0.296,0.601,4.706,5.389,0.322,37.568,3.604
Colo9345_rep5_Dep6_Tu20,2.821,2.180,5.239,8.121,12.228,0.293,1.254,0.164,2.267,2.915,4.941,0.231,14.660,42.686
Colo9345_rep7_Dep6_Tu20,3.209,2.481,4.911,5.501,20.418,0.317,1.408,1.809,0.101,1.681,1.553,0.327,12.325,43.961
Colo9345_rep6_Dep6_Tu2,0.223,0.000,0.012,0.095,45.737,0.176,0.029,0.015,0.961,2.198,2.803,0.076,41.196,6.478
Colo9345_rep10_Dep6_Tu10,0.000,1.147,0.000,0.000,43.027,0.000,0.000,0.014,0.021,3.990,4.343,0.503,36.115,10.840
Colo9345_rep1_Dep6_Tu10,0.000,2.086,0.125,4.854,28.542,1.576,3.278,1.106,0.236,1.913,4.979,0.992,18.869,31.444
Colo9345_rep3_Dep6_Tu30,4.830,3.265,6.282,4.505,11.246,0.809,1.108,0.118,0.512,0.458,2.883,0.418,5.998,57.567
Colo9345_rep6_Dep6_Tu1,0.000,0.873,0.000,0.262,47.148,0.000,0.003,0.013,0.000,1.972,1.165,0.305,47.043,1.216
Colo9345_rep2_Dep6_Tu10,1.654,1.963,0.974,2.216,35.380,0.740,0.000,0.049,0.056,0.397,5.776,0.034,19.649,31.113
Colo9345_rep6_Dep6_Tu5,0.000,0.243,0.000,4.098,41.491,0.319,0.805,0.001,0.013,0.588,1.852,0.000,32.494,18.094
Colo9345_rep5_Dep6_Tu10,3.094,2.709,1.547,0.622,30.275,0.000,0.151,0.275,0.056,3.632,4.740,0.017,20.367,32.515
Colo9345_rep5_Dep6_Tu40,2.719,1.890,8.946,9.220,0.409,2.569,1.531,2.579,0.375,1.570,4.236,0.568,1.325,62.063
Colo9345_rep1_Dep6_Tu0.1,0.000,0.000,0.000,0.000,34.529,0.000,0.002,0.002,0.002,4.220,5.207,0.035,56.003,0.000
Colo9345_rep3_Dep6_Tu10,1.676,5.936,1.797,1.231,33.722,0.052,0.012,0.189,0.003,0.049,4.647,0.002,21.001,29.683
Colo9345_rep4_Dep6_Tu2,0.000,0.000,0.000,0.000,42.644,0.134,0.000,0.002,0.022,0.413,6.106,0.721,41.239,8.718
Colo9345_rep2_Dep6_Tu20,1.729,7.238,7.642,5.138,15.442,1.102,0.726,0.044,0.629,0.005,3.283,0.002,11.016,46.005
Colo9345_rep3_Dep6_Tu50,4.419,5.372,10.192,8.664,0.001,1.523,1.603,0.722,0.476,0.106,0.014,0.222,0.001,66.685
Colo9345_rep6_Dep6_Tu0.1,0.000,0.000,0.000,0.000,45.724,0.000,0.029,0.014,0.145,0.347,9.631,0.001,44.109,0.000
Colo9345_rep3_Dep6_Tu40,6.667,5.722,7.387,5.758,0.293,2.899,1.819,1.350,0.270,0.258,0.418,1.491,4.250,61.417
Colo9345_rep6_Dep6_Tu3,1.384,0.258,0.134,1.051,45.152,0.585,0.438,0.010,0.043,0.149,7.431,0.000,35.755,7.608
Colo9345_rep9_Dep6_Tu50,1.182,0.010,2.328,6.681,28.188,2.651,0.033,0.017,0.045,2.473,3.580,0.009,10.753,42.052
