Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo9345_rep1_Dep6_Tu5,12.963,0.000,0.000,12.608,0.000,0.000,0.000,47.633,0.000,0.000,5.695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.401,0.000,0.000,5.699
Colo9345_rep8_Dep6_Tu30,11.283,0.000,0.000,8.644,0.000,5.842,0.000,31.907,0.000,0.000,2.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.198,0.000,38.270,1.850
Colo9345_rep5_Dep6_Tu1,3.241,0.000,0.000,0.114,22.184,0.225,0.000,55.699,0.000,0.000,7.196,0.000,0.000,0.000,0.000,0.000,4.680,0.000,0.000,0.000,0.000,0.000,6.661
Colo9345_rep5_Dep6_Tu20,21.114,0.000,0.000,30.760,0.000,13.066,0.000,22.577,0.000,0.000,3.839,0.000,0.000,0.000,3.902,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.740
Colo9345_rep7_Dep6_Tu20,22.075,3.529,0.069,35.778,0.000,7.063,0.000,19.892,0.000,0.000,0.000,0.000,0.000,0.000,1.029,0.000,1.648,0.000,0.309,0.000,0.000,0.000,8.607
Colo9345_rep6_Dep6_Tu2,1.967,0.000,0.000,1.811,9.161,0.000,0.000,50.693,0.000,0.000,9.375,0.000,0.000,0.000,0.000,1.191,20.132,0.000,0.000,0.000,0.000,0.000,5.668
Colo9345_rep10_Dep6_Tu10,5.731,0.000,0.638,6.534,16.601,0.285,0.000,46.290,0.000,0.000,11.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.331
Colo9345_rep1_Dep6_Tu10,11.954,0.000,0.000,15.719,0.000,7.403,1.761,27.438,0.000,0.000,2.298,0.000,0.000,0.000,0.000,0.000,26.830,0.000,0.000,0.000,0.000,0.000,6.595
Colo9345_rep3_Dep6_Tu30,27.887,3.558,0.599,35.161,0.000,12.616,0.000,11.769,0.000,0.000,0.876,0.000,0.000,0.000,3.475,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.058
Colo9345_rep6_Dep6_Tu1,3.533,0.000,0.000,0.580,0.000,0.000,2.938,48.187,0.000,0.000,9.863,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.210,0.000,7.688
Colo9345_rep2_Dep6_Tu10,14.431,0.000,2.320,13.813,0.000,4.116,0.000,26.568,0.000,0.000,5.501,0.000,0.000,0.000,0.000,0.000,0.000,0.197,0.000,0.000,0.000,27.083,5.969
Colo9345_rep6_Dep6_Tu5,14.781,0.000,0.000,9.838,13.473,1.876,0.000,42.126,0.000,0.000,4.439,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.189,0.000,13.278
Colo9345_rep5_Dep6_Tu10,19.491,0.000,0.476,18.540,0.000,4.958,0.000,30.147,0.000,0.000,6.871,0.000,0.000,0.000,0.754,0.000,0.000,0.000,0.000,12.366,0.000,0.000,6.396
Colo9345_rep5_Dep6_Tu40,25.688,0.000,2.739,36.735,0.000,14.130,0.000,5.126,0.000,0.000,0.889,0.000,0.000,0.000,12.289,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.403
Colo9345_rep1_Dep6_Tu0.1,0.000,0.000,0.000,0.218,0.000,0.000,5.944,61.835,0.000,0.000,9.640,0.000,0.000,0.000,0.000,0.945,0.000,7.463,0.000,0.000,0.000,0.000,13.955
Colo9345_rep3_Dep6_Tu10,13.764,0.000,0.000,15.486,0.000,4.251,0.000,30.322,0.000,0.000,9.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.622,0.000,0.000,2.819,7.696
Colo9345_rep4_Dep6_Tu2,1.504,0.000,0.339,1.789,0.000,6.721,0.000,49.525,0.000,0.000,11.626,0.000,0.000,0.000,0.000,0.000,0.000,25.126,0.000,0.000,0.000,0.000,3.369
Colo9345_rep2_Dep6_Tu20,19.656,0.000,0.019,27.802,0.000,7.990,0.000,12.740,0.000,27.945,1.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.795
Colo9345_rep3_Dep6_Tu50,24.400,0.000,0.000,45.025,0.000,17.019,0.000,1.359,0.000,0.000,0.000,0.000,0.000,0.000,11.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.470
Colo9345_rep6_Dep6_Tu0.1,0.000,0.000,0.000,0.000,25.894,0.000,0.000,52.682,0.000,0.000,12.355,0.000,0.000,0.000,0.000,1.027,0.000,1.797,0.000,0.000,0.000,0.000,6.244
Colo9345_rep3_Dep6_Tu40,30.122,0.000,0.905,40.068,0.000,17.933,0.000,5.073,0.000,0.000,0.000,0.000,0.000,0.000,2.457,0.000,1.154,0.000,0.000,0.000,0.000,0.000,2.287
Colo9345_rep6_Dep6_Tu3,4.664,0.000,0.000,2.907,32.211,0.210,0.007,48.790,0.000,0.000,8.315,0.000,0.000,0.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.590
Colo9345_rep9_Dep6_Tu50,12.461,2.725,0.000,24.430,0.000,7.777,0.000,13.659,0.000,0.000,5.171,0.000,0.000,30.948,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.797
Colo9345_rep1_Dep6_Tu3,1.818,15.609,0.000,3.440,0.000,5.699,0.000,40.280,0.000,9.973,14.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.181
Colo9345_rep6_Dep6_Tu30,21.579,0.000,2.170,35.265,0.000,14.988,0.000,7.550,0.000,0.000,0.513,0.000,0.000,0.000,1.163,0.000,15.283,0.000,0.000,0.000,0.000,0.000,1.489
Colo9345_rep1_Dep6_Tu20,25.379,0.000,0.000,28.204,0.000,17.301,0.000,15.553,0.000,0.000,4.657,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.905
Colo9345_rep4_Dep6_Tu0.5,0.000,6.313,0.000,0.036,0.000,0.000,15.838,60.424,0.000,0.000,8.502,0.000,0.000,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.855,6.985
Colo9345_rep9_Dep6_Tu10,0.432,0.000,0.000,5.872,0.000,3.631,5.665,57.014,0.000,0.000,10.487,0.000,0.000,0.011,0.000,0.000,8.960,0.000,0.000,0.000,0.000,0.000,7.928
Colo9345_rep3_Dep6_Tu1,0.006,7.398,0.000,0.321,0.000,0.000,6.555,55.443,0.000,0.000,13.582,0.000,0.000,0.185,0.000,0.000,0.000,5.694,0.000,5.786,0.000,0.000,5.028
Colo9345_rep7_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,53.655,0.000,0.514,11.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.670,0.000,9.856
Colo9345_rep4_Dep6_Tu20,22.894,0.000,0.440,30.938,0.000,7.853,0.000,17.180,0.000,0.000,0.511,0.000,0.000,0.000,0.000,0.000,18.658,0.000,0.000,0.000,0.000,0.000,1.523
Colo9345_rep7_Dep6_Tu5,3.335,18.386,0.000,8.474,0.000,6.230,5.747,44.326,0.000,0.000,3.461,0.000,0.000,1.185,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.854
Colo9345_rep10_Dep6_Tu50,19.950,0.000,0.000,32.618,0.000,18.621,0.000,20.205,0.000,0.000,4.695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.909
Colo9345_rep2_Dep6_Tu50,23.629,0.000,6.222,44.182,0.000,20.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.269,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.699
Colo9345_rep10_Dep6_Tu40,14.474,0.000,0.000,20.249,0.000,8.233,0.000,22.936,0.000,0.000,0.151,0.000,0.000,0.000,4.035,0.000,25.965,0.000,0.000,0.000,0.000,0.000,3.954
Colo9345_rep9_Dep6_Tu20,6.374,32.875,0.000,10.599,0.000,5.350,0.000,32.733,0.000,0.000,5.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.724
Colo9345_rep8_Dep6_Tu3,0.000,0.000,0.041,0.619,0.000,0.000,0.000,57.497,0.000,0.000,7.186,0.000,0.000,0.299,0.000,0.000,0.000,0.000,0.000,24.827,0.000,0.000,9.530
Colo9345_rep5_Dep6_Tu3,4.751,0.000,0.000,4.717,0.000,0.352,0.000,45.452,0.000,0.000,6.373,0.000,0.000,11.768,0.000,0.000,0.000,16.602,0.000,0.000,0.000,0.000,9.984
Colo9345_rep1_Dep6_Tu40,23.812,0.000,1.724,38.951,0.000,15.153,0.000,6.168,0.000,0.000,0.000,0.000,0.000,0.000,11.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.711
Colo9345_rep9_Dep6_Tu0.3,0.000,0.000,0.008,0.040,4.307,0.000,0.000,60.133,0.000,0.000,13.315,0.000,0.000,0.000,0.000,0.000,0.000,11.476,0.000,0.000,0.000,0.000,10.720
Colo9345_rep4_Dep6_Tu1,0.318,0.000,0.000,0.333,0.000,0.068,0.527,50.621,0.000,0.000,9.248,0.000,0.000,0.000,0.000,0.000,5.351,0.000,0.000,27.347,0.000,0.000,6.187
Colo9345_rep10_Dep6_Tu20,6.469,0.000,0.000,7.715,0.000,6.852,0.000,37.943,0.000,0.000,3.297,0.000,0.000,0.000,0.000,0.000,32.510,0.000,0.000,0.000,0.000,0.000,5.213
Colo9345_rep1_Dep6_Tu1,0.000,0.000,0.000,0.797,0.000,0.000,0.000,54.757,0.000,0.000,11.308,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.237,0.000,0.000,8.900
Colo9345_rep6_Dep6_Tu50,0.000,0.000,0.620,1.639,0.000,0.476,0.000,25.780,0.000,0.000,1.495,0.000,62.576,0.000,0.173,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.240
Colo9345_rep7_Dep6_Tu0.5,0.000,0.000,0.000,0.033,23.705,0.000,0.000,56.087,0.000,0.000,6.510,0.000,0.000,0.000,0.000,2.362,0.000,0.000,0.000,0.000,0.000,2.218,9.084
