Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo9345_rep1_Dep6_Tu5,0.000,0.000,13.129,18.804,0.000,4.566,11.116,0.000,3.314,20.695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.524,0.000,0.000,0.000,0.798,0.000,4.677,1.682,0.000,0.000,0.020,0.000,0.000,0.054,0.000,0.000,0.000,0.000,4.041,0.000,0.000,15.831,0.000,0.000,0.000,0.749,0.000
Colo9345_rep8_Dep6_Tu30,0.000,0.000,14.919,4.501,1.806,6.803,0.000,0.000,1.377,7.505,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.239,0.000,0.000,0.000,2.746,0.000,6.899,3.240,0.000,0.000,0.007,0.000,0.000,0.827,0.000,0.000,0.000,0.000,0.000,17.809,3.166,25.733,0.000,0.000,0.000,0.565,1.856
Colo9345_rep5_Dep6_Tu1,0.000,0.000,29.483,7.830,0.047,7.167,2.361,0.119,5.745,4.427,0.000,39.573,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.723,0.000,0.000,0.000,1.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.211
Colo9345_rep5_Dep6_Tu20,0.000,0.000,8.368,2.397,0.000,0.000,15.563,0.000,4.726,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.827,0.000,0.000,0.000,3.437,0.000,14.584,6.867,0.287,0.435,0.000,0.000,0.000,1.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.153,0.000,0.154,0.040,2.892,0.000
Colo9345_rep7_Dep6_Tu20,0.000,0.000,3.321,6.096,0.000,0.000,3.891,0.000,6.062,0.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.908,0.000,0.000,0.000,1.747,0.000,14.540,5.497,0.000,0.000,0.000,0.000,0.000,1.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.329,0.000,0.000,17.812,5.065,0.000
Colo9345_rep6_Dep6_Tu2,0.000,0.000,27.510,4.800,0.000,3.488,19.199,0.000,13.339,0.329,0.000,17.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.000,0.000,0.000,2.902,1.011,0.000,0.000,0.577,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.100,6.680,1.729,0.000,0.186,0.000
Colo9345_rep10_Dep6_Tu10,0.000,0.000,21.742,8.232,0.000,3.840,5.249,0.583,9.863,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.000,2.971,1.767,0.000,0.000,0.760,0.000,0.000,0.537,0.000,0.000,0.000,0.000,9.898,0.000,0.000,4.873,0.000,29.539,0.000,0.000,0.000
Colo9345_rep1_Dep6_Tu10,0.000,0.000,8.715,8.967,0.000,4.179,22.064,0.000,5.478,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.667,0.000,0.000,0.000,0.000,0.000,10.596,3.095,0.000,0.000,0.065,0.000,0.000,0.893,0.000,0.000,0.000,0.000,0.000,0.000,0.727,22.854,0.000,0.000,0.109,10.588,0.000
Colo9345_rep3_Dep6_Tu30,0.000,0.000,2.281,2.916,0.000,0.000,4.843,0.000,5.504,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.087,0.000,0.000,0.000,5.319,0.000,15.649,7.848,0.259,0.641,0.000,0.000,0.000,2.941,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48.480,0.000,0.081,2.147,0.000,0.000
Colo9345_rep6_Dep6_Tu1,0.000,0.000,35.341,5.434,1.512,6.810,4.269,0.000,6.067,16.107,0.000,10.411,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.098,0.000,0.000,0.000,1.754,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.463,10.730,0.000,0.000,0.000,0.000,0.000,0.000,0.000
