Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo9345_rep1_Dep6_Tu5,0.006,0.949,0.002,0.188,35.995,0.000,0.113,0.801,1.079,0.696,3.865,0.036,36.300,19.970
Colo9345_rep8_Dep6_Tu30,0.099,3.859,0.454,0.734,33.037,0.012,0.406,0.274,0.387,0.597,2.662,0.064,27.172,30.243
Colo9345_rep5_Dep6_Tu1,0.000,0.193,0.000,0.000,45.043,0.000,0.011,0.308,0.244,0.124,4.084,0.017,47.675,2.301
Colo9345_rep5_Dep6_Tu20,0.192,4.005,3.703,3.730,12.544,1.794,0.416,1.604,2.153,1.634,3.781,0.645,15.368,48.431
Colo9345_rep7_Dep6_Tu20,0.325,4.283,3.368,2.680,17.063,1.001,0.752,1.554,1.414,0.117,2.550,0.090,14.832,49.971
Colo9345_rep6_Dep6_Tu2,0.000,0.148,0.000,0.004,40.970,0.000,0.040,0.669,0.332,0.014,3.703,0.023,46.170,7.926
Colo9345_rep10_Dep6_Tu10,0.000,0.302,0.000,0.274,40.185,0.000,0.054,0.212,0.663,0.200,4.493,0.222,43.350,10.045
Colo9345_rep1_Dep6_Tu10,0.009,3.582,0.931,2.417,27.489,0.092,0.345,1.954,0.553,0.337,2.875,0.251,26.613,32.552
Colo9345_rep3_Dep6_Tu30,1.210,6.398,3.490,3.921,7.799,2.289,0.834,1.529,1.463,0.027,3.161,0.572,7.284,60.023
Colo9345_rep6_Dep6_Tu1,0.000,0.046,0.000,0.001,44.616,0.000,0.017,0.266,0.166,0.021,3.276,0.006,49.120,2.463
Colo9345_rep2_Dep6_Tu10,0.197,3.843,0.973,1.369,28.610,0.010,0.135,0.238,0.825,0.780,3.417,0.171,26.248,33.183
Colo9345_rep6_Dep6_Tu5,0.001,0.890,0.000,0.653,35.889,0.000,0.083,0.526,1.082,0.658,3.245,0.111,38.210,18.653
Colo9345_rep5_Dep6_Tu10,0.029,3.148,1.611,1.096,27.934,0.025,0.219,1.330,0.233,0.450,4.436,0.110,26.502,32.876
Colo9345_rep5_Dep6_Tu40,1.771,3.066,6.209,6.524,1.347,2.725,1.349,4.552,0.762,0.929,3.615,0.471,0.772,65.908
Colo9345_rep1_Dep6_Tu0.1,0.000,0.000,0.000,0.000,40.588,0.000,0.018,0.530,0.089,0.037,5.572,0.097,53.068,0.000
Colo9345_rep3_Dep6_Tu10,0.674,2.459,0.708,1.136,28.603,0.174,0.412,0.664,0.542,0.262,3.243,0.465,27.594,33.063
