Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Colo9345_rep1_Dep6_Tu5,0.234,2.007,1.300,9.076,2.231,5.687,0.112,9.662,3.975,3.188,1.406,2.115,0.629,0.223,0.739,1.075,0.453,0.852,0.235,0.994,1.348,0.941,0.456,0.845,0.365,0.680,1.190,0.026,0.297,0.603,0.253,0.756,5.658,5.268,1.981,0.977,0.008,1.796,1.615,1.498,3.415,0.500,0.635,4.935,1.655,0.175,0.797,10.049,4.785,0.302
Colo9345_rep8_Dep6_Tu30,0.579,0.570,4.397,0.710,3.919,3.207,2.080,8.553,1.474,5.172,0.954,0.409,0.860,0.667,0.744,0.379,1.043,0.495,0.382,0.549,1.592,0.591,0.068,0.155,0.465,0.486,1.307,0.474,0.023,0.184,0.522,0.903,3.121,5.131,2.481,0.727,0.776,2.263,0.890,2.303,1.487,7.480,0.474,4.987,0.392,5.443,2.716,2.709,10.717,1.992
Colo9345_rep5_Dep6_Tu1,4.969,2.398,6.814,9.245,7.869,3.632,5.694,10.168,4.203,1.897,7.068,2.257,1.618,0.726,0.795,0.782,0.216,0.050,0.916,0.865,1.412,0.399,1.086,0.047,0.004,0.179,0.115,0.003,0.021,0.000,0.225,0.083,4.982,0.409,2.954,0.341,0.137,0.632,0.726,1.561,0.597,0.030,0.009,1.147,0.049,0.132,0.009,0.559,9.966,0.006
Colo9345_rep5_Dep6_Tu20,0.056,0.770,1.978,2.742,1.310,0.492,1.409,1.462,2.199,2.303,2.689,2.299,0.171,0.733,1.049,0.114,1.681,1.339,1.060,0.398,0.904,1.429,0.081,1.363,0.561,0.350,0.893,2.561,0.802,5.356,1.869,0.847,1.823,0.359,2.522,1.775,3.025,1.897,1.477,0.816,4.676,2.217,7.083,2.834,4.852,7.322,0.028,9.377,0.803,3.842
Colo9345_rep7_Dep6_Tu20,2.095,0.483,3.424,2.768,1.636,1.412,0.836,0.495,0.087,0.909,2.175,0.306,0.246,1.003,1.691,0.581,1.098,0.658,0.354,0.105,0.190,0.674,1.064,1.191,0.959,1.433,1.506,1.508,1.612,4.992,1.095,1.040,1.155,2.531,1.750,1.369,1.030,2.777,2.793,1.634,0.371,1.804,5.132,1.691,8.516,8.889,7.079,5.332,6.332,0.189
Colo9345_rep6_Dep6_Tu2,2.994,2.474,10.033,2.441,4.255,3.478,14.076,8.191,4.756,2.720,4.613,2.810,0.337,1.734,0.891,0.870,0.947,1.027,0.397,0.349,0.491,0.503,0.755,0.292,0.083,0.371,0.283,0.119,0.436,0.058,0.265,1.092,2.495,5.692,4.177,0.216,0.015,0.726,0.325,0.277,1.040,0.418,0.385,0.338,0.281,0.087,0.032,0.084,9.212,0.059
Colo9345_rep10_Dep6_Tu10,3.858,2.961,7.520,11.168,5.396,2.385,3.654,6.634,5.369,4.478,4.283,2.833,0.655,0.635,0.607,0.478,0.227,0.201,1.318,0.108,0.191,0.685,0.715,0.095,0.180,0.238,0.273,0.043,0.109,0.008,0.033,1.724,1.096,0.392,6.907,0.044,0.662,0.817,0.880,0.497,3.825,1.166,0.387,1.513,0.606,0.547,1.583,0.311,9.703,0.002
Colo9345_rep1_Dep6_Tu10,1.498,2.196,3.970,1.270,3.144,4.484,3.427,5.021,1.785,1.027,0.277,1.611,1.422,0.193,0.898,0.944,0.300,1.346,0.205,0.900,1.400,0.402,2.472,0.437,0.856,0.800,0.687,0.188,1.021,3.287,0.572,2.571,2.758,3.787,0.668,1.478,0.859,0.859,2.470,1.832,1.815,3.500,2.430,1.491,2.512,4.829,1.323,8.603,6.196,1.980
Colo9345_rep3_Dep6_Tu30,0.400,0.191,0.692,0.075,0.266,1.136,1.011,0.583,1.214,1.517,1.356,0.086,0.242,0.163,0.646,0.786,0.421,0.250,0.943,0.945,0.245,0.512,0.403,2.355,2.640,0.591,1.784,2.108,3.493,2.280,1.531,0.471,0.678,1.401,0.772,1.468,0.579,1.573,2.149,1.752,2.752,12.338,7.588,4.933,10.459,4.520,4.938,3.022,2.732,5.009
Colo9345_rep6_Dep6_Tu1,0.350,4.133,3.006,11.669,2.860,2.585,5.897,15.030,12.626,0.948,4.770,4.505,1.361,0.706,0.270,0.182,0.284,0.132,0.214,0.650,0.518,0.425,0.788,0.001,0.097,0.076,0.101,0.001,0.033,0.004,0.080,0.221,5.823,8.900,2.606,0.004,0.010,0.083,0.195,0.250,1.617,0.011,0.001,0.877,0.011,0.025,0.032,1.286,3.745,0.000
Colo9345_rep2_Dep6_Tu10,1.742,2.285,1.401,6.080,1.087,2.498,7.406,0.081,1.467,7.340,0.164,0.273,0.875,0.347,0.942,0.509,0.279,0.534,0.496,0.947,0.708,0.501,0.070,0.844,0.543,0.179,0.037,0.952,1.002,1.254,1.110,2.750,2.942,1.213,3.403,1.479,1.461,1.787,2.609,0.154,3.356,7.286,0.458,2.826,1.726,2.155,4.045,4.146,10.362,1.886
