Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Colo9345_rep1_Dep6_Tu5,4.674,0.000,0.000,0.000,0.000,0.000,0.000,0.616,22.533,7.761,0.000,0.697,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.302,0.000,8.595,0.000,0.000,9.458,0.000,0.000,0.000,0.000,11.643,22.160,0.000,2.316,0.000,0.000,8.243,0.000,0.000,0.000
Colo9345_rep8_Dep6_Tu30,0.166,0.374,0.000,0.000,0.000,0.000,0.000,2.445,4.345,4.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.701,0.000,10.322,0.000,0.000,19.471,0.000,0.000,0.000,10.257,6.373,5.239,0.000,4.921,0.000,0.000,16.381,0.000,12.603,0.000
Colo9345_rep5_Dep6_Tu1,9.448,0.614,0.159,0.000,0.000,0.000,0.000,2.230,26.108,6.192,1.862,0.000,0.000,0.000,0.000,0.000,0.000,0.239,0.000,0.000,0.000,3.932,0.000,1.636,16.640,0.000,14.878,0.000,0.000,0.000,0.061,0.704,10.378,0.000,0.614,0.000,0.000,4.301,0.000,0.000,0.000
Colo9345_rep5_Dep6_Tu20,0.000,1.659,0.000,0.000,0.000,0.000,0.000,4.477,1.778,0.000,0.000,7.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.075,0.000,5.453,0.000,15.150,0.000,0.000,0.000,0.000,12.558,22.907,15.612,0.000,0.014,0.000,0.000,0.000,0.000,6.177,0.000
Colo9345_rep7_Dep6_Tu20,0.000,9.563,0.000,0.000,0.000,0.000,0.000,9.256,7.527,0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.482,0.000,0.000,0.000,0.000,0.000,14.243,7.682,16.501,1.593,0.000,4.926,0.000,0.000,9.072,0.000,4.047,0.000
Colo9345_rep6_Dep6_Tu2,5.309,0.000,0.000,0.000,0.000,0.000,0.000,7.533,26.788,0.000,0.000,10.654,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.994,0.000,0.000,10.141,0.000,0.000,0.000,0.000,3.555,32.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo9345_rep10_Dep6_Tu10,2.028,5.505,0.000,0.000,0.000,0.000,0.000,5.215,22.499,9.469,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.805,0.034,0.000,4.943,4.089,0.000,0.000,0.000,0.000,0.000,0.817,5.102,38.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo9345_rep1_Dep6_Tu10,4.597,0.000,0.000,0.000,0.000,0.000,0.000,1.942,6.004,0.429,0.000,3.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.405,5.800,0.000,4.492,0.000,0.000,0.000,0.000,0.000,0.000,10.636,11.405,4.369,0.000,0.000,0.000,0.000,21.591,0.000,2.296,0.191
Colo9345_rep3_Dep6_Tu30,0.000,3.459,0.000,0.000,0.000,0.004,0.000,5.150,1.338,0.104,0.000,0.920,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.948,0.000,23.375,0.000,0.000,0.000,0.000,12.656,27.748,0.000,0.000,1.604,0.000,0.000,8.208,0.000,4.483,0.000
Colo9345_rep6_Dep6_Tu1,0.000,5.914,0.607,0.000,0.000,0.000,0.000,6.653,23.324,7.722,0.000,2.890,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,1.563,0.000,0.000,0.000,0.000,13.513,0.000,0.000,0.000,0.246,0.615,10.613,0.000,0.000,0.000,0.000,26.315,0.000,0.000,0.000
