Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo9345_rep1_Dep6_Tu5,1.782,5.199,42.512,10.646,7.913,3.229,6.471,0.000,0.000,0.000,8.840,0.000,13.407
Colo9345_rep8_Dep6_Tu30,0.000,7.838,35.319,14.547,20.287,9.089,1.513,0.000,0.000,0.000,1.515,0.000,9.890
Colo9345_rep5_Dep6_Tu1,1.807,11.393,47.459,0.849,0.000,0.445,6.473,0.000,12.868,2.615,3.421,0.265,12.405
Colo9345_rep5_Dep6_Tu20,12.141,6.420,19.436,31.614,16.404,10.209,0.000,0.000,0.000,0.000,1.668,0.000,2.108
Colo9345_rep7_Dep6_Tu20,4.441,0.574,19.998,35.199,22.613,5.909,0.000,0.000,0.000,0.000,0.000,0.000,11.265
Colo9345_rep6_Dep6_Tu2,0.000,7.285,51.630,3.124,2.527,0.766,0.764,0.000,18.856,5.538,3.485,0.000,6.024
Colo9345_rep10_Dep6_Tu10,0.000,13.430,47.012,4.898,3.637,1.274,4.911,0.000,6.325,4.201,6.022,0.000,8.290
Colo9345_rep1_Dep6_Tu10,0.833,3.837,26.524,23.167,12.495,3.257,12.556,0.000,0.000,0.000,11.074,0.000,6.256
Colo9345_rep3_Dep6_Tu30,2.978,1.964,11.852,40.814,30.505,7.472,0.000,0.000,0.000,0.000,1.546,0.000,2.868
Colo9345_rep6_Dep6_Tu1,0.609,16.519,53.762,0.613,0.000,0.688,11.984,0.000,0.000,1.697,2.724,0.000,11.404
Colo9345_rep2_Dep6_Tu10,0.000,9.959,30.187,21.909,14.287,6.070,0.000,0.000,0.000,0.000,5.756,0.000,11.833
Colo9345_rep6_Dep6_Tu5,0.000,2.854,44.508,12.817,6.654,9.292,10.597,0.000,0.000,0.000,1.555,0.000,11.723
Colo9345_rep5_Dep6_Tu10,4.987,6.534,29.208,21.876,14.161,0.434,0.334,0.000,0.000,0.000,16.138,0.000,6.328
Colo9345_rep5_Dep6_Tu40,10.427,0.241,7.562,46.883,20.675,11.932,0.000,0.000,0.000,0.000,0.000,0.000,2.279
Colo9345_rep1_Dep6_Tu0.1,0.000,12.307,63.786,0.000,0.000,0.000,5.910,0.000,0.000,0.000,0.586,0.000,17.412
Colo9345_rep3_Dep6_Tu10,0.000,6.898,32.021,16.527,12.412,3.014,0.000,22.096,0.000,0.000,2.735,0.000,4.297
Colo9345_rep4_Dep6_Tu2,0.206,19.393,47.728,5.648,0.000,0.000,0.577,0.000,3.502,10.649,4.651,0.000,7.645
Colo9345_rep2_Dep6_Tu20,11.280,0.962,16.194,27.757,19.760,12.366,0.000,0.000,0.000,0.000,9.996,0.000,1.684
Colo9345_rep3_Dep6_Tu50,5.318,0.000,1.825,51.403,28.175,13.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo9345_rep6_Dep6_Tu0.1,0.000,11.090,55.825,0.000,0.000,0.000,17.147,0.000,4.352,0.000,0.989,0.000,10.596
Colo9345_rep3_Dep6_Tu40,0.000,0.000,7.282,46.551,31.668,13.633,0.000,0.000,0.000,0.000,0.000,0.000,0.866
Colo9345_rep6_Dep6_Tu3,0.000,12.530,42.593,1.649,4.680,7.710,12.422,0.000,0.789,0.000,6.130,0.000,11.497
Colo9345_rep9_Dep6_Tu50,0.000,7.642,17.216,26.320,22.193,13.258,0.000,0.000,0.000,0.000,0.447,0.000,12.925
Colo9345_rep1_Dep6_Tu3,0.000,14.574,43.524,6.452,3.047,7.899,10.466,0.000,3.868,0.349,3.427,0.000,6.392
Colo9345_rep6_Dep6_Tu30,0.016,1.224,11.867,43.732,29.647,12.019,0.000,0.000,0.000,0.000,0.000,0.000,1.494
Colo9345_rep1_Dep6_Tu20,9.461,2.568,17.067,25.744,13.869,14.394,0.000,0.000,0.000,0.000,9.271,5.060,2.566
Colo9345_rep4_Dep6_Tu0.5,0.000,8.408,51.769,0.000,0.000,0.000,16.342,0.000,0.000,17.767,2.254,0.000,3.460
Colo9345_rep9_Dep6_Tu10,0.000,13.464,46.656,8.206,0.000,2.947,2.468,0.000,0.000,0.000,20.726,0.000,5.532
Colo9345_rep3_Dep6_Tu1,0.000,20.451,50.565,0.260,0.186,0.000,1.167,0.000,0.000,14.599,8.167,0.067,4.538
Colo9345_rep7_Dep6_Tu0.1,0.000,13.363,60.481,0.000,0.000,0.000,2.574,0.049,1.216,0.333,1.214,0.000,20.770
Colo9345_rep4_Dep6_Tu20,0.528,1.045,20.558,30.633,21.600,8.349,0.000,0.000,0.000,0.000,9.658,6.823,0.805
Colo9345_rep7_Dep6_Tu5,0.000,4.600,43.642,9.073,2.919,5.565,4.750,15.140,0.224,0.000,6.353,0.000,7.733
Colo9345_rep10_Dep6_Tu50,0.464,4.680,26.120,33.693,14.954,9.267,0.000,0.000,0.000,0.000,0.000,6.630,4.192
Colo9345_rep2_Dep6_Tu50,0.714,0.000,3.469,48.531,30.089,17.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colo9345_rep10_Dep6_Tu40,2.725,3.539,24.517,24.331,14.191,9.701,12.695,0.000,0.000,0.000,1.871,4.674,1.756
Colo9345_rep9_Dep6_Tu20,0.000,4.123,38.678,11.133,4.897,3.951,11.086,0.000,4.942,0.000,12.764,0.000,8.426
Colo9345_rep8_Dep6_Tu3,0.000,7.200,55.743,0.314,0.000,0.000,0.000,0.000,0.002,19.588,1.209,0.000,15.943
Colo9345_rep5_Dep6_Tu3,0.000,10.133,49.824,8.111,4.392,3.236,0.000,0.000,0.000,1.876,5.210,0.000,17.219
Colo9345_rep1_Dep6_Tu40,3.391,0.000,7.415,48.007,26.159,12.718,0.000,0.000,0.000,0.000,0.754,0.000,1.556
Colo9345_rep9_Dep6_Tu0.3,0.000,18.144,64.440,0.599,0.000,0.000,0.000,0.000,0.000,0.261,0.501,0.000,16.053
Colo9345_rep4_Dep6_Tu1,0.000,9.041,47.545,0.354,0.000,0.000,15.055,0.000,1.066,13.901,5.590,0.000,7.448
Colo9345_rep10_Dep6_Tu20,0.000,8.061,38.636,4.834,2.099,7.150,0.000,9.746,6.457,6.472,3.587,9.985,2.972
Colo9345_rep1_Dep6_Tu1,0.000,8.708,51.882,0.238,0.000,0.036,14.171,0.000,1.738,13.607,2.520,0.000,7.099
Colo9345_rep6_Dep6_Tu50,0.367,1.210,29.237,1.659,0.067,9.130,0.000,0.000,0.000,0.000,57.853,0.478,0.000
Colo9345_rep7_Dep6_Tu0.5,0.000,8.074,56.617,0.178,0.000,0.709,11.317,0.000,4.615,0.151,0.785,0.000,17.555
Colo9345_rep10_Dep6_Tu0.3,0.000,12.191,61.519,0.000,0.000,0.000,0.000,0.000,14.409,0.000,1.241,0.000,10.640
Colo9345_rep9_Dep6_Tu3,0.000,19.396,50.928,0.011,0.150,0.000,1.835,0.000,0.471,16.227,3.867,0.000,7.114
Colo9345_rep3_Dep6_Tu0.1,0.000,21.551,52.031,0.011,0.000,0.000,1.946,0.000,0.000,13.259,2.596,0.000,8.606
Colo9345_rep6_Dep6_Tu20,0.281,1.847,21.392,38.127,18.672,12.183,0.000,0.000,0.000,0.000,1.558,0.000,5.939
Colo9345_rep8_Dep6_Tu0.5,0.000,8.210,58.614,0.000,0.000,0.000,13.549,0.000,6.428,0.000,1.391,0.000,11.808
Colo9345_rep9_Dep6_Tu0.5,0.000,15.806,57.526,0.000,0.000,0.000,0.666,0.000,2.938,0.443,4.464,0.000,18.158
Colo9345_rep9_Dep6_Tu2,0.000,16.226,55.041,0.112,0.000,0.025,1.119,0.000,0.000,0.000,6.068,0.000,21.410
Colo9345_rep8_Dep6_Tu0.3,0.000,17.080,64.226,0.537,0.000,0.000,0.000,0.000,2.066,0.000,0.422,0.000,15.668
Colo9345_rep6_Dep6_Tu0.5,0.000,9.026,52.304,0.000,0.000,0.000,14.155,0.000,4.636,13.904,1.567,0.000,4.408
Colo9345_rep4_Dep6_Tu0.1,0.000,8.252,61.139,0.000,0.000,0.000,17.497,0.000,0.000,0.906,1.021,0.000,11.184
