Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Colo9345_rep1_Dep6_Tu5,0.024,1.267,9.588,9.121,10.693,4.945,3.914,3.144,1.556,2.302,2.611,1.053,0.496,0.780,1.346,0.653,1.328,0.950,1.070,0.602,0.503,0.819,0.865,0.046,0.768,0.397,0.605,0.435,0.715,2.023,0.494,0.072,4.974,8.046,0.383,2.618,1.913,0.850,3.227,2.848,9.956
Colo9345_rep8_Dep6_Tu30,1.811,0.357,10.334,8.050,2.772,1.771,5.252,0.464,3.495,1.487,2.868,2.074,0.284,0.084,0.783,0.020,0.424,1.346,0.863,2.556,0.944,0.766,0.488,0.596,0.252,0.670,0.803,0.692,0.305,2.130,0.712,0.832,2.126,8.211,1.009,3.577,3.897,0.749,2.415,4.197,17.534
Colo9345_rep5_Dep6_Tu1,0.177,1.501,5.893,16.173,12.807,3.443,8.182,4.272,3.106,1.358,3.554,3.534,0.684,1.030,1.173,0.702,1.361,0.180,0.598,0.713,0.147,0.733,0.978,0.119,0.266,0.328,0.402,0.111,0.288,0.407,0.020,0.113,5.635,15.942,0.854,2.618,0.284,0.058,0.111,0.028,0.120
Colo9345_rep5_Dep6_Tu20,1.954,0.503,0.170,1.407,3.679,2.416,3.740,1.151,2.840,2.136,1.361,1.623,0.413,0.011,1.812,0.481,1.784,0.852,1.669,0.591,0.737,0.250,1.260,0.372,0.223,0.979,0.223,0.660,4.910,4.350,1.610,1.121,0.618,2.722,2.333,0.345,4.773,6.108,4.750,2.103,28.958
Colo9345_rep7_Dep6_Tu20,1.911,0.380,2.877,1.759,1.812,2.819,2.119,2.105,1.325,1.158,1.919,1.064,1.050,0.242,0.283,2.090,0.034,0.191,1.480,2.415,0.946,0.010,0.596,1.031,0.766,0.923,0.530,0.923,2.911,6.104,0.911,1.026,0.608,3.642,1.991,5.750,0.797,2.656,2.182,7.927,28.738
Colo9345_rep6_Dep6_Tu2,1.556,1.597,7.078,8.022,13.150,4.023,1.844,2.830,15.532,2.899,3.173,1.377,0.220,0.750,0.796,0.275,0.671,0.822,1.202,0.844,0.432,0.273,1.294,0.262,0.186,0.238,0.466,0.096,0.836,0.382,0.171,0.255,2.007,10.604,2.273,4.454,0.514,0.824,1.706,1.091,2.975
Colo9345_rep10_Dep6_Tu10,2.047,2.526,6.252,12.771,10.212,16.315,3.645,0.599,1.025,1.679,4.498,1.620,0.198,0.897,1.425,0.617,0.242,0.044,1.394,0.044,1.035,0.773,0.964,0.088,0.218,0.707,0.517,0.189,0.789,0.651,0.047,0.249,4.869,5.910,1.251,5.267,0.554,1.214,1.746,0.074,4.838
Colo9345_rep1_Dep6_Tu10,0.243,1.725,1.759,9.148,5.393,3.225,4.176,0.742,5.503,1.138,2.199,2.351,0.178,0.154,1.552,0.795,0.770,1.610,0.521,1.240,0.887,0.684,0.765,0.666,0.704,0.812,0.085,0.249,1.928,3.692,0.665,0.572,3.557,5.667,2.044,4.947,1.229,2.349,0.392,5.721,17.964
Colo9345_rep3_Dep6_Tu30,0.540,0.921,0.275,1.642,1.793,0.872,1.232,0.999,0.002,1.171,0.837,1.376,0.258,0.364,1.118,1.881,0.078,0.032,1.407,1.446,1.139,0.559,1.211,1.924,0.793,0.464,0.683,0.721,0.206,6.941,3.124,0.758,0.912,1.402,1.459,0.494,3.763,5.669,3.443,9.564,36.525
Colo9345_rep6_Dep6_Tu1,0.409,2.061,7.914,2.629,9.957,7.780,3.104,12.334,13.236,2.642,2.572,1.607,0.641,0.726,0.397,0.416,1.284,0.803,0.837,1.256,0.390,0.733,0.190,0.035,0.032,0.490,0.599,0.143,0.056,0.086,0.258,0.020,6.971,11.606,0.548,2.642,0.195,0.243,1.221,0.116,0.823
Colo9345_rep2_Dep6_Tu10,0.869,1.555,3.283,5.006,6.492,6.446,2.153,0.236,6.311,2.783,0.686,1.258,0.786,1.039,1.884,1.754,1.019,0.944,0.577,0.801,0.492,1.395,0.145,1.307,0.065,0.768,0.951,0.211,2.689,1.908,0.487,0.732,1.767,6.027,3.365,6.632,3.404,0.155,0.572,1.369,19.679
Colo9345_rep6_Dep6_Tu5,1.433,0.532,10.535,9.944,0.528,13.775,1.887,3.974,3.132,2.448,2.521,1.600,0.586,0.416,1.278,1.009,1.364,1.190,0.416,1.028,1.015,0.488,0.843,0.538,0.322,0.168,0.394,0.199,0.745,1.619,0.483,0.660,4.477,7.292,0.866,3.909,0.595,1.482,2.627,1.402,10.279
Colo9345_rep5_Dep6_Tu10,1.428,1.605,1.086,8.463,2.069,1.977,7.888,9.559,1.607,2.353,0.077,3.173,0.837,0.761,1.068,0.475,1.112,1.446,1.195,0.353,0.744,0.659,0.638,1.067,1.062,0.760,0.261,0.458,1.597,2.684,1.225,0.408,1.902,2.947,2.177,1.564,1.553,4.445,5.080,0.712,19.523
