Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Colo9345_rep1_Dep6_Tu5,0.000,5.290,12.136,32.414,0.000,0.000,2.730,2.043,0.000,1.905,0.304,4.362,0.000,0.093,0.553,0.000,0.000,0.000,0.000,2.906,4.273,0.000,0.000,0.617,0.323,0.000,0.720,0.000,14.124,3.444,2.386,0.982,0.000,2.408,0.000,0.000,0.036,0.000,1.168,4.782
Colo9345_rep8_Dep6_Tu30,9.606,0.000,25.153,1.197,0.000,0.000,6.349,2.663,0.000,1.202,0.000,1.178,0.000,0.447,1.099,0.000,0.000,0.000,0.000,0.000,3.328,0.000,0.000,0.611,0.000,0.000,0.000,0.928,25.801,5.653,3.557,0.000,0.000,7.530,0.000,0.000,0.188,0.075,3.433,0.000
Colo9345_rep5_Dep6_Tu1,3.367,12.055,21.355,23.447,10.646,0.000,2.907,3.188,0.000,5.209,0.146,0.388,0.680,0.000,0.142,0.018,0.000,0.000,4.897,0.537,0.182,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.521,0.444,0.000,0.000,0.000,9.465,0.000,0.025,0.141,0.000,0.000,0.216
Colo9345_rep5_Dep6_Tu20,0.000,0.000,10.264,2.023,0.000,0.000,3.888,3.140,0.308,0.834,2.700,0.428,0.270,0.513,0.000,0.000,0.000,0.000,7.172,0.781,0.260,0.000,0.000,1.204,0.000,0.000,0.000,2.888,31.941,11.463,8.954,0.595,0.000,1.349,0.000,0.000,0.661,1.085,6.237,1.041
Colo9345_rep7_Dep6_Tu20,0.000,0.000,10.695,0.000,0.822,0.000,0.000,8.560,0.000,0.000,1.448,0.996,0.000,0.295,0.464,0.000,0.000,0.000,0.480,0.000,1.500,0.000,0.042,2.772,0.000,0.000,0.000,1.633,33.511,12.621,3.789,4.811,0.000,0.064,0.000,0.000,1.372,0.000,2.835,11.292
Colo9345_rep6_Dep6_Tu2,0.266,10.890,17.419,31.074,0.000,0.050,8.926,2.290,0.000,3.995,0.023,0.962,1.495,0.000,0.103,0.000,0.000,0.000,0.000,0.674,0.000,0.000,5.803,0.044,0.000,0.000,0.000,0.000,1.301,1.248,0.377,1.530,0.000,1.753,0.000,8.044,0.043,0.000,0.000,1.687
Colo9345_rep10_Dep6_Tu10,0.000,14.895,26.415,19.493,0.000,0.050,4.379,5.139,0.380,5.824,0.000,0.752,0.000,3.662,0.000,0.053,0.000,0.000,0.111,0.655,0.712,0.000,0.000,0.119,0.000,0.000,0.000,0.000,2.737,4.013,0.000,2.747,0.000,2.345,0.000,0.000,0.000,0.000,0.000,5.518
Colo9345_rep1_Dep6_Tu10,0.000,2.053,11.695,8.579,0.000,0.000,9.944,2.801,0.000,3.978,0.000,0.000,0.374,0.000,0.310,0.000,0.000,0.000,10.516,1.468,0.018,0.000,0.372,1.740,0.632,0.000,0.000,0.000,24.858,7.495,1.755,5.000,0.060,1.996,0.000,0.000,0.634,0.163,1.567,1.990
Colo9345_rep3_Dep6_Tu30,0.000,0.000,7.690,0.000,0.000,0.000,0.000,4.709,0.000,0.000,1.629,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.138,1.061,0.000,0.000,2.109,47.022,14.155,7.691,2.083,0.000,0.049,0.000,0.000,0.038,3.333,3.175,3.116
Colo9345_rep6_Dep6_Tu1,6.966,11.369,26.751,23.393,2.666,0.000,4.345,4.212,0.456,1.191,0.000,8.477,0.000,0.541,0.856,0.000,0.000,0.000,2.757,0.223,0.668,0.000,0.000,0.000,0.000,0.000,0.104,0.000,0.000,0.591,0.565,0.000,0.216,1.390,0.000,0.000,0.019,0.000,0.000,2.240
Colo9345_rep2_Dep6_Tu10,9.746,0.264,14.638,0.000,3.301,0.000,5.529,10.137,0.000,0.585,2.278,0.000,0.764,0.000,0.407,0.000,0.000,0.000,0.000,0.000,0.481,0.000,0.000,4.010,0.034,0.000,0.000,0.000,25.029,5.992,2.393,4.246,0.000,4.870,0.000,0.000,0.776,0.000,1.360,3.157
Colo9345_rep6_Dep6_Tu5,0.000,5.338,15.488,25.643,7.425,0.000,1.622,2.910,0.000,2.007,1.831,0.000,0.000,0.537,0.000,0.000,0.000,0.000,0.219,3.890,7.166,0.000,0.000,1.700,0.042,0.000,0.000,0.000,11.222,3.009,4.395,0.000,0.000,1.069,0.000,0.000,0.045,0.000,0.321,4.123
Colo9345_rep5_Dep6_Tu10,0.000,6.443,14.910,2.922,0.000,0.000,10.569,5.154,0.000,1.211,3.060,0.000,0.000,0.128,0.441,0.000,0.000,0.000,0.000,0.000,0.241,0.000,0.000,2.197,0.000,0.000,0.000,0.000,22.516,6.293,1.478,3.833,12.872,0.146,0.220,0.000,1.708,0.000,0.683,2.973
Colo9345_rep5_Dep6_Tu40,0.000,0.000,1.457,0.472,2.377,0.000,0.000,4.219,0.000,0.000,0.435,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.350,0.000,0.000,0.000,8.071,39.632,19.641,10.885,0.998,0.000,0.000,0.000,0.000,0.381,1.167,4.330,3.584
Colo9345_rep1_Dep6_Tu0.1,0.000,16.211,35.274,15.439,0.000,0.000,3.859,7.791,0.000,0.033,0.764,10.182,0.000,0.505,0.210,0.238,0.000,0.000,0.015,0.000,4.934,0.000,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.030,4.480,0.000,0.000,0.000,0.000,0.000,0.000
Colo9345_rep3_Dep6_Tu10,0.371,0.482,17.365,9.346,0.000,0.116,1.300,6.666,0.000,0.000,5.740,0.000,0.243,1.116,1.086,0.000,0.000,0.000,0.016,0.000,3.288,0.000,0.000,3.813,0.156,0.000,0.000,0.309,23.450,7.638,0.880,7.063,0.000,6.079,0.000,0.000,0.501,0.000,0.194,2.779
Colo9345_rep4_Dep6_Tu2,4.077,8.169,27.152,4.598,0.000,0.000,17.089,3.749,0.000,3.463,0.677,2.541,0.213,0.000,0.167,0.000,0.000,0.000,10.664,1.430,0.489,0.000,0.000,0.158,0.048,0.000,0.000,0.000,3.749,1.211,1.964,0.000,1.107,7.153,0.000,0.000,0.084,0.000,0.050,0.000
Colo9345_rep2_Dep6_Tu20,0.000,0.000,15.277,0.156,0.000,0.000,0.000,4.954,0.000,0.000,0.907,1.074,0.000,2.490,0.000,0.000,0.000,0.000,0.751,0.000,0.553,0.000,0.000,3.315,0.159,0.000,0.000,0.867,35.338,12.736,4.394,5.161,0.000,0.000,0.000,0.000,0.000,2.185,3.298,6.383
Colo9345_rep3_Dep6_Tu50,0.000,0.000,2.139,0.000,1.976,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.770,0.000,0.000,0.000,10.157,46.886,18.680,11.083,0.796,0.000,0.000,0.000,0.000,0.928,0.673,5.305,0.604
Colo9345_rep6_Dep6_Tu0.1,0.000,10.137,22.283,38.426,0.046,0.000,1.971,3.149,0.188,4.225,0.000,0.497,0.000,0.372,0.000,3.718,0.000,0.000,0.039,0.210,6.375,0.000,0.000,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.318,0.000,0.000,0.000,0.000,0.000,0.000
Colo9345_rep3_Dep6_Tu40,0.000,0.000,3.231,0.000,0.782,0.000,0.309,3.329,0.000,0.000,0.103,0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.065,0.000,0.000,0.000,7.184,46.388,17.185,9.801,1.673,0.000,0.000,0.000,0.000,3.160,0.782,1.745,2.035
Colo9345_rep6_Dep6_Tu3,0.000,5.845,18.005,33.246,0.000,0.000,1.920,3.495,0.008,1.682,0.128,3.034,0.127,0.000,0.159,0.000,0.000,0.000,0.061,1.744,8.115,0.000,0.027,1.423,0.000,0.000,0.000,0.000,5.371,2.196,1.073,2.235,0.000,9.696,0.000,0.000,0.000,0.000,0.410,0.000
Colo9345_rep9_Dep6_Tu50,0.000,0.170,12.724,0.000,0.000,0.000,0.000,6.028,0.000,0.000,0.000,5.507,0.000,0.214,0.000,0.000,0.000,0.000,0.562,0.000,0.927,0.000,0.000,2.429,0.000,0.000,0.045,0.023,31.632,11.608,2.531,4.787,0.000,0.000,0.000,0.000,0.593,0.000,0.086,20.133
Colo9345_rep1_Dep6_Tu3,0.000,3.775,32.561,16.676,0.000,0.000,2.759,2.047,0.000,0.683,4.711,0.710,0.000,4.741,0.224,0.106,0.000,0.000,0.000,0.000,1.323,0.000,0.909,0.307,0.006,0.000,6.153,0.000,6.069,1.967,0.210,4.093,0.000,9.926,0.000,0.000,0.042,0.000,0.000,0.000
Colo9345_rep6_Dep6_Tu30,0.000,0.000,7.437,0.000,0.000,0.000,0.547,3.175,0.000,0.000,1.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.995,0.000,0.000,0.000,0.000,4.442,0.335,0.000,0.000,1.607,44.301,14.058,8.681,1.188,0.000,0.000,0.000,0.000,0.165,2.238,1.635,2.355
Colo9345_rep1_Dep6_Tu20,0.000,0.000,8.485,2.259,9.379,0.000,2.389,1.384,0.000,0.000,1.730,0.331,4.527,0.000,0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.038,0.378,0.000,0.000,0.000,30.891,12.194,8.444,1.131,0.663,0.897,0.000,0.000,4.033,0.172,1.975,4.493
