Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Colo9345_rep1_Dep6_Tu5,0.000,0.000,0.000,21.338,26.016,2.046,0.000,0.000,0.000,0.000,0.872,0.000,49.659,0.069
Colo9345_rep8_Dep6_Tu30,0.000,1.505,3.407,30.040,17.526,4.289,0.000,0.000,0.000,0.000,1.372,0.000,40.766,1.096
Colo9345_rep5_Dep6_Tu1,0.000,0.000,0.000,0.872,35.776,0.000,0.000,0.000,0.000,0.000,3.011,0.000,60.341,0.000
Colo9345_rep5_Dep6_Tu20,0.000,11.404,1.375,40.992,11.662,9.078,0.000,0.000,0.000,0.000,1.513,0.000,20.901,3.074
Colo9345_rep7_Dep6_Tu20,0.000,3.860,2.202,48.635,10.779,6.501,0.000,0.000,0.000,0.000,0.322,0.000,23.050,4.650
Colo9345_rep6_Dep6_Tu2,0.000,0.000,0.000,5.160,37.309,0.000,0.000,0.000,0.000,0.000,1.847,0.000,55.684,0.000
Colo9345_rep10_Dep6_Tu10,0.000,0.000,0.000,10.341,30.349,0.000,0.000,0.000,0.000,0.000,4.444,0.000,54.865,0.000
Colo9345_rep1_Dep6_Tu10,0.000,2.195,3.089,28.401,24.479,6.083,0.000,0.000,0.000,0.000,0.893,0.000,33.856,1.003
Colo9345_rep3_Dep6_Tu30,0.000,6.122,3.199,53.372,6.075,11.499,0.000,0.000,0.000,0.000,0.079,0.000,15.137,4.515
Colo9345_rep6_Dep6_Tu1,0.000,0.000,0.000,1.051,31.848,0.000,0.000,0.000,0.000,0.000,3.186,0.000,63.915,0.000
Colo9345_rep2_Dep6_Tu10,0.000,0.000,3.796,30.267,17.986,7.152,0.000,0.000,0.000,0.000,0.853,0.000,37.911,2.036
Colo9345_rep6_Dep6_Tu5,0.000,0.000,0.000,19.694,25.448,3.345,0.000,0.000,0.000,0.000,1.070,0.000,50.442,0.000
Colo9345_rep5_Dep6_Tu10,0.000,2.587,2.113,28.225,19.933,4.375,0.000,0.000,0.000,0.000,2.100,0.000,35.518,5.150
Colo9345_rep5_Dep6_Tu40,0.000,11.121,1.565,57.302,1.627,11.372,0.000,0.000,0.000,0.000,0.000,0.000,9.014,7.999
Colo9345_rep1_Dep6_Tu0.1,0.000,0.000,0.000,0.000,27.072,0.000,0.000,0.000,0.000,0.000,5.484,0.000,67.443,0.000
Colo9345_rep3_Dep6_Tu10,0.017,0.000,0.473,30.437,18.482,4.584,0.000,0.000,0.000,0.000,1.704,0.000,36.318,7.986
Colo9345_rep4_Dep6_Tu2,0.000,0.000,0.000,6.358,33.080,0.000,0.000,0.000,0.000,0.000,4.288,0.000,56.273,0.000
Colo9345_rep2_Dep6_Tu20,0.000,6.708,1.728,45.852,10.515,8.540,0.000,0.000,0.000,0.000,0.494,0.000,22.889,3.273
Colo9345_rep3_Dep6_Tu50,0.000,11.906,2.097,61.948,0.000,12.525,0.000,0.000,0.000,0.000,0.000,0.000,5.143,6.381
Colo9345_rep6_Dep6_Tu0.1,0.000,0.000,0.000,0.000,31.492,0.000,0.000,0.000,0.000,0.000,2.828,0.000,65.679,0.000
Colo9345_rep3_Dep6_Tu40,0.000,8.559,3.523,56.151,0.366,13.474,0.000,0.000,0.000,0.000,0.000,0.000,8.802,9.125
Colo9345_rep6_Dep6_Tu3,0.000,0.000,0.000,12.225,30.439,0.000,0.000,0.000,0.000,0.000,1.343,0.000,55.992,0.000
Colo9345_rep9_Dep6_Tu50,0.949,0.000,1.168,50.285,13.464,5.903,0.000,0.000,0.000,0.000,0.000,0.000,24.250,3.981
Colo9345_rep1_Dep6_Tu3,0.000,0.000,0.000,10.964,28.568,2.203,0.000,0.000,0.000,0.000,5.253,0.000,52.991,0.021
Colo9345_rep6_Dep6_Tu30,0.000,3.588,2.300,51.460,8.592,12.378,0.000,0.000,0.000,0.000,0.000,0.000,13.535,8.147
Colo9345_rep1_Dep6_Tu20,0.000,5.760,4.520,42.126,13.679,10.331,0.000,0.000,0.000,0.000,0.310,0.000,20.735,2.539
Colo9345_rep4_Dep6_Tu0.5,0.000,0.000,0.000,0.048,38.144,0.000,0.000,0.000,0.000,0.000,2.771,0.000,59.036,0.000
