Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo9345_rep1_Dep6_Tu5,2.390,2.638,1.496,14.538,2.660,3.253,2.385,0.168,2.753,9.217,7.500,2.102,48.900
Colo9345_rep8_Dep6_Tu30,2.882,3.397,2.545,25.086,3.953,3.516,1.095,4.823,0.000,4.943,6.843,0.377,40.539
Colo9345_rep5_Dep6_Tu1,2.006,0.080,0.000,3.342,6.687,2.003,3.188,0.000,0.000,9.328,9.946,4.520,58.900
Colo9345_rep5_Dep6_Tu20,4.454,7.890,3.133,39.093,0.000,5.285,0.000,8.443,0.000,3.065,3.841,0.000,24.797
Colo9345_rep7_Dep6_Tu20,5.149,6.610,2.678,40.171,0.000,4.758,0.000,8.744,0.000,3.282,4.122,0.000,24.486
Colo9345_rep6_Dep6_Tu2,0.016,1.257,0.130,6.749,3.584,3.026,3.142,0.000,0.293,12.551,9.429,3.117,56.705
Colo9345_rep10_Dep6_Tu10,0.352,2.308,0.000,9.444,4.286,1.943,3.976,0.000,0.000,10.137,8.442,3.838,55.274
Colo9345_rep1_Dep6_Tu10,4.145,7.201,0.757,25.682,1.282,3.883,0.195,3.148,3.103,6.042,6.277,0.000,38.284
Colo9345_rep3_Dep6_Tu30,6.609,7.423,4.065,47.798,0.000,5.964,0.000,8.754,0.000,1.003,1.828,0.000,16.555
Colo9345_rep6_Dep6_Tu1,1.126,0.000,0.639,3.542,5.884,1.984,3.110,0.000,0.000,10.681,8.002,3.949,61.084
Colo9345_rep2_Dep6_Tu10,4.120,2.188,2.592,26.804,3.528,3.113,0.476,5.892,0.000,7.339,4.822,0.238,38.888
Colo9345_rep6_Dep6_Tu5,2.048,0.000,1.873,14.450,2.766,3.401,2.106,0.000,2.267,10.862,8.399,2.705,49.124
Colo9345_rep5_Dep6_Tu10,4.217,4.755,1.881,25.128,1.863,3.496,0.360,3.648,0.000,9.659,6.136,0.000,38.857
Colo9345_rep5_Dep6_Tu40,6.880,10.356,2.934,54.262,0.000,6.178,0.000,9.643,0.000,0.000,0.000,0.000,9.747
Colo9345_rep1_Dep6_Tu0.1,0.634,0.000,0.000,0.121,6.014,2.370,3.948,0.000,0.000,9.773,9.086,4.149,63.905
Colo9345_rep3_Dep6_Tu10,6.317,0.783,2.295,26.496,2.426,3.613,2.016,5.621,0.000,5.125,6.282,0.543,38.485
Colo9345_rep4_Dep6_Tu2,1.118,1.410,0.000,6.697,7.678,2.250,2.232,0.000,2.665,8.184,9.508,2.451,55.807
Colo9345_rep2_Dep6_Tu20,5.082,7.314,2.258,39.639,0.791,5.171,0.000,8.792,0.000,2.205,3.428,0.000,25.320
Colo9345_rep3_Dep6_Tu50,6.612,9.592,3.830,59.025,0.000,6.813,0.000,8.836,0.000,0.000,0.000,0.000,5.291
Colo9345_rep6_Dep6_Tu0.1,1.478,0.000,0.000,0.000,3.708,2.376,4.423,0.000,0.000,12.867,8.879,3.644,62.625
Colo9345_rep3_Dep6_Tu40,6.767,8.515,3.710,55.071,0.000,6.658,0.000,8.467,0.000,0.000,0.379,0.000,10.433
Colo9345_rep6_Dep6_Tu3,1.813,0.000,0.000,9.215,5.864,2.924,3.283,0.000,3.409,9.216,7.759,2.322,54.195
Colo9345_rep9_Dep6_Tu50,3.665,4.927,2.959,41.221,1.749,3.749,0.980,4.209,0.000,7.009,3.277,0.000,26.254
Colo9345_rep1_Dep6_Tu3,3.360,0.865,1.435,9.460,2.407,2.621,2.642,0.000,0.809,10.572,9.676,3.167,52.988
Colo9345_rep6_Dep6_Tu30,6.069,6.769,4.072,47.706,0.000,6.438,0.000,11.361,0.000,0.000,1.550,0.000,16.035
Colo9345_rep1_Dep6_Tu20,4.640,7.674,2.560,40.049,0.000,4.804,0.000,8.423,0.000,2.517,3.856,0.000,25.476
Colo9345_rep4_Dep6_Tu0.5,1.910,1.153,0.533,0.977,5.264,2.342,2.316,0.000,0.000,10.700,9.502,4.817,60.486
Colo9345_rep9_Dep6_Tu10,1.345,2.107,0.251,8.350,5.500,1.995,2.752,0.000,0.000,9.888,8.802,3.191,55.820
Colo9345_rep3_Dep6_Tu1,0.997,0.000,0.483,3.011,5.711,2.437,3.447,0.000,0.000,10.181,8.956,4.577,60.200
Colo9345_rep7_Dep6_Tu0.1,0.456,0.000,0.000,0.411,5.169,2.162,3.536,0.000,0.000,11.572,9.368,3.720,63.606
Colo9345_rep4_Dep6_Tu20,5.578,5.503,3.325,39.427,0.000,5.052,0.000,8.454,0.192,4.034,3.179,0.000,25.256
Colo9345_rep7_Dep6_Tu5,5.262,0.649,1.427,15.690,1.854,2.828,1.933,2.320,0.815,8.251,7.916,1.913,49.141
Colo9345_rep10_Dep6_Tu50,6.835,7.505,1.093,38.162,0.225,4.062,0.109,6.142,0.000,6.361,2.038,0.000,27.468
Colo9345_rep2_Dep6_Tu50,7.018,8.948,4.651,59.477,0.000,7.038,0.000,7.880,0.000,0.000,0.000,0.000,4.988
Colo9345_rep10_Dep6_Tu40,4.084,6.972,2.358,30.849,1.790,5.350,0.000,7.328,2.636,1.707,3.150,0.000,33.775
Colo9345_rep9_Dep6_Tu20,4.288,0.000,1.965,15.602,3.096,3.997,1.510,1.628,2.487,8.499,6.971,1.588,48.369
Colo9345_rep8_Dep6_Tu3,1.253,0.318,1.016,3.032,5.192,1.534,2.067,0.000,0.000,12.628,8.018,3.622,61.319
Colo9345_rep5_Dep6_Tu3,1.787,0.896,0.000,10.064,5.245,2.156,3.417,0.000,0.000,11.270,7.202,2.688,55.276
Colo9345_rep1_Dep6_Tu40,5.632,9.344,3.553,55.108,0.000,6.608,0.000,9.332,0.000,0.000,0.000,0.000,10.423
Colo9345_rep9_Dep6_Tu0.3,0.000,0.000,0.020,0.106,4.498,2.687,4.706,0.000,0.000,10.590,8.404,4.074,64.914
Colo9345_rep4_Dep6_Tu1,1.224,2.427,0.213,3.282,7.088,1.636,1.909,0.000,0.000,9.612,10.258,3.628,58.724
Colo9345_rep10_Dep6_Tu20,0.000,4.567,0.000,17.745,4.938,2.570,1.936,1.975,1.343,10.067,7.078,1.897,45.884
