Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Ov79_rep2_Dep6_Tu5,0.287,2.139,1.031,2.841,1.794,7.152,8.262,5.327,6.054,0.874,4.912,3.714,0.925,1.596,0.675,1.593,2.777,3.794,0.855,0.230,0.585,0.569,0.676,0.017,0.416,0.243,0.084,0.125,0.037,0.058,0.016,0.040,0.144,0.882,1.016,0.115,0.349,0.217,0.580,1.686,0.248,3.348,1.041,1.459,4.038,0.774,1.600,1.323,12.208,9.273
Ov79_rep8_Dep6_Tu30,0.754,3.266,0.796,1.875,0.856,3.923,4.030,2.243,3.645,2.485,3.611,0.200,0.576,1.247,1.340,2.500,0.829,3.503,2.894,0.912,1.347,0.563,1.820,0.812,2.043,1.176,0.419,0.300,0.653,0.231,0.647,0.995,2.468,0.331,2.996,0.462,3.056,0.646,0.335,0.172,12.167,1.987,0.534,2.939,2.920,4.438,3.366,1.218,4.541,2.935
Ov79_rep6_Dep6_Tu0.3,1.998,0.633,2.298,1.477,4.228,5.332,6.519,12.160,4.344,2.053,1.489,0.731,0.033,1.490,4.631,3.120,3.514,0.497,0.972,1.809,0.010,1.195,1.296,0.047,0.116,0.073,0.115,0.008,0.031,0.006,0.005,0.005,0.222,0.342,0.414,0.148,0.043,0.005,0.705,1.242,0.220,6.140,1.056,0.891,2.013,1.938,1.975,0.924,12.792,6.692
Ov79_rep1_Dep6_Tu3,0.301,1.033,6.654,2.719,4.903,7.277,0.993,7.201,6.649,5.798,0.701,2.977,1.094,0.241,0.800,1.291,2.672,4.021,1.299,2.209,0.409,1.093,1.142,0.020,0.303,0.079,0.039,0.050,0.060,0.012,0.001,0.006,0.007,0.434,0.603,0.014,0.076,0.155,0.979,1.085,0.468,3.447,4.627,11.061,0.345,2.775,2.089,4.597,2.809,0.381
Ov79_rep1_Dep6_Tu50,2.481,1.663,1.050,1.445,0.013,1.159,1.370,1.822,1.738,2.123,1.093,1.193,0.443,0.837,2.058,0.328,1.989,0.754,0.279,2.280,1.376,1.065,1.138,0.403,2.293,2.472,0.807,0.936,1.785,0.594,0.446,3.254,0.350,4.245,2.965,3.462,3.209,1.382,1.993,3.161,8.345,1.238,2.661,0.059,8.657,2.656,10.583,0.816,0.625,0.904
Ov79_rep7_Dep6_Tu50,0.244,3.330,0.513,1.012,1.878,1.744,1.699,1.074,0.930,2.064,1.567,2.091,2.711,0.167,0.818,1.727,1.541,1.729,0.225,1.558,1.426,0.590,0.271,0.300,1.663,1.099,1.402,1.233,0.053,0.491,2.419,0.495,4.929,4.624,0.680,2.024,4.295,0.037,2.368,2.862,17.588,1.018,0.299,3.249,3.298,1.099,6.420,1.657,0.509,2.983
Ov79_rep4_Dep6_Tu50,2.537,0.631,1.365,0.424,0.349,2.457,0.957,1.764,0.105,2.838,1.072,0.202,0.712,2.093,0.057,3.096,2.777,1.267,2.688,1.055,0.376,1.830,1.396,1.357,0.156,1.580,0.531,0.523,1.411,0.047,1.070,3.060,1.913,3.949,4.021,4.409,1.338,2.617,0.443,2.975,10.480,1.263,2.945,0.244,5.042,1.097,10.060,1.747,0.634,3.035
Ov79_rep2_Dep6_Tu3,0.578,1.117,4.456,7.176,7.063,5.419,0.669,8.162,1.260,2.858,4.107,3.637,0.890,0.721,2.720,0.539,5.331,3.075,0.368,2.022,1.212,0.349,0.361,0.133,0.527,0.077,0.101,0.022,0.066,0.033,0.007,0.008,0.133,0.351,0.018,0.144,0.112,0.014,0.475,0.529,0.496,0.961,4.765,4.925,1.541,3.199,0.935,1.565,11.359,3.415
Ov79_rep7_Dep6_Tu1,1.722,1.093,4.215,1.199,5.368,5.117,7.384,6.257,7.466,1.882,2.499,1.317,0.996,1.225,3.560,1.978,2.817,1.519,0.873,1.665,0.045,1.108,1.015,0.036,0.008,0.101,0.130,0.068,0.024,0.007,0.002,0.003,0.005,0.055,0.689,0.052,0.065,0.214,0.544,1.085,0.484,1.629,9.119,1.607,1.130,16.386,0.254,0.279,2.773,0.931
Ov79_rep9_Dep6_Tu5,0.748,0.787,2.439,4.688,1.345,4.193,5.831,6.577,5.079,3.317,4.930,2.527,1.525,0.247,3.503,3.324,0.109,2.252,2.774,0.506,0.131,1.069,1.080,0.098,0.578,0.043,0.097,0.138,0.092,0.064,0.013,0.046,0.648,0.326,0.710,0.305,0.129,0.389,1.229,1.657,1.193,12.083,1.227,0.494,2.556,1.721,2.531,2.150,7.963,2.538
