Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Ov79_rep2_Dep6_Tu5,0.832,3.670,0.758,0.000,2.689,1.360,2.010,3.148,0.000,12.168,8.276,3.296,61.793
Ov79_rep8_Dep6_Tu30,4.340,5.366,3.663,1.856,8.927,5.053,1.571,3.320,0.000,11.239,8.894,3.155,42.617
Ov79_rep6_Dep6_Tu0.3,0.000,1.632,0.468,0.000,1.125,0.000,2.296,1.802,3.530,12.545,8.828,2.444,65.331
Ov79_rep1_Dep6_Tu3,0.000,2.960,0.117,0.000,1.114,0.242,2.518,0.453,3.012,12.245,10.216,2.008,65.115
Ov79_rep1_Dep6_Tu50,6.140,8.160,5.706,4.425,12.462,7.308,0.821,3.708,0.000,12.085,8.136,2.217,28.832
Ov79_rep7_Dep6_Tu50,6.133,8.134,5.737,4.126,13.268,7.451,0.292,5.467,0.000,10.132,9.511,1.847,27.901
Ov79_rep4_Dep6_Tu50,6.670,7.668,6.129,4.015,12.302,7.406,1.074,2.114,0.000,10.690,10.974,2.807,28.151
Ov79_rep2_Dep6_Tu3,0.031,2.587,0.409,0.000,1.349,0.540,2.861,2.836,0.202,12.370,9.524,2.518,64.773
Ov79_rep7_Dep6_Tu1,0.000,1.311,0.590,0.000,2.473,0.166,2.381,1.933,1.800,12.976,7.949,2.501,65.922
Ov79_rep9_Dep6_Tu5,0.514,2.998,1.163,0.000,3.370,0.975,2.491,2.946,0.748,11.176,10.175,2.504,60.940
Ov79_rep3_Dep6_Tu1,0.000,1.452,0.691,0.000,2.313,0.573,2.304,0.000,4.484,11.735,9.326,2.877,64.246
Ov79_rep5_Dep6_Tu3,0.000,2.440,0.416,0.000,1.625,0.244,1.853,2.016,0.000,14.066,8.094,3.290,65.956
Ov79_rep10_Dep6_Tu0.3,0.000,1.978,0.142,0.000,1.671,0.114,2.060,3.866,1.413,12.633,7.739,2.431,65.954
Ov79_rep8_Dep6_Tu2,0.179,2.252,0.449,0.000,2.560,0.790,1.929,0.000,2.757,13.414,9.387,3.336,62.947
Ov79_rep1_Dep6_Tu0.5,0.000,3.091,0.188,0.000,1.782,0.000,2.604,2.643,1.595,12.159,9.629,1.944,64.365
