Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Ov79_rep2_Dep6_Tu5,0.005,23.198,19.505,0.000,4.517,0.579,0.381,1.079,1.801,1.666,10.528,2.106,34.636
Ov79_rep8_Dep6_Tu30,1.243,16.699,19.361,0.241,22.894,2.574,4.485,4.196,1.953,5.595,4.522,1.478,14.759
Ov79_rep6_Dep6_Tu0.3,0.009,17.954,13.891,0.000,7.524,0.114,1.198,1.628,0.324,2.857,20.014,1.629,32.859
Ov79_rep1_Dep6_Tu3,0.001,10.152,20.187,0.000,1.562,0.532,1.206,1.136,1.216,4.236,17.018,1.816,40.939
Ov79_rep1_Dep6_Tu50,4.630,1.006,19.797,1.407,38.929,1.598,3.183,5.965,2.101,0.619,9.461,5.506,5.798
Ov79_rep7_Dep6_Tu50,3.354,6.641,5.070,1.398,41.527,3.980,4.584,4.045,3.133,10.593,6.275,2.717,6.683
Ov79_rep4_Dep6_Tu50,2.930,0.732,11.003,0.291,41.498,7.900,4.520,6.400,2.022,6.405,2.673,2.984,10.643
Ov79_rep2_Dep6_Tu3,0.002,1.303,19.587,0.006,12.955,0.931,0.074,4.251,0.343,3.133,13.250,2.438,41.729
Ov79_rep7_Dep6_Tu1,0.003,22.187,17.092,0.000,6.755,0.339,0.341,0.431,1.534,1.065,18.853,0.286,31.113
Ov79_rep9_Dep6_Tu5,0.026,27.735,17.050,0.029,7.628,0.233,2.795,1.695,1.483,3.056,14.526,2.157,21.587
Ov79_rep3_Dep6_Tu1,0.003,17.711,17.233,0.000,10.417,0.049,1.154,0.962,1.403,0.663,17.678,1.921,30.807
Ov79_rep5_Dep6_Tu3,0.001,19.378,13.821,0.000,10.711,0.374,0.143,1.160,0.879,4.364,13.861,1.316,33.992
Ov79_rep10_Dep6_Tu0.3,0.001,35.008,0.044,0.000,6.572,0.143,0.596,1.546,0.578,4.040,17.285,0.246,33.940
Ov79_rep8_Dep6_Tu2,0.011,22.771,5.688,0.003,13.844,0.489,1.523,0.326,0.714,3.229,11.889,2.217,37.295
Ov79_rep1_Dep6_Tu0.5,0.004,20.151,15.250,0.001,6.174,0.153,1.238,1.475,1.082,3.844,11.357,0.808,38.462
Ov79_rep3_Dep6_Tu0.3,0.001,34.322,3.301,0.000,13.461,0.403,1.513,1.256,1.207,3.216,16.938,0.193,24.188
Ov79_rep8_Dep6_Tu50,3.557,5.392,3.783,0.767,44.108,3.395,1.695,4.708,5.152,7.562,8.953,4.577,6.351
Ov79_rep9_Dep6_Tu0.3,0.005,19.536,11.245,0.001,4.613,0.542,0.147,0.668,0.303,3.280,14.582,1.092,43.984
Ov79_rep7_Dep6_Tu2,0.009,22.945,10.722,0.000,6.260,0.074,1.705,0.368,0.878,6.898,10.274,1.260,38.606
Ov79_rep7_Dep6_Tu30,1.743,0.120,12.804,0.054,36.517,3.643,3.397,2.000,0.796,5.438,9.391,2.761,21.336
Ov79_rep5_Dep6_Tu50,1.869,1.808,9.796,1.231,49.501,1.861,3.617,4.213,1.550,7.578,9.396,3.194,4.387
Ov79_rep6_Dep6_Tu0.5,0.001,24.013,12.175,0.001,5.924,0.209,2.045,1.375,2.338,3.475,8.442,0.698,39.304
