Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Ov79_rep2_Dep6_Tu5,0.000,0.000,0.000,0.000,14.508,0.435,1.426,0.000,0.000,12.858,9.204,4.391,57.177
Ov79_rep8_Dep6_Tu30,4.650,0.000,0.000,0.000,22.826,4.824,1.674,1.838,0.000,14.901,11.912,3.327,34.047
Ov79_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,7.645,0.000,3.954,0.000,1.408,10.659,15.968,2.816,57.551
Ov79_rep1_Dep6_Tu3,0.000,0.000,0.000,0.000,1.781,0.000,2.976,0.000,2.569,15.837,13.729,1.561,61.547
Ov79_rep1_Dep6_Tu50,4.995,0.000,1.163,0.951,16.070,11.945,1.944,4.813,0.000,15.075,11.544,5.358,26.142
Ov79_rep7_Dep6_Tu50,9.518,5.920,0.000,0.000,16.551,7.239,1.388,2.467,4.056,16.877,7.457,4.527,23.999
Ov79_rep4_Dep6_Tu50,6.590,0.000,0.000,0.000,25.146,8.203,4.576,5.982,0.356,10.331,15.555,4.179,19.081
Ov79_rep2_Dep6_Tu3,0.000,0.000,0.000,0.000,9.290,0.000,0.356,0.625,0.000,15.616,11.621,4.199,58.294
Ov79_rep7_Dep6_Tu1,0.000,0.000,0.000,0.000,4.866,0.000,3.522,0.000,0.000,11.978,14.299,1.295,64.040
Ov79_rep9_Dep6_Tu5,0.000,0.000,0.000,0.000,11.892,0.628,4.985,0.000,0.981,13.578,12.925,4.169,50.842
Ov79_rep3_Dep6_Tu1,0.000,0.000,0.000,0.000,11.229,0.000,2.306,0.000,1.109,8.123,13.681,4.086,59.467
Ov79_rep5_Dep6_Tu3,0.000,0.000,0.000,0.000,10.396,0.000,1.868,0.000,0.000,13.030,10.493,3.446,60.766
Ov79_rep10_Dep6_Tu0.3,0.000,0.000,0.000,0.000,2.753,0.000,0.000,0.000,6.124,13.447,12.708,2.784,62.182
Ov79_rep8_Dep6_Tu2,0.000,0.000,0.000,0.000,9.995,0.000,3.206,0.000,0.000,13.086,11.756,3.870,58.087
Ov79_rep1_Dep6_Tu0.5,0.741,0.000,0.000,0.000,7.930,0.000,2.717,0.000,2.982,13.672,10.750,0.792,60.416
Ov79_rep3_Dep6_Tu0.3,0.000,0.000,0.000,0.000,12.356,0.000,5.863,0.000,0.847,11.258,8.329,0.000,61.348
Ov79_rep8_Dep6_Tu50,8.450,0.000,0.000,0.000,20.175,9.920,2.548,0.926,5.874,9.999,9.720,7.681,24.708
Ov79_rep9_Dep6_Tu0.3,0.000,0.000,0.000,0.000,6.627,0.000,0.550,0.000,0.000,13.219,15.933,0.172,63.499
Ov79_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,5.716,0.000,3.643,0.000,0.000,19.250,8.396,1.129,61.865
Ov79_rep7_Dep6_Tu30,5.853,0.000,0.000,0.000,12.672,5.752,3.927,0.000,0.000,13.649,11.020,5.800,41.326
Ov79_rep5_Dep6_Tu50,9.228,0.000,1.494,0.000,25.434,5.050,2.176,2.107,2.588,14.156,12.309,4.007,21.451
Ov79_rep6_Dep6_Tu0.5,0.000,0.000,0.000,0.000,10.322,0.000,4.713,0.000,3.946,9.874,10.453,2.146,58.546
Ov79_rep2_Dep6_Tu2,0.000,0.000,0.000,0.000,5.990,0.000,2.642,0.000,0.033,14.518,14.262,2.415,60.141
Ov79_rep3_Dep6_Tu30,5.286,0.000,0.000,0.000,12.583,1.217,2.931,0.000,0.000,20.520,14.126,4.152,39.184
Ov79_rep9_Dep6_Tu3,0.000,0.000,0.000,0.000,13.004,0.000,3.086,0.000,1.723,9.066,11.755,2.946,58.421
Ov79_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,8.451,0.000,3.046,0.000,0.000,15.319,13.821,2.018,57.346
Ov79_rep10_Dep6_Tu1,0.000,0.000,0.000,0.000,12.100,0.000,0.000,0.000,1.048,8.454,12.896,5.986,59.515
Ov79_rep6_Dep6_Tu5,0.000,0.000,0.000,0.000,8.316,0.724,3.865,0.913,0.000,15.381,9.693,1.280,59.828
Ov79_rep2_Dep6_Tu0.3,0.000,0.000,0.000,0.000,11.914,0.000,1.526,0.000,0.000,9.960,10.096,3.816,62.688
Ov79_rep4_Dep6_Tu20,2.055,0.000,0.000,0.000,11.505,3.046,5.777,0.000,0.000,9.747,13.272,8.758,45.840
Ov79_rep1_Dep6_Tu0.1,0.000,0.000,0.000,0.000,7.421,0.000,2.082,0.000,0.629,13.885,9.463,0.000,66.520
Ov79_rep4_Dep6_Tu10,0.000,0.000,0.000,0.000,11.340,0.000,3.461,0.000,2.439,12.571,14.691,0.391,55.107
Ov79_rep4_Dep6_Tu30,10.323,0.000,0.000,0.000,14.461,0.602,0.000,2.868,1.604,16.633,10.166,3.428,39.914
Ov79_rep5_Dep6_Tu10,0.276,0.000,0.000,1.079,11.715,0.000,4.041,0.000,0.000,16.699,10.825,3.577,51.789
Ov79_rep7_Dep6_Tu3,0.000,0.000,0.000,0.000,11.237,0.000,5.365,0.000,0.000,10.408,11.340,4.509,57.141
Ov79_rep9_Dep6_Tu50,6.890,1.166,1.219,0.000,22.694,9.842,2.429,1.832,0.000,14.498,9.298,6.385,23.747
Ov79_rep10_Dep6_Tu0.5,0.000,0.000,0.000,0.000,9.540,0.000,4.161,0.000,0.000,11.440,12.509,0.885,61.465
Ov79_rep7_Dep6_Tu40,4.551,0.000,0.000,2.142,20.659,6.579,3.945,0.000,0.000,14.660,7.961,4.666,34.836
Ov79_rep7_Dep6_Tu0.1,0.000,0.000,0.000,0.000,10.524,0.000,1.486,0.000,0.251,11.256,14.873,2.725,58.885
Ov79_rep9_Dep6_Tu0.1,0.000,0.000,0.000,0.000,13.397,0.000,3.181,0.000,0.000,12.717,11.513,4.664,54.528
Ov79_rep1_Dep6_Tu5,0.000,0.000,0.000,0.000,9.329,0.837,3.498,0.000,4.363,12.371,9.610,1.962,58.031
Ov79_rep9_Dep6_Tu30,6.487,0.361,0.000,0.000,13.533,6.270,4.611,0.000,2.176,13.840,12.332,5.487,34.904
Ov79_rep2_Dep6_Tu0.1,0.000,0.000,0.000,0.000,10.993,0.000,3.590,0.000,0.396,9.768,12.484,5.547,57.221
Ov79_rep7_Dep6_Tu20,2.773,0.000,0.000,0.000,23.955,3.157,0.869,0.502,0.301,12.852,10.840,2.782,41.969
Ov79_rep7_Dep6_Tu5,2.701,0.000,0.000,0.000,6.303,0.193,5.225,0.000,3.510,10.692,11.561,0.290,59.525
Ov79_rep2_Dep6_Tu10,0.000,0.000,0.000,0.000,17.414,0.120,0.243,0.000,0.592,14.012,11.983,3.292,52.344
Ov79_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,11.163,0.000,6.424,0.000,0.792,8.915,10.490,3.937,58.280
Ov79_rep8_Dep6_Tu5,0.000,0.000,0.000,0.000,10.126,0.000,2.779,0.000,3.205,10.963,10.371,6.855,55.702
Ov79_rep1_Dep6_Tu10,0.000,0.000,0.000,0.000,11.245,4.220,10.364,0.000,1.074,12.051,8.077,4.468,48.500
Ov79_rep1_Dep6_Tu1,0.000,0.000,0.000,0.000,10.292,0.000,5.058,0.000,1.710,11.411,9.927,3.522,58.080
Ov79_rep10_Dep6_Tu10,2.575,0.000,0.147,0.000,8.015,2.773,1.456,0.000,0.970,13.977,12.423,3.471,54.193
Ov79_rep2_Dep6_Tu50,6.201,0.000,2.000,0.000,17.572,8.383,0.102,3.041,0.000,23.381,9.127,4.150,26.044
Ov79_rep3_Dep6_Tu20,2.412,2.617,0.000,0.000,15.574,0.000,0.497,0.000,0.000,16.011,16.080,2.558,44.251
Ov79_rep3_Dep6_Tu0.1,0.000,0.000,0.000,0.000,11.520,0.000,1.554,0.000,0.000,9.266,17.566,3.974,56.121
Ov79_rep10_Dep6_Tu3,0.000,0.000,0.000,0.000,15.352,1.048,2.585,0.000,0.000,7.833,12.450,2.527,58.205
Ov79_rep5_Dep6_Tu2,0.000,0.000,0.000,0.000,8.579,0.000,1.610,0.000,3.148,9.950,12.736,4.242,59.735
Ov79_rep10_Dep6_Tu0.1,0.000,0.000,0.000,0.000,3.430,0.000,3.867,0.000,2.689,12.226,12.037,3.852,61.899
Ov79_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,13.492,0.000,3.603,0.000,0.195,10.357,11.287,0.489,60.577
Ov79_rep4_Dep6_Tu0.3,0.000,0.000,0.000,0.000,5.767,0.000,2.942,0.000,1.846,12.438,13.059,2.532,61.417
Ov79_rep4_Dep6_Tu3,0.000,0.000,0.000,0.000,10.437,0.000,3.139,0.000,0.000,8.877,11.711,6.891,58.945
Ov79_rep3_Dep6_Tu10,0.728,0.000,0.000,0.000,8.989,4.180,0.095,0.000,0.856,17.114,13.684,0.232,54.121
Ov79_rep3_Dep6_Tu5,0.000,0.000,0.000,0.000,13.600,1.170,2.791,0.000,0.000,13.714,6.594,2.326,59.805
Ov79_rep7_Dep6_Tu0.3,0.000,0.000,0.000,0.000,6.938,0.000,0.416,0.000,0.865,14.255,12.870,2.772,61.884
Ov79_rep8_Dep6_Tu3,0.000,0.000,0.000,0.000,11.649,0.000,0.127,0.000,0.950,8.812,12.542,4.880,61.042
Ov79_rep1_Dep6_Tu20,5.656,0.000,0.000,0.000,19.523,1.362,1.146,0.000,2.507,15.761,6.406,4.661,42.976
Ov79_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,3.364,0.000,3.825,0.000,1.081,10.889,9.514,3.055,68.272
Ov79_rep7_Dep6_Tu10,0.000,0.000,0.000,0.000,20.550,0.000,1.864,0.000,0.000,9.866,12.896,5.303,49.520
Ov79_rep8_Dep6_Tu0.5,0.000,0.000,0.000,0.000,12.493,0.000,5.738,0.000,0.746,11.537,8.251,0.000,61.236
Ov79_rep4_Dep6_Tu0.5,0.000,0.000,0.000,0.000,7.136,1.589,7.144,0.000,0.635,9.981,7.185,4.294,62.036
Ov79_rep2_Dep6_Tu40,6.005,0.874,1.916,0.000,15.735,5.430,7.725,0.905,1.494,12.485,11.317,5.611,30.503
Ov79_rep9_Dep6_Tu10,0.165,0.000,0.000,0.000,13.528,1.755,4.309,0.000,0.000,10.155,13.989,5.306,50.793
