Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Ov79_rep2_Dep6_Tu5,0.478,0.696,9.393,2.464,7.728,6.122,12.674,9.352,9.919,0.776,2.757,3.220,0.663,0.547,0.535,0.629,1.569,1.162,0.962,1.395,0.210,0.373,0.421,0.077,0.356,0.238,0.071,0.033,0.020,0.004,0.070,0.124,4.755,9.671,3.248,1.687,2.649,1.490,1.450,0.011
Ov79_rep8_Dep6_Tu30,2.159,1.714,4.099,4.243,5.953,6.437,5.251,6.723,2.873,3.048,0.800,2.050,0.822,1.051,1.237,0.373,1.033,1.265,0.443,1.117,0.455,1.195,0.804,0.496,0.459,0.909,0.037,0.158,0.240,0.028,0.533,2.899,7.280,3.066,3.905,9.175,6.590,0.880,3.970,4.232
Ov79_rep6_Dep6_Tu0.3,0.654,1.418,8.570,7.870,3.564,11.180,6.819,15.014,8.414,2.117,2.713,0.396,0.662,0.593,0.937,0.320,1.623,1.222,1.137,0.927,0.437,0.128,1.057,0.040,0.265,0.090,0.170,0.002,0.018,0.001,0.007,0.008,3.884,8.187,3.122,1.435,0.467,3.710,0.309,0.514
Ov79_rep1_Dep6_Tu3,0.039,1.250,2.871,6.342,0.317,8.820,8.742,14.468,19.592,2.760,1.385,3.413,0.762,0.868,1.037,0.810,0.393,1.097,0.783,1.162,0.194,0.522,0.860,0.021,0.042,0.112,0.143,0.023,0.003,0.004,0.018,0.018,0.909,5.395,4.134,0.724,2.721,5.302,1.004,0.938
Ov79_rep1_Dep6_Tu50,1.338,2.308,3.210,4.314,3.779,7.297,0.271,0.253,2.205,2.132,0.377,3.300,0.968,0.497,0.048,1.313,0.415,0.951,1.755,1.022,1.126,1.093,1.219,0.479,0.813,2.250,0.572,0.481,0.541,0.089,3.511,1.420,14.514,1.587,1.112,12.940,5.955,0.431,3.263,8.851
Ov79_rep7_Dep6_Tu50,0.676,2.566,5.459,1.038,0.613,3.505,3.465,1.621,4.441,2.621,1.789,0.867,0.553,0.063,1.926,0.234,2.051,0.087,1.659,1.106,1.147,1.207,0.920,0.168,1.038,1.509,2.036,0.261,0.878,0.172,0.990,4.312,4.536,5.274,8.838,19.922,2.557,4.148,1.723,2.024
Ov79_rep4_Dep6_Tu50,2.482,2.032,1.202,2.432,2.621,5.414,2.068,4.667,1.231,1.552,2.894,3.273,1.454,0.225,0.457,1.558,1.523,0.634,1.516,0.379,1.683,0.595,0.919,0.322,1.082,0.059,0.980,0.783,0.639,0.073,2.591,3.776,10.656,5.547,2.717,9.640,7.187,3.523,2.015,5.599
Ov79_rep2_Dep6_Tu3,1.053,1.357,7.271,13.535,0.024,4.474,3.721,15.583,16.212,2.848,2.589,1.885,1.190,0.616,1.096,0.124,1.381,1.271,1.106,0.243,0.446,0.302,0.331,0.018,0.061,0.037,0.022,0.005,0.078,0.001,0.006,0.053,2.539,7.546,0.898,0.812,2.403,4.842,0.662,1.360
Ov79_rep7_Dep6_Tu1,1.022,1.482,11.883,8.381,0.474,1.774,6.363,16.712,16.840,0.001,3.635,2.643,0.030,1.041,0.803,0.997,0.560,0.063,0.828,0.979,0.624,0.410,0.569,0.015,0.016,0.065,0.103,0.024,0.015,0.001,0.017,0.028,2.330,3.783,4.558,0.747,3.626,3.714,1.359,1.485
Ov79_rep9_Dep6_Tu5,2.380,0.912,6.577,0.179,6.953,7.803,11.430,8.776,14.008,1.399,2.335,3.675,1.378,0.508,0.829,0.604,1.638,0.650,0.654,0.183,0.335,0.151,0.430,0.093,0.060,0.297,0.301,0.060,0.023,0.015,0.097,0.007,0.975,10.040,1.950,3.069,4.394,3.617,1.063,0.153
