Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Ov79_rep2_Dep6_Tu5,0.000,0.000,0.000,5.990,18.558,14.938,0.000,13.422,0.000,0.251,0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.704,0.000,0.329,0.000,0.000,0.000,40.656,0.000,0.000
Ov79_rep8_Dep6_Tu30,0.000,0.000,0.000,0.000,10.867,4.522,0.000,18.417,0.000,0.692,0.555,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.133,0.000,0.000,0.133,0.000,13.340,0.000,0.000,5.007,0.452,0.000,0.000,0.000,0.000,0.000,23.331,0.000,20.548,0.000,0.000,0.000,0.000,0.000,0.000
Ov79_rep6_Dep6_Tu0.3,0.000,0.000,0.088,0.000,44.294,13.367,0.000,5.381,0.000,4.521,0.000,0.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.668,0.000,9.298,0.000,0.000,0.000,0.000,0.000,0.000
Ov79_rep1_Dep6_Tu3,0.000,0.000,30.155,0.000,31.477,2.773,0.000,4.258,0.000,1.777,1.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov79_rep1_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,15.191,0.000,6.091,0.000,0.000,1.505,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.310,0.000,1.711,0.198,0.000,16.965,16.959,0.000,4.249,0.166,0.207,0.000,0.000,0.000,0.000,33.445,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov79_rep7_Dep6_Tu50,0.000,0.000,0.000,0.000,0.482,8.592,0.000,11.518,0.000,1.644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.817,0.000,0.554,0.294,0.000,24.591,0.652,0.000,17.034,0.620,0.000,0.000,0.000,0.000,0.000,24.737,0.000,7.460,0.000,0.000,0.000,0.000,0.000,0.000
Ov79_rep4_Dep6_Tu50,0.000,0.000,0.000,0.000,0.000,15.180,0.000,5.932,0.338,3.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.086,0.000,0.131,0.133,0.109,11.777,28.587,0.000,4.654,0.000,0.210,0.000,0.000,0.000,0.000,24.315,0.000,1.746,0.000,0.000,0.000,0.000,0.000,0.000
Ov79_rep2_Dep6_Tu3,0.000,0.000,3.791,0.000,25.863,17.622,0.000,7.341,0.000,1.066,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.961,0.000,0.000,0.000,39.340,0.000,0.000,0.000,0.000
Ov79_rep7_Dep6_Tu1,0.000,0.000,0.000,0.000,56.735,6.368,0.000,4.400,0.000,1.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov79_rep9_Dep6_Tu5,0.000,0.000,15.039,0.000,34.180,7.962,0.000,5.458,0.000,3.484,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.953,0.000,0.921,0.000,0.000,0.000,0.000,0.000,0.000
