Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Ov79_rep2_Dep6_Tu5,14.259,0.000,23.308,0.110,11.392,9.300,0.000,16.367,0.000,1.933,3.464,2.311,0.000,2.161,0.000,0.000,3.161,0.000,3.300,0.000,0.000,0.000,0.142,0.000,0.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.425,0.160,4.137,1.553,0.000,0.000,0.023,1.913
Ov79_rep8_Dep6_Tu30,10.998,3.706,17.236,0.700,0.000,0.000,1.936,20.502,1.781,2.343,5.781,0.000,0.000,1.605,1.943,0.000,0.000,1.190,0.000,0.000,1.676,0.000,0.000,0.000,0.000,0.000,5.684,0.000,1.613,0.128,0.000,3.329,2.523,0.896,9.279,3.625,0.000,1.250,0.275,0.000
Ov79_rep6_Dep6_Tu0.3,8.322,4.292,28.822,7.578,2.776,15.610,0.000,8.795,0.000,3.307,1.427,4.180,0.000,2.614,0.000,0.000,0.000,2.035,0.443,1.414,2.326,0.000,0.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.163,0.000,2.173,0.000,1.353,0.000,0.000,0.000
Ov79_rep1_Dep6_Tu3,13.790,0.000,30.196,8.339,0.000,2.180,0.000,22.412,0.860,5.786,4.070,0.000,0.000,2.885,0.000,0.000,0.000,0.000,0.734,0.000,1.723,0.000,1.464,0.000,0.000,0.000,1.269,0.000,0.000,0.000,0.000,0.000,1.624,0.000,2.031,0.636,0.000,0.000,0.000,0.000
Ov79_rep1_Dep6_Tu50,6.614,6.621,6.334,0.000,0.000,15.449,0.000,6.255,0.000,1.309,6.241,0.000,0.000,0.486,0.000,0.000,1.946,2.869,0.000,0.000,0.000,1.409,0.000,0.000,0.000,0.000,8.474,0.000,2.212,1.183,0.811,6.527,5.405,0.000,11.777,2.938,0.684,0.000,4.454,0.000
Ov79_rep7_Dep6_Tu50,1.636,14.082,13.735,0.000,0.000,3.638,0.000,10.570,0.000,7.531,0.581,0.000,0.000,0.405,2.929,0.000,2.637,0.000,0.000,0.000,0.895,0.000,0.000,0.000,0.959,0.000,7.276,0.000,2.167,1.025,2.578,3.675,3.531,0.000,12.136,3.320,0.000,0.000,4.693,0.000
Ov79_rep4_Dep6_Tu50,15.632,0.000,9.658,0.000,2.529,10.249,0.000,4.986,0.000,8.163,0.000,1.162,0.000,0.863,0.000,2.491,0.838,0.000,0.000,0.000,1.550,0.000,0.000,0.000,0.358,0.000,8.460,0.000,0.687,1.072,0.000,6.190,4.897,0.417,10.501,1.609,3.479,0.000,4.210,0.000
Ov79_rep2_Dep6_Tu3,8.882,5.198,33.478,5.180,0.000,12.872,0.000,11.492,0.000,1.012,7.350,0.843,0.000,3.616,3.579,0.000,0.000,0.000,0.000,0.000,2.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.158,1.379,1.450,0.376,0.000,0.000,0.000,0.083
Ov79_rep7_Dep6_Tu1,13.784,1.558,36.239,5.183,4.689,4.718,0.000,13.467,0.000,7.121,0.052,0.000,0.000,2.933,0.000,0.000,0.000,0.000,0.000,1.372,0.707,0.000,1.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.482,0.000,3.666,0.669,0.000,0.000,0.000,0.000
Ov79_rep9_Dep6_Tu5,11.936,0.000,30.240,13.631,0.000,6.571,0.000,8.746,0.000,2.254,3.217,4.739,0.000,3.106,1.916,0.000,0.000,0.000,0.439,0.000,0.000,0.000,2.927,0.000,0.000,0.000,2.153,0.000,0.000,0.000,0.000,0.000,0.324,0.000,6.295,1.211,0.000,0.000,0.296,0.000
