Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Ov79_rep2_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.245,0.000,65.890,31.864
Ov79_rep8_Dep6_Tu30,0.000,0.777,0.295,0.056,7.955,19.050,0.000,0.000,0.000,0.000,1.270,0.000,35.087,35.510
Ov79_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.880,0.000,64.600,25.520
Ov79_rep1_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.125,0.034,64.379,30.461
Ov79_rep1_Dep6_Tu50,0.000,1.076,0.445,0.393,16.933,22.138,0.000,0.000,0.000,0.000,3.185,0.000,18.985,36.844
Ov79_rep7_Dep6_Tu50,0.411,0.656,0.094,0.265,12.665,32.327,0.000,0.000,0.000,0.000,2.319,0.000,20.258,31.005
Ov79_rep4_Dep6_Tu50,0.000,0.875,0.066,0.083,29.080,15.634,0.000,0.000,0.000,0.000,5.738,0.000,16.733,31.792
Ov79_rep2_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.611,0.000,66.024,29.364
Ov79_rep7_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.312,0.000,68.815,29.873
Ov79_rep9_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.711,0.000,61.303,30.985
Ov79_rep3_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.917,0.000,64.448,26.634
Ov79_rep5_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.972,0.000,69.862,29.165
Ov79_rep10_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.676,0.000,66.849,29.475
Ov79_rep8_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.713,0.000,62.634,27.653
Ov79_rep1_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.454,0.000,65.643,30.902
Ov79_rep3_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.268,0.042,66.085,31.604
Ov79_rep8_Dep6_Tu50,0.000,11.259,0.000,0.255,27.699,9.276,0.000,0.000,0.000,0.000,4.158,0.000,16.711,30.642
Ov79_rep9_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.284,0.055,67.374,31.287
Ov79_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.586,0.000,66.175,31.238
Ov79_rep7_Dep6_Tu30,0.000,0.498,0.000,0.164,24.227,9.056,0.000,0.000,0.000,0.000,0.890,0.000,33.618,31.547
Ov79_rep5_Dep6_Tu50,0.013,0.284,0.346,0.067,31.521,15.005,0.000,0.000,0.000,0.000,1.149,0.000,17.066,34.548
Ov79_rep6_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.861,0.000,60.699,26.440
Ov79_rep2_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.503,0.000,64.811,31.685
Ov79_rep3_Dep6_Tu30,0.000,0.929,0.000,0.590,24.535,0.000,0.000,0.000,0.000,0.000,1.133,0.000,33.310,39.502
Ov79_rep9_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.484,0.000,64.793,26.722
Ov79_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.060,0.000,64.943,29.996
Ov79_rep10_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.896,0.000,67.935,29.168
