Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Ov79_rep2_Dep6_Tu5,0.563,0.277,1.193,2.136,5.399,0.304,4.248,11.685,6.478,0.812,1.995,1.407,0.068,0.179,0.901,0.922,1.340,0.975,0.903,0.044,0.080,0.092,0.078,0.002,0.027,0.008,0.005,0.000,0.001,0.000,0.001,0.008,0.035,0.013,0.163,3.693,0.038,0.010,0.083,0.310,53.525
Ov79_rep8_Dep6_Tu30,1.180,0.467,4.097,3.220,5.540,0.394,2.647,0.275,3.962,0.160,2.495,2.108,0.200,0.436,0.421,0.245,1.388,0.950,0.627,2.041,0.078,0.553,0.103,0.010,0.049,0.006,0.024,0.015,0.001,0.000,0.028,0.522,0.249,0.669,0.359,32.726,0.000,0.000,0.134,0.011,31.607
Ov79_rep6_Dep6_Tu0.3,0.032,0.065,5.143,4.568,0.330,1.927,11.124,2.134,5.829,2.093,2.582,1.491,0.041,0.020,0.779,1.130,0.708,1.802,0.497,1.361,0.004,0.005,0.125,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.003,56.204
Ov79_rep1_Dep6_Tu3,0.022,0.019,1.186,3.680,4.452,1.967,14.962,4.616,1.435,3.554,0.526,2.020,0.123,0.035,1.169,0.885,1.593,0.158,0.369,1.086,0.010,0.060,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.009,0.010,55.975
Ov79_rep1_Dep6_Tu50,0.621,1.197,1.431,2.781,2.997,1.727,2.274,2.839,1.273,1.164,1.802,1.940,0.648,0.473,0.996,1.216,0.344,0.322,1.331,1.092,0.141,0.182,0.564,0.022,0.029,0.054,0.222,0.013,0.082,0.018,0.240,1.139,0.122,0.527,1.528,52.203,0.000,0.000,0.067,0.005,14.374
Ov79_rep7_Dep6_Tu50,1.590,0.497,3.094,2.474,1.280,2.827,0.065,4.613,0.597,0.706,1.287,2.414,0.234,0.165,0.100,1.500,0.482,1.480,1.084,0.676,0.319,0.247,0.438,0.018,0.046,0.096,0.019,0.006,0.017,0.002,0.351,0.426,0.156,0.553,0.905,54.550,0.000,0.000,0.135,0.055,14.497
Ov79_rep4_Dep6_Tu50,0.442,0.705,0.104,1.724,3.418,3.596,2.022,2.240,2.189,1.089,4.034,1.337,0.450,0.929,1.191,0.962,1.447,0.909,0.195,0.316,0.389,0.166,0.105,0.002,0.050,0.075,0.099,0.013,0.015,0.000,0.857,0.745,0.209,0.404,1.716,51.569,0.000,0.000,0.106,0.042,14.138
Ov79_rep2_Dep6_Tu3,0.010,0.195,2.149,0.934,2.916,2.895,9.087,6.985,6.525,2.621,2.883,0.867,0.026,0.142,0.667,1.569,1.528,1.110,0.559,0.034,0.008,0.057,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.001,0.002,0.018,56.090
Ov79_rep7_Dep6_Tu1,0.173,0.127,2.843,2.357,3.521,4.571,8.527,2.962,6.592,3.867,1.067,0.596,0.094,0.094,0.774,0.799,1.162,1.462,0.087,1.145,0.056,0.011,0.149,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.003,0.000,0.000,0.001,0.021,0.023,56.914
Ov79_rep9_Dep6_Tu5,0.341,0.159,1.030,5.524,1.165,1.280,4.009,6.835,8.277,0.907,2.515,2.725,0.049,0.087,0.492,1.881,1.701,0.091,0.724,0.913,0.164,0.217,0.022,0.000,0.018,0.004,0.010,0.000,0.006,0.005,0.000,0.000,0.057,0.000,0.304,3.286,0.031,0.025,0.203,0.443,54.496
Ov79_rep3_Dep6_Tu1,0.190,0.080,0.378,3.083,1.605,3.707,10.425,9.392,4.324,0.424,3.930,1.775,0.257,0.010,0.521,0.748,0.177,1.138,0.775,0.870,0.029,0.090,0.071,0.000,0.004,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.005,0.017,0.035,0.001,0.000,0.001,0.007,0.041,55.887
Ov79_rep5_Dep6_Tu3,0.004,0.093,5.135,0.629,5.759,0.119,6.241,7.440,6.464,0.539,1.819,3.125,0.087,0.039,1.156,1.688,1.361,0.073,0.187,1.152,0.016,0.026,0.029,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.005,0.008,56.802
Ov79_rep10_Dep6_Tu0.3,0.095,0.021,1.667,3.423,3.266,3.938,5.769,7.978,5.952,2.846,2.150,0.952,0.175,0.088,1.362,0.585,0.664,1.963,0.009,1.291,0.014,0.022,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.003,55.740
