Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Ov79_rep2_Dep6_Tu5,0.001,73.071,1.348,0.000,0.050,0.000,0.070,0.425,0.646,0.386,2.760,0.106,21.138
Ov79_rep8_Dep6_Tu30,0.031,53.526,23.234,0.000,1.475,2.537,0.295,1.067,0.297,1.375,3.733,0.635,11.794
Ov79_rep6_Dep6_Tu0.3,0.000,71.926,0.000,0.000,0.000,0.000,0.024,0.425,0.970,0.040,4.628,0.083,21.904
Ov79_rep1_Dep6_Tu3,0.000,71.750,0.000,0.000,0.000,0.000,0.012,0.676,0.589,0.019,4.954,0.058,21.942
Ov79_rep1_Dep6_Tu50,0.124,36.049,38.689,0.004,2.687,4.853,0.284,1.294,1.773,0.042,5.029,0.545,8.628
Ov79_rep7_Dep6_Tu50,0.023,35.925,40.341,0.000,2.178,4.292,0.261,1.057,0.695,1.789,4.360,0.415,8.662
Ov79_rep4_Dep6_Tu50,0.053,34.759,37.671,0.000,2.956,4.961,0.202,0.971,1.255,1.342,6.145,0.643,9.041
Ov79_rep2_Dep6_Tu3,0.000,71.781,0.000,0.000,0.000,0.000,0.031,0.150,1.224,0.111,3.740,0.084,22.880
Ov79_rep7_Dep6_Tu1,0.000,72.903,0.000,0.000,0.000,0.000,0.030,0.416,0.577,0.018,4.504,0.061,21.492
Ov79_rep9_Dep6_Tu5,0.001,74.744,1.203,0.002,0.105,0.000,0.129,0.829,0.853,0.023,4.928,0.029,17.155
Ov79_rep3_Dep6_Tu1,0.000,71.816,0.000,0.000,0.000,0.000,0.022,0.617,0.437,0.041,3.915,0.097,23.056
Ov79_rep5_Dep6_Tu3,0.000,72.661,0.000,0.000,0.000,0.000,0.015,0.003,0.958,0.050,2.966,0.021,23.326
Ov79_rep10_Dep6_Tu0.3,0.000,71.178,0.000,0.000,0.000,0.000,0.006,0.673,0.546,0.025,4.649,0.073,22.850
Ov79_rep8_Dep6_Tu2,0.000,72.790,0.073,0.000,0.004,0.000,0.039,0.245,0.889,0.158,4.264,0.132,21.406
Ov79_rep1_Dep6_Tu0.5,0.000,71.367,0.000,0.000,0.000,0.000,0.013,0.843,0.597,0.048,4.640,0.012,22.479
Ov79_rep3_Dep6_Tu0.3,0.000,71.478,0.000,0.000,0.000,0.000,0.017,1.459,0.611,0.009,3.666,0.051,22.708
Ov79_rep8_Dep6_Tu50,0.069,37.239,38.401,0.003,2.443,4.501,0.184,1.735,0.554,0.238,6.136,0.812,7.687
Ov79_rep9_Dep6_Tu0.3,0.000,72.153,0.000,0.000,0.000,0.000,0.024,0.492,0.249,0.030,4.552,0.097,22.403
Ov79_rep7_Dep6_Tu2,0.000,72.308,0.001,0.000,0.001,0.000,0.041,0.312,0.370,0.294,4.284,0.096,22.294
Ov79_rep7_Dep6_Tu30,0.023,52.727,24.249,0.003,1.054,2.120,0.315,0.910,0.018,0.786,3.362,0.604,13.829
Ov79_rep5_Dep6_Tu50,0.037,36.048,38.374,0.000,3.182,4.731,0.203,1.018,0.809,1.124,4.159,0.905,9.410
