Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Ov79_rep2_Dep6_Tu5,2.303,2.024,4.521,3.364,18.015,9.613,0.832,0.999,1.226,0.055,0.088,0.090,0.013,0.005,0.021,0.014,0.012,0.055,0.006,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.981,3.807,0.003,51.947,0.000,0.000
Ov79_rep8_Dep6_Tu30,0.105,0.181,0.740,6.415,1.891,0.298,7.571,8.440,0.018,0.932,3.071,0.525,0.044,0.037,1.388,0.504,0.051,1.064,0.011,0.079,0.563,0.368,0.060,0.000,0.030,0.000,0.003,0.003,0.000,0.000,0.000,0.000,0.515,0.410,0.732,28.530,30.312,5.109,0.002,0.000
Ov79_rep6_Dep6_Tu0.3,0.087,0.121,16.655,6.012,1.887,1.318,6.004,1.764,3.451,3.417,0.902,3.144,0.035,0.065,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.254,0.001,54.876,0.000,0.000
Ov79_rep1_Dep6_Tu3,0.024,0.116,5.931,6.753,3.280,0.209,14.965,5.193,1.257,5.557,0.336,1.100,0.016,0.204,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.228,0.000,16.825,0.000,0.000
Ov79_rep1_Dep6_Tu50,2.550,0.662,1.249,9.008,3.086,7.400,0.068,1.500,4.125,1.198,0.222,3.535,1.848,0.882,0.217,0.192,0.122,0.174,0.676,0.523,0.001,0.002,0.033,0.017,0.000,0.001,0.022,0.342,0.089,0.137,0.193,0.027,0.701,0.122,11.030,0.109,44.555,3.357,0.000,0.026
Ov79_rep7_Dep6_Tu50,1.458,3.811,3.484,5.608,1.739,2.513,0.248,3.022,2.726,0.822,3.500,1.630,0.566,0.664,0.606,0.722,0.060,0.788,0.342,0.172,0.213,0.489,0.149,0.000,0.031,1.145,0.000,0.012,0.202,0.000,0.000,0.000,4.382,0.203,1.227,9.729,47.732,0.000,0.001,0.002
Ov79_rep4_Dep6_Tu50,0.081,0.181,4.383,0.848,1.639,1.915,0.039,0.057,5.642,5.862,0.613,2.867,0.191,0.113,0.321,0.179,0.918,0.289,1.459,0.448,0.055,0.007,0.096,0.000,0.091,0.000,0.026,0.000,0.000,0.000,2.588,0.544,1.801,1.073,10.962,0.158,39.471,15.081,0.000,0.000
Ov79_rep2_Dep6_Tu3,1.415,3.273,14.151,13.528,0.119,0.072,11.044,1.575,1.498,2.351,0.263,2.480,0.188,0.253,0.210,0.464,0.092,0.015,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.000,0.414,0.000,0.003,0.021,23.395,0.000,23.120,0.000,0.000
Ov79_rep7_Dep6_Tu1,0.037,0.038,1.272,12.826,6.891,0.049,7.206,1.018,6.389,1.327,1.417,2.773,0.006,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.038,0.000,18.699,0.000,0.000
Ov79_rep9_Dep6_Tu5,1.056,0.223,8.680,5.402,1.398,1.042,3.599,3.961,8.711,0.498,4.079,0.156,0.430,0.127,0.063,0.025,0.041,0.870,0.179,0.024,1.040,0.047,0.087,0.000,0.000,0.000,0.000,0.000,0.002,0.196,0.000,0.000,0.594,0.003,0.036,20.121,5.755,31.555,0.000,0.002
