Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Ov79_rep2_Dep6_Tu5,0.000,0.000,3.324,0.000,0.000,0.000,0.000,0.000,20.007,5.020,4.002,5.084,62.563
Ov79_rep8_Dep6_Tu30,10.619,0.000,16.218,0.000,2.096,0.256,0.589,2.282,13.018,0.000,14.282,1.867,38.772
Ov79_rep6_Dep6_Tu0.3,0.000,0.000,0.221,0.000,0.000,0.000,1.000,0.000,14.309,6.881,11.516,6.315,59.758
Ov79_rep1_Dep6_Tu3,0.000,0.000,0.276,0.000,0.000,0.000,5.572,0.061,11.090,0.115,21.275,1.293,60.317
Ov79_rep1_Dep6_Tu50,9.446,0.000,21.437,4.278,2.759,11.759,0.000,1.088,10.296,0.307,8.931,5.468,24.231
Ov79_rep7_Dep6_Tu50,0.000,30.618,19.340,1.418,1.033,1.750,0.298,0.787,11.382,0.000,9.204,2.400,21.771
Ov79_rep4_Dep6_Tu50,0.000,0.000,36.554,0.000,1.121,9.247,0.331,6.049,9.439,6.051,12.421,1.222,17.566
Ov79_rep2_Dep6_Tu3,0.000,0.000,0.764,0.000,0.000,0.000,0.000,0.977,15.015,0.000,15.457,5.859,61.927
Ov79_rep7_Dep6_Tu1,0.000,0.000,0.187,0.000,0.000,0.000,0.000,0.000,16.030,0.652,18.421,0.572,64.138
Ov79_rep9_Dep6_Tu5,0.084,0.000,1.434,0.664,0.150,0.000,6.812,0.783,16.494,5.404,13.236,1.950,52.989
Ov79_rep3_Dep6_Tu1,0.000,0.000,0.462,0.000,0.000,0.000,3.930,0.000,13.157,0.000,13.201,8.267,60.983
Ov79_rep5_Dep6_Tu3,0.000,0.000,2.239,0.000,0.000,0.000,0.000,0.000,19.679,0.000,11.095,1.462,65.525
Ov79_rep10_Dep6_Tu0.3,0.000,0.000,0.287,0.000,0.000,0.000,0.000,0.000,10.995,5.494,17.343,2.147,63.734
Ov79_rep8_Dep6_Tu2,0.000,0.000,0.631,0.000,0.251,0.413,3.374,0.000,11.390,0.000,12.418,12.026,59.496
Ov79_rep1_Dep6_Tu0.5,0.000,0.000,0.949,0.000,0.000,0.000,10.631,0.043,11.187,2.476,12.977,0.192,61.543
Ov79_rep3_Dep6_Tu0.3,0.000,0.000,0.710,0.000,0.000,0.000,12.528,0.000,10.685,1.601,11.217,0.042,63.216
Ov79_rep8_Dep6_Tu50,0.000,0.000,37.527,0.000,5.333,6.390,0.278,1.012,9.982,7.528,9.281,3.856,18.813
Ov79_rep9_Dep6_Tu0.3,0.000,0.000,0.680,0.024,0.000,0.000,0.000,0.000,14.909,0.000,13.961,1.474,68.952
Ov79_rep7_Dep6_Tu2,0.000,0.000,0.207,0.000,0.000,0.000,6.335,0.000,15.744,0.287,10.817,0.684,65.926
Ov79_rep7_Dep6_Tu30,0.000,0.000,31.292,0.000,3.430,3.588,0.843,6.188,8.423,0.000,7.368,0.826,38.043
Ov79_rep5_Dep6_Tu50,3.949,0.000,49.615,0.000,0.436,0.841,2.339,0.434,8.887,0.000,13.128,2.739,17.632
Ov79_rep6_Dep6_Tu0.5,0.000,0.000,0.390,0.000,0.000,0.000,4.619,0.000,9.395,12.247,9.860,2.175,61.313
Ov79_rep2_Dep6_Tu2,0.000,0.000,0.702,0.005,0.000,0.275,2.868,0.000,15.364,3.140,19.724,0.332,57.590
Ov79_rep3_Dep6_Tu30,0.000,0.000,28.458,0.000,7.137,0.329,0.488,0.000,13.083,0.000,17.547,0.943,32.015
Ov79_rep9_Dep6_Tu3,0.000,0.000,0.489,0.000,0.000,0.000,3.447,0.442,13.450,2.846,7.312,7.237,64.776
Ov79_rep10_Dep6_Tu2,0.000,0.000,1.421,0.000,0.000,0.014,4.956,1.292,17.032,0.553,8.061,5.546,61.125
Ov79_rep10_Dep6_Tu1,0.000,0.000,1.762,0.000,0.000,0.000,0.000,0.000,17.723,0.000,4.157,10.407,65.951
Ov79_rep6_Dep6_Tu5,0.000,0.000,0.513,0.000,0.000,0.000,5.000,0.882,15.454,0.011,14.081,0.871,63.188
Ov79_rep2_Dep6_Tu0.3,0.000,0.000,1.066,0.000,0.000,0.000,0.053,0.000,17.524,2.897,4.731,8.525,65.203
Ov79_rep4_Dep6_Tu20,0.000,0.000,19.428,0.042,0.493,0.023,0.656,3.325,10.075,0.000,14.741,9.881,41.336
Ov79_rep1_Dep6_Tu0.1,0.000,0.000,0.386,0.019,0.000,0.000,1.412,0.000,13.726,0.000,11.838,0.232,72.386
Ov79_rep4_Dep6_Tu10,0.000,0.000,6.067,0.011,0.850,0.000,0.985,0.000,18.916,0.000,14.439,0.000,58.732
Ov79_rep4_Dep6_Tu30,17.667,0.000,19.016,0.000,0.653,0.887,0.000,3.679,10.702,0.491,9.656,0.747,36.502
Ov79_rep5_Dep6_Tu10,0.000,0.000,6.303,0.000,0.500,0.000,7.033,0.000,20.859,0.000,6.893,4.010,54.403
Ov79_rep7_Dep6_Tu3,0.000,0.000,0.494,0.000,0.000,0.052,2.207,0.000,10.346,11.912,11.826,5.922,57.239
Ov79_rep9_Dep6_Tu50,0.907,0.000,36.753,0.000,2.954,8.169,0.056,0.696,15.393,0.000,9.641,2.679,22.753
Ov79_rep10_Dep6_Tu0.5,0.000,0.000,0.542,0.000,0.000,0.000,3.651,0.000,13.154,0.000,14.812,5.618,62.222
Ov79_rep7_Dep6_Tu40,0.000,0.000,23.109,1.336,13.306,2.859,0.498,1.706,13.619,0.000,8.231,4.892,30.445
Ov79_rep7_Dep6_Tu0.1,0.000,0.000,1.182,0.000,0.000,0.000,0.424,8.062,13.281,0.000,14.814,0.205,62.032
Ov79_rep9_Dep6_Tu0.1,0.000,0.000,0.525,0.000,0.000,0.000,8.232,0.019,9.438,6.923,9.870,6.879,58.115
Ov79_rep1_Dep6_Tu5,1.790,0.000,5.881,0.011,0.026,0.000,1.876,2.001,11.434,4.813,16.051,0.000,56.117
Ov79_rep9_Dep6_Tu30,0.000,0.000,12.976,0.000,13.535,3.693,0.334,0.047,12.099,0.000,15.151,8.757,33.408
