Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Ov79_rep2_Dep6_Tu5,0.000,0.000,0.000,0.000,0.278,0.000,0.000,0.000,0.000,0.000,2.965,0.000,65.738,18.199,0.000,0.000,0.000,2.523,0.000,10.296,0.000,0.000,0.000
Ov79_rep8_Dep6_Tu30,2.927,0.090,0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.074,0.000,29.376,5.326,0.000,0.000,3.972,0.000,0.000,48.070,0.000,0.000,0.000
Ov79_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.216,12.940,0.000,53.091,7.291,1.315,0.000,0.000,0.149,0.000,2.997,0.000,0.000,0.000
Ov79_rep1_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.053,0.000,52.611,5.655,11.105,15.893,0.000,1.204,0.000,0.478,0.000,0.000,0.000
Ov79_rep1_Dep6_Tu50,6.578,0.000,1.483,0.000,0.000,14.040,0.000,0.000,0.000,0.000,6.208,0.000,21.060,5.145,0.000,0.000,6.989,38.496,0.000,0.000,0.000,0.000,0.000
Ov79_rep7_Dep6_Tu50,5.925,0.000,0.000,0.000,0.000,9.300,0.000,0.000,0.000,0.000,6.282,0.000,14.506,7.023,0.000,0.000,17.157,38.395,0.000,1.412,0.000,0.000,0.000
Ov79_rep4_Dep6_Tu50,0.944,0.000,0.000,0.000,0.000,0.424,0.000,0.000,0.000,0.000,7.627,0.000,14.624,6.436,0.000,0.000,15.393,27.403,0.000,27.149,0.000,0.000,0.000
Ov79_rep2_Dep6_Tu3,0.000,0.000,0.000,0.000,0.451,0.000,0.000,0.000,0.000,0.000,11.997,0.000,55.918,9.177,0.000,0.000,0.000,0.679,21.776,0.000,0.000,0.000,0.000
Ov79_rep7_Dep6_Tu1,0.000,2.504,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.564,0.000,58.876,10.979,0.000,0.000,0.000,4.558,0.000,1.516,0.000,0.000,0.000
Ov79_rep9_Dep6_Tu5,0.000,0.000,0.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.950,0.000,54.040,6.824,0.000,0.000,0.000,8.993,0.000,17.879,0.000,0.000,0.000
Ov79_rep3_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.648,14.827,0.000,58.521,5.898,0.000,0.000,0.000,5.592,0.000,2.513,0.000,0.000,0.000
Ov79_rep5_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.419,0.000,61.480,11.111,10.638,0.000,0.508,0.187,0.000,5.655,0.000,0.000,0.000
Ov79_rep10_Dep6_Tu0.3,0.000,0.000,0.000,0.000,2.376,0.000,0.000,0.000,0.000,0.000,16.063,0.000,60.356,10.959,8.699,0.000,0.000,0.814,0.000,0.731,0.000,0.000,0.000
Ov79_rep8_Dep6_Tu2,0.000,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.000,7.628,10.658,7.231,56.261,4.949,0.000,11.029,0.162,0.000,0.000,2.059,0.000,0.000,0.000
Ov79_rep1_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.304,0.000,53.187,8.097,0.000,0.000,0.000,5.810,19.204,1.398,0.000,0.000,0.000
Ov79_rep3_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.879,8.239,0.000,52.081,7.661,25.587,0.000,0.000,3.203,0.000,1.349,0.000,0.000,0.000
Ov79_rep8_Dep6_Tu50,1.528,0.000,0.000,0.000,0.000,6.287,0.000,0.000,0.000,0.000,6.871,0.000,19.615,4.773,0.000,0.000,15.663,23.451,0.000,21.813,0.000,0.000,0.000
Ov79_rep9_Dep6_Tu0.3,0.000,0.192,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.138,0.000,61.291,11.922,0.000,11.601,0.000,0.000,0.000,2.833,0.000,0.000,0.000
Ov79_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.956,0.000,63.786,14.194,0.000,0.000,0.000,13.060,0.000,2.004,0.000,0.000,0.000
Ov79_rep7_Dep6_Tu30,5.152,0.000,0.000,0.000,0.000,0.499,0.000,0.000,0.000,0.000,8.251,0.000,32.652,5.167,0.000,0.000,15.652,13.600,0.000,19.027,0.000,0.000,0.000
Ov79_rep5_Dep6_Tu50,4.304,0.000,0.000,0.000,0.000,0.298,0.000,0.000,0.000,0.000,5.069,0.000,14.667,7.166,0.000,0.000,34.416,28.853,5.226,0.000,0.000,0.000,0.000
Ov79_rep6_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.230,7.590,15.474,62.263,7.519,2.611,0.000,0.000,3.644,0.000,0.667,0.000,0.000,0.000
Ov79_rep2_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.092,0.000,63.044,9.871,0.000,0.000,0.100,16.892,0.000,0.000,0.000,0.000,0.000
Ov79_rep3_Dep6_Tu30,2.216,0.000,0.020,0.000,42.933,0.196,0.000,0.000,0.000,0.000,8.771,0.000,31.183,7.896,0.000,0.000,3.806,0.000,0.000,2.980,0.000,0.000,0.000
Ov79_rep9_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.160,7.234,0.000,61.638,7.102,0.229,0.999,0.000,1.009,0.000,3.629,0.000,0.000,0.000
Ov79_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.142,10.487,0.000,62.375,11.709,0.983,8.541,0.000,0.239,0.000,1.523,0.000,0.000,0.000
