Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Ov79_rep2_Dep6_Tu5,0.000,15.067,0.000,63.303,0.315,0.000,0.000,0.000,0.000,0.000,1.305,20.010,0.000,0.000
Ov79_rep8_Dep6_Tu30,2.482,25.766,7.941,38.683,10.868,0.000,0.000,0.000,0.000,0.000,8.395,5.865,0.000,0.000
Ov79_rep6_Dep6_Tu0.3,0.000,4.956,0.000,52.799,0.000,0.000,0.574,0.000,0.000,0.000,12.069,9.345,0.000,20.258
Ov79_rep1_Dep6_Tu3,0.000,9.173,0.000,59.056,0.000,0.000,0.000,0.000,0.000,0.000,21.793,9.977,0.000,0.000
Ov79_rep1_Dep6_Tu50,3.580,26.556,4.275,20.803,15.306,14.298,0.000,0.000,0.000,0.000,3.291,4.211,7.680,0.000
Ov79_rep7_Dep6_Tu50,1.006,32.054,0.000,13.476,24.942,0.000,0.000,0.000,0.000,0.000,2.950,4.929,20.643,0.000
Ov79_rep4_Dep6_Tu50,0.737,26.726,0.000,13.433,20.860,21.204,0.000,0.000,0.000,0.000,10.449,6.591,0.000,0.000
Ov79_rep2_Dep6_Tu3,0.000,11.023,0.000,64.636,0.193,0.000,0.000,0.000,0.000,0.000,11.352,12.276,0.000,0.519
Ov79_rep7_Dep6_Tu1,0.000,9.634,0.000,64.264,0.000,0.000,0.000,0.000,0.000,0.000,16.242,9.860,0.000,0.000
Ov79_rep9_Dep6_Tu5,0.009,20.184,0.000,50.567,0.118,0.000,2.395,0.000,0.000,0.000,11.996,12.454,2.277,0.000
Ov79_rep3_Dep6_Tu1,0.000,8.908,0.000,62.798,0.059,0.000,5.409,0.000,0.000,0.000,10.280,12.545,0.000,0.000
Ov79_rep5_Dep6_Tu3,0.000,10.328,0.000,65.347,0.346,0.000,0.000,0.000,0.000,0.000,10.533,13.445,0.000,0.000
Ov79_rep10_Dep6_Tu0.3,0.000,5.401,0.000,65.689,0.000,0.000,0.000,0.000,0.000,0.000,14.902,14.007,0.000,0.000
