Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Ov79_rep2_Dep6_Tu5,0.000,0.827,2.145,0.000,5.973,0.000,0.280,0.269,9.189,12.436,8.533,0.000,60.348
Ov79_rep8_Dep6_Tu30,3.356,2.224,4.569,0.166,13.505,3.179,1.578,5.486,1.781,14.425,8.309,0.575,40.848
Ov79_rep6_Dep6_Tu0.3,0.000,0.000,1.826,0.000,3.209,0.000,2.446,0.000,8.855,9.941,12.057,0.210,61.456
Ov79_rep1_Dep6_Tu3,0.298,0.000,1.504,0.000,3.096,0.038,2.828,0.000,3.420,12.232,11.721,2.584,62.278
Ov79_rep1_Dep6_Tu50,6.197,5.023,4.590,1.914,19.116,7.379,0.788,3.983,2.259,12.957,8.529,0.413,26.852
Ov79_rep7_Dep6_Tu50,6.091,6.867,4.000,1.898,17.018,6.321,0.413,4.203,0.993,17.766,8.247,0.000,26.182
Ov79_rep4_Dep6_Tu50,7.642,4.452,6.083,0.450,18.363,6.358,0.921,5.225,0.000,12.847,10.612,1.429,25.618
Ov79_rep2_Dep6_Tu3,0.000,0.857,0.327,0.000,4.728,0.000,2.809,0.000,3.524,13.811,11.238,1.876,60.831
Ov79_rep7_Dep6_Tu1,0.000,0.648,0.044,0.000,4.480,0.126,1.375,0.000,6.079,12.223,11.344,1.143,62.539
Ov79_rep9_Dep6_Tu5,0.384,1.100,2.201,0.000,4.980,0.000,2.003,0.214,5.795,12.504,10.915,1.029,58.875
Ov79_rep3_Dep6_Tu1,0.000,0.000,0.843,0.000,5.296,0.000,3.129,0.000,6.287,9.939,10.550,1.330,62.625
Ov79_rep5_Dep6_Tu3,0.000,0.055,0.166,0.000,4.219,0.000,2.963,0.637,5.183,12.026,9.443,1.238,64.071
Ov79_rep10_Dep6_Tu0.3,0.000,0.683,0.233,0.000,3.501,0.321,2.062,0.000,4.949,13.569,10.530,1.527,62.625
Ov79_rep8_Dep6_Tu2,0.503,0.000,1.415,0.000,4.167,0.000,2.088,0.000,5.420,13.459,10.102,1.249,61.597
Ov79_rep1_Dep6_Tu0.5,0.000,0.000,2.032,0.000,3.238,0.000,2.565,0.000,3.234,13.656,11.311,1.658,62.307
Ov79_rep3_Dep6_Tu0.3,0.000,1.109,0.756,0.000,4.509,0.000,2.315,0.000,4.302,11.005,9.841,2.713,63.451
Ov79_rep8_Dep6_Tu50,8.790,5.668,4.221,1.178,18.745,5.245,0.375,1.240,3.251,14.938,10.542,0.107,25.701
Ov79_rep9_Dep6_Tu0.3,0.000,0.169,0.506,0.000,3.613,0.002,2.933,0.000,5.615,12.022,11.170,0.955,63.016
Ov79_rep7_Dep6_Tu2,0.000,0.265,0.984,0.000,3.174,0.396,1.896,0.000,6.288,14.192,9.320,1.125,62.360
Ov79_rep7_Dep6_Tu30,5.271,3.881,2.309,1.632,12.270,3.296,2.577,0.000,4.612,12.928,8.702,0.600,41.922
Ov79_rep5_Dep6_Tu50,5.228,4.819,6.479,0.095,22.707,5.199,1.125,0.835,1.132,16.838,9.485,0.966,25.092
Ov79_rep6_Dep6_Tu0.5,0.000,0.000,1.991,0.000,4.642,0.000,2.458,0.000,8.141,11.188,9.235,0.193,62.151
Ov79_rep2_Dep6_Tu2,0.000,2.920,0.000,0.000,3.500,0.461,3.227,0.000,2.880,14.109,10.414,1.122,61.367
Ov79_rep3_Dep6_Tu30,5.199,0.000,3.291,0.000,15.734,3.265,2.411,0.000,0.000,16.340,12.229,1.863,39.669
Ov79_rep9_Dep6_Tu3,0.000,0.000,1.014,0.000,5.283,0.000,1.908,0.458,8.024,9.095,10.750,1.160,62.307
Ov79_rep10_Dep6_Tu2,0.000,0.414,1.386,0.000,4.339,0.000,3.114,0.000,3.311,10.018,10.538,3.336,63.544
Ov79_rep10_Dep6_Tu1,0.000,0.137,1.890,0.000,4.782,0.000,0.825,0.000,9.922,9.709,9.859,0.000,62.876
Ov79_rep6_Dep6_Tu5,0.000,0.000,1.562,0.000,4.362,0.596,2.600,0.000,6.826,13.852,9.399,1.265,59.537
Ov79_rep2_Dep6_Tu0.3,0.000,0.588,1.142,0.000,4.686,0.000,1.355,0.000,8.855,10.148,8.960,0.000,64.266
Ov79_rep4_Dep6_Tu20,2.536,1.188,4.117,0.000,10.682,2.474,1.816,0.431,4.561,14.264,7.607,0.939,49.385
Ov79_rep1_Dep6_Tu0.1,0.000,0.843,0.000,0.000,4.154,0.000,2.777,0.000,7.272,10.318,10.645,0.800,63.191
Ov79_rep4_Dep6_Tu10,0.000,3.772,1.451,0.000,6.566,0.759,2.400,0.000,4.503,13.135,12.328,0.000,55.085
Ov79_rep4_Dep6_Tu30,4.530,2.681,2.603,1.094,12.755,4.408,0.237,3.179,0.000,14.504,9.479,3.357,41.174
Ov79_rep5_Dep6_Tu10,0.126,0.948,3.113,0.000,6.405,0.169,1.642,0.000,5.876,15.173,10.858,0.239,55.451
Ov79_rep7_Dep6_Tu3,0.000,0.000,1.995,0.000,3.395,0.000,1.860,0.000,7.215,12.154,10.036,1.174,62.172
Ov79_rep9_Dep6_Tu50,9.022,2.265,5.606,1.331,18.732,5.511,0.000,4.364,2.538,15.924,9.424,0.000,25.282
Ov79_rep10_Dep6_Tu0.5,0.000,0.869,0.673,0.000,5.391,0.000,3.564,0.000,4.050,13.875,9.634,0.759,61.184
Ov79_rep7_Dep6_Tu40,8.394,5.977,4.426,0.000,14.338,4.520,0.245,3.922,0.000,16.125,8.280,1.616,32.157
Ov79_rep7_Dep6_Tu0.1,0.000,0.000,0.850,0.000,3.928,0.000,2.408,0.000,6.291,12.544,10.963,0.000,63.017
Ov79_rep9_Dep6_Tu0.1,0.000,0.000,1.875,0.000,4.223,0.000,2.585,0.000,8.701,9.483,9.857,0.858,62.418
Ov79_rep1_Dep6_Tu5,0.000,0.077,1.782,0.000,6.371,0.705,3.743,0.000,5.162,12.843,9.161,1.260,58.896
Ov79_rep9_Dep6_Tu30,6.387,3.920,3.322,0.000,11.469,3.070,0.056,0.150,3.356,15.680,10.988,1.975,39.626
Ov79_rep2_Dep6_Tu0.1,0.000,1.188,0.156,0.000,6.657,0.000,1.378,0.000,7.621,9.814,9.524,1.083,62.579
