Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Ov79_rep2_Dep6_Tu5,15.385,6.284,16.875,20.070,3.377,0.624,0.000,25.242,0.000,2.019,0.675,0.000,0.945,0.042,0.000,0.144,0.000,0.193,0.630,0.000,0.000,0.000,1.816,0.000,0.000,0.000,0.464,0.000,0.000,0.035,0.771,0.000,0.000,0.943,1.071,0.123,0.000,0.000,0.234,2.039
Ov79_rep8_Dep6_Tu30,21.861,0.501,6.338,8.421,5.103,9.944,0.000,7.222,0.000,3.329,1.049,0.000,0.246,0.967,0.000,0.000,0.000,0.449,0.000,0.014,2.296,0.000,0.000,0.000,0.190,0.000,4.769,0.000,0.036,0.051,9.372,0.032,0.105,0.000,10.698,1.789,0.000,0.024,5.111,0.081
Ov79_rep6_Dep6_Tu0.3,16.138,4.163,39.496,13.228,4.777,0.000,0.000,8.807,0.000,4.139,0.505,0.000,0.624,0.344,0.000,0.000,0.742,0.000,0.133,0.152,0.069,0.000,1.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.807,0.270,0.017,0.008,0.000,0.152,0.152
Ov79_rep1_Dep6_Tu3,13.143,4.805,21.810,30.788,10.829,0.000,0.329,1.264,0.000,4.398,0.433,0.000,0.000,0.931,0.000,0.000,0.503,0.000,0.107,0.061,9.321,0.000,0.148,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.735,0.005,0.000,0.000,0.152,0.145
Ov79_rep1_Dep6_Tu50,6.827,2.565,5.148,1.580,11.359,0.000,0.102,6.742,0.000,1.345,2.235,1.590,0.316,1.557,0.000,0.000,0.000,0.563,0.592,0.000,0.198,0.000,0.000,0.000,0.353,0.000,10.486,0.000,0.034,0.409,10.781,3.494,4.393,0.877,10.680,2.712,0.000,0.344,12.638,0.076
Ov79_rep7_Dep6_Tu50,7.135,2.101,1.399,4.410,6.553,11.007,0.000,3.030,1.464,4.057,0.167,0.000,0.336,0.000,0.000,0.000,1.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.794,0.000,7.134,0.000,0.044,0.946,7.588,1.771,0.371,0.000,10.570,1.161,0.000,0.059,26.796,0.054
Ov79_rep4_Dep6_Tu50,3.107,5.486,1.906,3.630,5.400,10.281,0.000,2.997,0.000,2.174,5.618,0.018,2.116,0.145,0.000,0.052,0.938,0.000,0.000,0.000,0.140,0.000,0.000,0.000,0.519,0.000,9.757,0.000,0.022,0.103,9.941,1.976,6.296,0.000,9.045,0.415,0.044,2.151,15.722,0.000
Ov79_rep2_Dep6_Tu3,19.174,3.937,20.113,28.129,9.196,0.000,0.000,8.725,0.000,5.152,0.308,0.000,0.352,0.296,0.000,0.000,0.824,0.000,0.088,0.000,1.927,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.244,0.000,0.000,0.000,0.302,0.442,0.000,0.011,0.000,0.037,0.721
Ov79_rep7_Dep6_Tu1,27.230,1.943,25.246,24.071,10.272,0.635,0.000,4.038,0.134,3.329,0.091,0.000,0.087,0.646,0.000,0.000,0.324,0.076,0.000,0.177,0.000,0.000,0.798,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.720,0.004,0.021,0.000,0.000,0.156
Ov79_rep9_Dep6_Tu5,10.242,15.053,21.722,30.195,5.554,1.458,0.000,3.073,0.000,5.541,0.047,0.000,0.000,0.741,0.000,0.051,0.516,0.000,0.011,0.085,0.299,0.000,0.955,0.000,0.000,0.000,0.396,0.000,0.000,0.202,0.670,0.000,0.000,0.000,2.231,0.261,0.000,0.000,0.228,0.468
