Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Ov79_rep2_Dep6_Tu5,0.000,0.000,24.322,11.285,0.355,4.998,0.000,21.465,0.000,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.506,0.000,0.000,0.000,0.000
Ov79_rep8_Dep6_Tu30,0.000,0.000,8.135,2.365,2.642,9.485,0.000,4.418,0.000,0.306,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.601,0.000,0.000,0.173,0.018,8.669,0.068,0.000,4.953,0.302,0.000,0.000,0.132,0.000,0.000,0.000,0.000,35.297,0.000,22.433,0.000,0.000,0.000,0.000
Ov79_rep6_Dep6_Tu0.3,0.000,0.000,42.675,7.897,0.000,6.769,0.000,6.247,0.000,0.625,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.233,0.000,0.000,0.000,1.552
Ov79_rep1_Dep6_Tu3,0.000,0.000,22.805,17.377,0.000,14.445,0.000,1.274,0.000,0.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.687,0.000,0.000,0.000,0.000,15.295,0.000,0.000,0.000,26.412
Ov79_rep1_Dep6_Tu50,0.000,0.000,4.394,0.000,0.000,7.146,0.000,2.778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.047,0.000,6.452,0.000,3.148,0.166,0.226,12.100,0.638,0.535,10.282,1.054,0.000,0.626,0.225,0.000,0.000,0.000,0.000,0.000,0.000,29.888,0.000,0.000,20.292,0.000
Ov79_rep7_Dep6_Tu50,0.000,0.000,2.109,0.855,2.278,7.210,0.000,1.915,0.000,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.234,0.000,4.057,0.000,1.652,0.163,0.212,13.314,0.258,0.000,16.882,2.904,0.000,0.028,0.961,0.000,0.000,0.000,11.015,13.577,0.000,20.205,0.000,0.000,0.000,0.000
Ov79_rep4_Dep6_Tu50,0.000,0.000,2.059,1.934,2.992,4.342,0.000,2.453,0.000,0.994,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.252,0.000,6.321,0.000,1.455,0.118,0.095,13.705,1.080,0.000,15.207,0.538,0.246,0.628,0.595,0.000,0.000,16.599,0.531,0.000,0.000,27.854,0.000,0.000,0.000,0.000
Ov79_rep2_Dep6_Tu3,0.000,0.000,23.468,16.784,0.000,14.130,0.000,9.351,0.000,0.418,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.000,22.831,0.000,0.000,0.000,12.912
Ov79_rep7_Dep6_Tu1,0.000,0.000,27.928,19.208,0.000,15.045,0.000,2.421,0.000,0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.751,0.000,0.000,0.000,0.000,30.303,0.000,0.000,0.000,0.000
Ov79_rep9_Dep6_Tu5,0.000,0.000,26.901,22.561,0.861,5.697,0.000,2.273,0.000,0.672,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.805,0.000,0.000,0.000,4.227
Ov79_rep3_Dep6_Tu1,0.000,0.000,44.144,6.115,0.000,7.951,0.000,4.982,0.000,0.532,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.469,0.000,0.000,0.000,0.000,33.804,0.000,0.000,0.000,0.000
Ov79_rep5_Dep6_Tu3,0.000,0.000,28.282,18.580,0.063,16.431,0.000,2.368,0.000,0.184,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.087,0.000,0.000,0.000,0.000
Ov79_rep10_Dep6_Tu0.3,0.000,0.000,30.366,14.838,0.000,11.625,0.000,6.942,0.000,0.559,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.425,0.000,25.012,0.000,0.000,0.000,10.230
Ov79_rep8_Dep6_Tu2,0.000,0.000,39.696,2.898,0.549,10.240,0.000,7.495,0.000,0.679,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.427,0.000,0.000,0.000,4.012
Ov79_rep1_Dep6_Tu0.5,0.000,0.000,24.828,15.932,0.604,15.812,0.000,1.313,0.000,0.415,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.844,0.000,0.000,0.000,23.247
Ov79_rep3_Dep6_Tu0.3,0.000,0.000,21.530,17.252,0.000,17.916,0.000,1.485,0.000,0.234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.270,0.000,16.634,0.000,0.000,0.000,24.675
Ov79_rep8_Dep6_Tu50,0.000,0.000,7.630,0.000,0.780,4.996,0.000,1.828,0.000,0.746,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.386,0.000,4.263,0.134,0.142,15.828,0.055,0.000,13.248,3.112,0.000,0.046,0.053,0.000,0.000,5.688,0.000,0.000,0.000,32.062,0.000,0.000,0.000,0.000
Ov79_rep9_Dep6_Tu0.3,0.000,0.000,21.492,9.894,0.000,15.157,0.000,4.648,0.000,0.287,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.346,0.000,0.000,0.000,0.000,11.173,0.000,0.000,0.000,0.000
Ov79_rep7_Dep6_Tu2,0.000,0.000,13.922,32.990,12.579,7.236,0.000,3.177,0.000,0.469,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.623,0.000,0.000,0.000,0.000
Ov79_rep7_Dep6_Tu30,0.000,0.000,9.163,5.645,0.000,8.859,0.000,1.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.529,0.000,0.000,0.176,0.017,4.934,0.000,0.079,2.595,0.000,0.219,0.000,0.000,0.000,0.000,0.000,44.832,0.000,0.000,21.919,0.000,0.000,0.000,0.000
Ov79_rep5_Dep6_Tu50,0.000,0.000,1.562,4.778,3.083,8.013,0.000,1.518,0.000,0.532,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.214,0.000,7.850,0.000,0.808,0.042,0.330,16.321,6.051,0.000,10.780,1.886,0.000,0.212,1.213,0.000,0.000,3.485,0.000,0.000,0.000,29.911,0.000,0.000,0.000,1.407
Ov79_rep6_Dep6_Tu0.5,0.000,0.000,27.406,13.949,0.123,6.192,0.000,12.087,0.000,0.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.422,0.000,0.000,0.000,23.266
Ov79_rep2_Dep6_Tu2,0.000,0.000,15.883,22.778,6.482,13.083,0.000,3.727,0.000,0.526,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.006,0.000,0.000,0.000,21.512
Ov79_rep3_Dep6_Tu30,0.000,0.000,6.900,4.771,4.301,13.463,0.000,2.158,0.000,0.206,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.310,0.000,0.000,0.390,0.065,13.193,0.000,0.000,7.703,0.623,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.400,0.000,38.585,0.000,0.000,2.826,1.103
Ov79_rep9_Dep6_Tu3,0.000,0.000,40.714,9.583,0.000,6.581,0.000,7.044,0.000,0.559,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.516,0.000,0.000,0.000,0.000
Ov79_rep10_Dep6_Tu2,0.000,0.000,24.982,27.584,0.962,8.642,0.000,2.164,0.000,0.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.718,0.000,34.495,0.000,0.000,0.000,0.000
