Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Ov79_rep2_Dep6_Tu5,3.159,1.685,2.916,9.513,4.563,10.452,5.233,2.675,11.398,2.644,1.698,2.967,0.588,1.192,0.445,0.782,0.219,0.993,0.828,0.580,0.272,0.606,0.435,0.000,0.042,0.009,0.010,0.000,0.004,0.000,0.020,0.436,0.411,1.169,6.151,0.795,1.768,3.110,0.031,0.285,19.915
Ov79_rep8_Dep6_Tu30,2.120,0.604,1.788,6.838,2.681,2.572,1.444,9.148,3.670,5.797,2.676,2.795,0.673,1.475,1.462,2.149,0.489,1.085,0.867,0.274,1.737,0.693,0.483,0.114,0.279,0.200,0.276,0.083,0.251,0.032,0.731,0.025,7.165,0.768,7.413,13.092,0.529,4.211,0.099,0.891,10.320
Ov79_rep6_Dep6_Tu0.3,3.209,0.561,11.687,2.029,8.444,2.073,9.272,13.143,5.596,1.045,7.235,8.629,1.677,1.226,0.290,0.205,0.340,0.477,0.067,0.639,0.725,0.540,0.253,0.000,0.030,0.012,0.028,0.000,0.002,0.000,0.017,0.210,4.015,0.839,1.827,0.087,1.812,1.274,0.016,0.344,10.123
Ov79_rep1_Dep6_Tu3,2.416,2.458,3.927,6.485,9.592,7.002,11.376,2.086,6.501,3.241,5.961,5.211,0.727,0.719,0.784,0.367,0.311,0.149,0.109,0.514,0.556,0.116,0.708,0.000,0.024,0.002,0.007,0.000,0.006,0.000,0.079,0.137,0.575,5.091,1.347,0.340,0.401,0.522,0.157,0.388,19.610
Ov79_rep1_Dep6_Tu50,4.278,1.287,1.161,0.501,6.273,4.614,1.968,6.266,1.476,0.699,4.442,2.436,2.008,2.432,0.982,0.036,2.014,2.072,1.038,0.295,0.631,1.281,0.763,0.025,1.029,0.307,1.572,0.442,0.884,0.126,0.895,0.278,2.241,8.579,2.605,23.721,0.421,0.892,2.666,1.237,3.127
Ov79_rep7_Dep6_Tu50,4.614,3.834,1.329,5.101,0.820,2.373,1.862,4.363,1.997,0.845,0.234,6.219,1.857,1.333,0.220,2.804,2.417,2.540,0.396,0.137,1.837,2.372,1.638,0.134,0.725,0.831,1.028,0.031,1.416,0.095,0.207,0.259,4.072,1.198,0.796,23.752,0.523,0.754,0.304,5.479,7.252
Ov79_rep4_Dep6_Tu50,3.785,0.071,3.023,2.353,2.248,1.492,1.618,0.260,1.331,2.971,3.916,5.467,1.541,1.205,2.384,0.270,1.321,1.525,0.560,0.811,0.415,1.631,0.559,0.026,0.672,0.083,1.776,0.057,0.557,0.204,0.836,3.247,24.113,8.960,2.553,4.744,2.149,1.013,2.595,1.227,4.432
Ov79_rep2_Dep6_Tu3,0.956,0.575,6.841,1.049,1.279,5.885,13.763,7.699,9.024,7.035,0.782,2.931,0.231,1.017,0.614,0.570,0.840,0.667,0.934,0.936,0.222,0.088,0.431,0.000,0.014,0.011,0.006,0.000,0.021,0.001,0.024,0.923,1.560,6.537,2.901,0.175,0.911,1.797,0.048,0.011,20.691
Ov79_rep7_Dep6_Tu1,2.186,1.609,8.249,4.253,8.046,7.132,9.564,6.648,5.254,7.641,1.452,4.140,0.425,0.366,0.235,0.187,0.246,0.191,0.413,0.399,0.420,0.292,0.436,0.001,0.011,0.001,0.009,0.000,0.004,0.000,0.040,0.129,0.901,2.836,2.138,0.221,0.591,2.018,0.162,0.129,21.027
Ov79_rep9_Dep6_Tu5,0.897,2.815,8.290,7.244,5.487,1.603,10.971,2.173,7.373,8.241,2.086,0.393,0.401,0.986,0.695,0.252,0.696,0.421,1.422,0.023,1.224,1.034,0.740,0.000,0.029,0.052,0.015,0.005,0.118,0.015,0.048,0.208,2.863,7.497,4.337,1.935,1.684,2.536,0.255,1.247,11.692
Ov79_rep3_Dep6_Tu1,1.075,1.219,12.145,9.313,5.243,1.098,8.695,6.542,4.894,5.792,0.602,6.908,0.156,1.330,0.550,0.417,0.442,0.866,0.807,0.141,0.530,0.241,0.957,0.001,0.034,0.022,0.036,0.000,0.000,0.000,0.008,0.073,1.121,6.126,1.034,0.088,1.979,0.034,0.291,0.222,18.967
Ov79_rep5_Dep6_Tu3,2.905,1.910,9.536,2.687,5.435,8.700,11.307,5.504,5.472,2.363,7.053,1.175,0.278,1.585,0.125,0.769,0.377,0.042,0.227,0.352,0.465,0.225,0.346,0.001,0.029,0.029,0.019,0.001,0.004,0.000,0.056,0.013,0.843,5.537,1.870,0.236,0.236,2.253,0.434,0.606,18.996
