Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Ov79_rep2_Dep6_Tu5,9.580,1.469,9.977,0.000,39.852,16.416,0.000,0.000,0.925,2.715,0.000,1.838,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.048,0.000,0.000,0.764,0.000,0.000,0.000,0.000,0.000,14.414
Ov79_rep8_Dep6_Tu30,0.000,3.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.952,0.000,6.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.624,0.000,31.572,0.000,43.507,9.995,0.000,0.000,0.000,0.000,0.000,0.000
Ov79_rep6_Dep6_Tu0.3,6.707,0.000,34.277,0.000,0.000,15.058,3.067,0.000,0.000,11.338,0.000,1.697,0.000,4.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.463,0.000,0.000,0.000,0.000,0.000,0.000,0.940,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.952,6.229
Ov79_rep1_Dep6_Tu3,0.000,6.154,11.401,4.056,0.000,35.811,1.178,0.000,0.000,11.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.294,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.456
Ov79_rep1_Dep6_Tu50,0.000,2.630,0.000,8.681,0.000,9.362,0.000,0.000,0.000,0.000,0.000,7.976,9.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.274,0.000,1.665,0.584,0.000,0.855,0.000,16.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.526,0.000,3.969,0.000,0.000,5.414,0.000
Ov79_rep7_Dep6_Tu50,0.000,8.334,0.000,9.511,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.901,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,45.055,0.000,0.284,1.078,0.000,1.384,0.000,0.000,0.545,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.817,0.000,0.000,15.836,0.000,12.252,0.000,0.000,0.000,0.000
Ov79_rep4_Dep6_Tu50,2.681,0.644,0.000,0.000,0.000,10.675,0.000,0.000,0.000,0.000,0.000,11.306,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.643,1.067,0.000,0.000,0.004,4.746,0.000,8.533,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.677,8.910,3.278,0.109,0.000,21.725,0.000,0.000
Ov79_rep2_Dep6_Tu3,0.000,11.690,13.221,1.044,0.000,45.481,0.000,0.000,0.000,6.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.302,0.000,0.000,0.000,0.000,0.000,0.000,2.546,0.000,0.000,0.638,0.000,0.000,0.000,0.000,0.000,18.560
Ov79_rep7_Dep6_Tu1,4.311,0.000,24.322,19.175,0.000,0.000,5.432,0.000,4.393,10.925,0.000,0.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.616,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,18.494
Ov79_rep9_Dep6_Tu5,9.380,0.000,19.844,0.000,0.000,4.955,0.260,0.000,16.347,4.959,1.718,1.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.356,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.223,8.539,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.128,0.000,0.000,0.605,0.000,0.000,0.000,0.000,0.000,22.779
