Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Ov79_rep2_Dep6_Tu5,13.289,0.000,17.968,0.000,6.077,24.926,0.000,7.957,0.000,7.167,0.000,2.250,3.847,0.000,0.000,0.000,0.000,0.135,0.000,0.000,2.037,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.000,0.744,0.000,0.000,0.323,0.000,10.937,0.000,1.868,0.000,0.000,0.000
Ov79_rep8_Dep6_Tu30,10.924,0.180,0.018,0.000,6.657,2.048,0.000,26.513,0.000,3.217,0.000,7.414,0.000,1.404,0.000,2.315,0.000,0.000,0.000,0.000,1.766,0.000,0.000,0.000,0.000,0.000,4.141,0.000,0.000,0.000,1.050,0.000,1.519,0.000,21.022,0.000,0.000,0.000,0.000,9.812
Ov79_rep6_Dep6_Tu0.3,8.736,0.000,17.359,0.000,5.548,36.286,0.000,0.000,0.000,16.059,0.000,0.000,1.935,1.002,0.000,0.000,0.000,0.000,1.705,0.032,0.000,0.000,4.564,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.598,0.000,4.175,0.000,0.000,0.000,0.000,0.000
Ov79_rep1_Dep6_Tu3,15.065,0.000,0.000,4.609,0.000,33.399,0.000,24.238,0.000,6.900,0.000,4.299,0.000,2.038,0.000,0.000,0.000,0.000,1.457,0.000,3.796,0.000,0.000,0.000,2.194,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.005,0.000,0.000,0.000
Ov79_rep1_Dep6_Tu50,12.167,0.000,2.357,0.000,0.000,23.467,0.000,0.000,0.000,0.000,0.000,12.232,2.893,0.000,3.069,3.232,0.000,0.000,0.000,0.000,0.000,3.538,0.000,0.000,0.000,4.580,4.943,0.000,0.000,1.190,1.618,8.856,0.000,0.000,13.153,0.000,2.705,0.000,0.000,0.000
Ov79_rep7_Dep6_Tu50,0.000,16.542,0.000,17.039,0.000,6.654,0.000,0.000,0.000,0.000,0.000,7.782,0.000,4.045,3.951,0.000,0.000,2.254,0.000,0.000,0.000,2.665,0.000,0.000,0.534,0.000,10.726,0.000,0.000,0.129,0.000,5.495,2.850,0.000,10.116,0.000,0.000,0.000,0.000,9.219
Ov79_rep4_Dep6_Tu50,12.801,0.000,0.000,0.000,0.000,18.048,0.000,0.000,0.000,0.000,0.000,14.745,0.000,2.461,0.000,0.000,8.653,0.000,0.000,0.000,0.000,3.837,0.000,0.000,0.000,3.471,4.775,0.000,0.000,0.000,0.000,3.843,13.595,0.000,13.771,0.000,0.000,0.000,0.000,0.000
Ov79_rep2_Dep6_Tu3,14.919,0.000,14.546,0.000,0.000,34.094,0.000,9.102,0.000,8.533,0.000,0.124,0.000,2.553,0.000,0.000,2.503,0.000,0.000,0.000,2.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.418,0.000,0.000,0.000,0.000,0.000
Ov79_rep7_Dep6_Tu1,10.806,0.000,26.562,0.000,0.000,6.457,8.819,21.132,0.683,12.794,0.000,0.000,0.000,0.799,0.000,0.000,0.000,0.000,0.000,0.000,3.289,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.312,0.000,0.000,0.000,0.000,0.346
Ov79_rep9_Dep6_Tu5,13.289,0.000,6.324,0.000,0.000,21.563,0.000,23.396,0.000,0.000,8.266,4.064,2.835,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.328,0.000,0.000,0.000,0.000,1.944,0.000,0.000,0.000,0.544,0.489,0.000,0.000,0.000,10.718,1.242,0.000,0.000,0.000,0.000
Ov79_rep3_Dep6_Tu1,8.318,0.000,12.375,0.000,0.000,22.325,0.000,23.946,1.174,0.702,0.000,13.825,3.140,0.000,0.000,0.000,0.000,0.000,1.323,0.000,1.893,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.008,0.000,6.971,0.000,0.000,0.000,0.000,0.000
Ov79_rep5_Dep6_Tu3,13.174,0.000,15.510,0.000,0.000,34.826,0.000,10.370,0.000,0.000,9.891,0.000,0.000,4.383,0.000,0.000,0.000,0.000,0.000,0.000,3.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.824,0.000,0.000,0.000,0.000,0.719
Ov79_rep10_Dep6_Tu0.3,12.440,0.000,13.561,0.000,0.000,23.353,0.260,23.762,0.000,10.203,0.000,0.000,0.000,2.929,0.000,0.000,0.000,0.000,0.000,4.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.357,0.000,0.000,0.000,0.000,0.000
Ov79_rep8_Dep6_Tu2,8.154,2.547,5.126,0.000,12.754,37.751,0.000,2.355,0.000,5.470,0.000,6.182,4.109,0.000,0.000,0.000,0.000,0.000,1.203,0.000,5.070,0.000,0.000,0.000,0.000,0.000,0.000,1.040,0.000,0.000,0.000,0.000,0.000,0.000,8.238,0.000,0.000,0.000,0.000,0.000
Ov79_rep1_Dep6_Tu0.5,0.000,9.723,18.404,0.000,0.000,24.294,0.000,18.469,0.000,10.843,0.000,0.000,0.000,0.832,0.000,0.000,0.000,0.000,0.000,1.467,2.941,0.000,0.000,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.274,0.000,0.000,0.000,1.757,0.000
Ov79_rep3_Dep6_Tu0.3,10.818,0.000,6.495,11.407,0.000,14.761,0.000,30.163,0.000,0.000,2.743,6.358,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.127,0.000,0.000,0.000,0.000,0.636
Ov79_rep8_Dep6_Tu50,10.153,0.000,0.000,0.000,0.000,23.302,0.000,0.000,0.000,0.000,0.000,10.839,0.000,5.736,0.000,3.548,0.000,0.000,0.830,3.365,0.000,0.000,3.828,0.000,0.000,0.000,14.923,0.000,0.000,0.006,4.759,2.340,0.000,0.000,16.371,0.000,0.000,0.000,0.000,0.000
Ov79_rep9_Dep6_Tu0.3,13.293,0.000,0.681,2.687,0.000,39.538,0.000,18.567,0.000,0.408,0.000,15.091,0.000,0.805,0.000,0.000,0.000,0.000,0.000,0.000,2.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.420,0.000,0.000,0.000,0.000,2.389
Ov79_rep7_Dep6_Tu2,16.011,0.000,0.491,0.000,0.000,35.299,0.000,26.120,0.000,8.324,0.000,0.000,0.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.995,0.000,0.000,0.000,0.000,0.000
