Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Ov79_rep2_Dep6_Tu5,2.427,0.809,2.308,11.117,5.828,10.213,11.342,6.334,7.662,1.633,1.066,2.739,0.891,1.036,1.526,0.943,2.092,1.765,0.370,0.577,0.949,0.091,0.274,0.111,0.315,0.133,0.351,0.036,0.031,0.003,0.063,0.063,2.509,2.601,0.554,2.485,0.265,1.680,0.001,0.665,14.142
Ov79_rep8_Dep6_Tu30,0.753,2.341,5.817,4.914,3.394,1.609,4.677,6.885,4.320,1.105,0.190,3.967,0.036,1.467,0.659,0.846,0.129,1.457,1.082,1.277,0.487,0.485,1.068,0.162,0.065,1.201,1.200,0.256,0.366,0.031,0.231,1.972,5.400,4.900,6.192,3.121,6.089,0.085,1.644,5.420,12.702
Ov79_rep6_Dep6_Tu0.3,1.396,1.568,8.635,11.080,4.070,10.549,17.522,4.016,2.863,2.246,1.204,3.637,1.441,0.510,0.123,1.650,0.566,0.641,0.049,1.393,0.598,1.203,0.474,0.097,0.046,0.041,0.172,0.014,0.029,0.001,0.003,0.010,1.671,0.772,2.423,1.087,0.415,0.012,0.943,0.872,13.957
Ov79_rep1_Dep6_Tu3,0.657,0.966,18.159,2.161,1.541,13.692,8.332,0.637,10.988,6.340,0.019,0.138,0.034,1.044,2.623,0.561,1.203,1.722,2.023,2.526,0.330,0.151,0.478,0.014,0.146,0.053,0.146,0.038,0.004,0.002,0.001,0.005,1.147,3.404,0.351,0.221,0.274,1.872,0.467,0.280,15.250
Ov79_rep1_Dep6_Tu50,1.604,0.459,1.955,2.366,2.682,4.361,2.454,1.473,2.431,2.025,2.836,0.314,0.614,0.683,0.682,2.133,0.158,1.406,1.650,1.164,0.970,1.294,0.380,0.436,0.326,2.100,0.221,0.528,0.620,0.079,1.878,3.624,6.724,5.082,6.762,3.177,9.876,1.960,2.211,6.761,11.540
Ov79_rep7_Dep6_Tu50,2.085,0.567,2.410,3.718,1.927,3.977,3.342,2.039,1.533,0.121,3.992,0.208,1.412,0.800,0.099,1.428,1.301,1.089,0.370,0.197,1.259,1.195,1.358,0.060,0.381,0.030,2.492,0.627,1.196,0.033,0.771,4.707,8.986,4.385,7.403,0.207,9.941,2.672,2.453,5.360,11.868
Ov79_rep4_Dep6_Tu50,0.812,1.533,2.364,3.776,0.903,3.499,1.460,3.781,2.420,2.989,2.796,0.931,0.542,1.828,1.649,1.177,2.035,0.993,0.239,0.633,1.394,0.970,0.322,0.074,0.564,1.807,1.179,0.505,0.837,0.059,2.232,3.873,8.171,2.754,7.518,3.708,8.511,0.966,0.877,5.778,11.542
Ov79_rep2_Dep6_Tu3,1.416,1.127,4.377,8.794,10.262,6.479,20.169,5.490,2.049,2.282,2.151,2.049,0.597,0.559,0.996,0.902,1.748,1.224,1.377,0.513,0.330,0.708,0.916,0.031,0.152,0.134,0.126,0.005,0.027,0.001,0.010,0.011,0.208,0.747,2.480,0.376,0.315,1.791,1.107,0.058,15.904
Ov79_rep7_Dep6_Tu1,2.146,1.107,0.426,0.776,6.499,6.683,15.853,5.864,20.947,1.286,3.977,0.535,0.853,1.031,0.272,1.234,1.153,1.979,0.288,1.058,0.668,0.136,0.856,0.058,0.176,0.176,0.152,0.045,0.011,0.002,0.003,0.030,2.758,2.920,0.225,0.081,0.336,0.210,0.004,0.868,16.319
Ov79_rep9_Dep6_Tu5,0.016,0.186,7.502,2.645,8.134,8.394,10.310,6.788,8.840,1.090,3.029,3.504,0.842,1.235,0.794,1.588,2.239,0.578,0.990,1.416,0.891,1.011,0.131,0.070,0.277,0.435,0.150,0.010,0.028,0.008,0.055,0.092,2.834,0.198,1.673,1.763,1.146,1.449,0.443,1.404,15.812
