Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Ov79_rep2_Dep6_Tu5,0.150,22.628,3.716,0.017,15.340,0.083,0.590,3.803,2.692,0.572,6.681,0.870,42.858
Ov79_rep8_Dep6_Tu30,0.312,8.626,21.413,0.238,24.177,3.127,2.316,1.652,4.174,6.037,6.808,1.082,20.039
Ov79_rep6_Dep6_Tu0.3,0.199,10.760,1.986,0.008,20.773,0.022,1.629,3.590,0.261,1.690,8.894,1.566,48.622
Ov79_rep1_Dep6_Tu3,0.040,19.190,5.738,0.004,9.706,0.010,2.203,1.329,0.236,1.993,6.914,2.991,49.646
Ov79_rep1_Dep6_Tu50,5.171,13.189,6.007,1.607,35.028,8.520,1.215,5.533,4.577,1.517,6.277,2.572,8.786
Ov79_rep7_Dep6_Tu50,3.838,1.625,28.129,0.751,26.258,6.513,2.325,2.289,2.642,6.307,7.239,2.203,9.883
Ov79_rep4_Dep6_Tu50,3.102,3.292,27.503,0.582,26.518,6.670,2.566,3.472,3.077,7.772,2.609,2.980,9.856
Ov79_rep2_Dep6_Tu3,0.211,25.492,3.517,0.016,6.096,0.041,1.402,3.404,1.199,1.739,6.987,1.268,48.629
Ov79_rep7_Dep6_Tu1,0.007,17.554,5.200,0.007,14.379,0.040,1.592,1.358,2.678,0.771,8.207,0.376,47.831
Ov79_rep9_Dep6_Tu5,0.092,32.081,3.499,0.031,5.687,0.193,0.747,1.678,1.721,3.652,7.914,1.636,41.068
Ov79_rep3_Dep6_Tu1,0.155,20.614,3.665,0.000,15.883,0.004,1.453,1.615,1.280,0.245,10.278,0.953,43.855
Ov79_rep5_Dep6_Tu3,0.020,25.288,2.003,0.000,14.878,0.003,0.915,3.186,0.413,0.788,8.931,0.424,43.149
Ov79_rep10_Dep6_Tu0.3,0.086,15.799,6.646,0.004,9.758,0.015,0.960,2.890,2.354,2.975,7.055,1.059,50.399
Ov79_rep8_Dep6_Tu2,0.038,0.993,10.082,0.022,18.958,0.158,0.072,3.846,4.117,2.196,7.930,0.770,50.818
Ov79_rep1_Dep6_Tu0.5,0.017,19.883,7.731,0.015,3.485,0.056,0.494,3.290,0.983,4.168,7.654,1.652,50.571
Ov79_rep3_Dep6_Tu0.3,0.199,19.396,2.921,0.007,12.967,0.015,1.274,3.931,0.187,2.740,7.212,0.974,48.176
Ov79_rep8_Dep6_Tu50,3.758,1.861,27.733,0.729,26.539,6.191,3.288,4.062,4.639,5.634,5.578,0.758,9.230
Ov79_rep9_Dep6_Tu0.3,0.112,25.919,5.180,0.002,3.860,0.045,0.849,3.093,0.957,2.330,8.149,0.906,48.597
Ov79_rep7_Dep6_Tu2,0.098,20.077,4.498,0.003,13.018,0.027,1.642,3.033,2.395,1.458,5.135,0.715,47.900
Ov79_rep7_Dep6_Tu30,0.849,27.408,22.673,0.252,13.344,2.295,2.944,1.199,5.124,2.953,8.676,1.003,11.279
