Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Ov9433_rep10_Dep6_Tu5,7.238,5.413,24.304,18.219,3.977,6.716,0.000,9.981,0.693,5.310,2.950,0.000,1.933,0.441,0.000,0.000,1.467,0.000,0.000,0.573,1.397,0.000,1.576,0.000,0.000,0.000,0.582,0.000,0.201,0.000,0.420,0.188,0.000,1.516,1.527,0.272,0.000,0.000,0.879,2.229
Ov9433_rep6_Dep6_Tu20,4.462,4.877,26.615,8.590,2.133,13.745,0.000,5.658,0.595,3.877,0.000,2.470,0.453,0.771,0.000,0.065,2.157,0.000,3.865,0.000,0.029,0.000,2.542,0.840,0.760,0.000,0.000,0.000,1.539,0.956,0.707,0.894,1.911,2.093,0.992,0.000,0.326,0.870,1.275,3.932
Ov9433_rep8_Dep6_Tu5,7.168,3.867,31.360,17.557,2.150,6.006,0.000,5.662,0.937,6.725,1.659,0.000,0.973,0.925,0.000,0.407,1.151,0.000,3.859,0.000,0.000,0.000,2.505,0.650,0.000,0.000,0.000,0.000,0.000,0.000,0.669,0.010,0.037,0.947,1.132,0.372,0.000,0.000,0.818,2.455
Ov9433_rep2_Dep6_Tu5,8.298,4.333,28.928,9.317,5.790,10.375,0.000,9.351,0.000,3.506,3.762,0.326,1.337,1.731,0.000,1.713,1.084,0.000,0.000,0.000,0.000,0.000,2.241,0.406,0.000,0.020,0.000,0.000,0.092,0.000,0.000,0.642,0.158,1.552,0.966,0.649,0.000,0.000,0.130,3.293
Ov9433_rep5_Dep6_Tu0.5,6.003,6.552,31.621,14.483,4.115,8.415,0.000,7.583,0.000,5.190,3.099,0.000,0.000,2.794,0.000,0.000,1.444,1.391,0.000,0.539,1.248,0.057,0.875,0.304,0.000,0.000,0.054,0.000,0.000,0.000,0.000,0.298,0.000,1.140,0.878,0.102,0.000,0.000,0.271,1.544
Ov9433_rep5_Dep6_Tu5,5.485,4.805,31.852,14.416,0.000,13.329,0.000,3.554,0.000,8.396,0.000,0.000,1.873,0.292,0.078,0.000,5.340,0.000,0.790,0.000,1.326,0.000,1.189,0.418,0.000,0.000,0.000,0.000,0.232,0.000,0.000,0.597,0.067,1.333,0.807,0.795,0.000,0.000,0.000,3.024
Ov9433_rep8_Dep6_Tu30,3.669,7.777,20.290,11.323,4.432,5.109,1.728,9.155,0.794,2.646,3.992,0.000,2.755,0.000,0.000,0.000,0.447,0.000,0.000,0.000,1.862,0.000,0.774,1.540,0.815,0.000,0.000,0.000,3.090,2.783,0.000,1.252,1.995,2.411,2.816,0.392,0.399,0.889,1.056,3.809
Ov9433_rep6_Dep6_Tu0.3,6.468,6.237,30.318,13.821,3.650,12.065,0.000,5.406,0.000,4.396,3.979,0.000,0.000,2.145,0.000,0.000,1.153,2.053,2.606,0.476,1.452,0.000,0.698,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.876,0.299,0.203,0.337,0.000,0.451,0.910
Ov9433_rep1_Dep6_Tu0.3,6.843,5.002,28.227,13.760,3.960,11.908,0.217,4.782,1.575,6.472,4.051,0.000,0.150,2.309,0.286,1.026,1.383,0.000,0.796,0.000,1.629,0.000,0.894,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.168,0.110,0.000,0.000,1.175,0.406,0.000,0.000,1.671,1.200
Ov9433_rep2_Dep6_Tu10,4.594,6.496,22.776,12.728,5.926,12.827,0.000,7.698,0.000,0.434,6.659,0.000,2.022,0.000,2.391,2.515,0.144,0.000,0.000,0.000,1.913,0.000,0.599,0.318,0.000,0.000,0.296,0.000,0.458,0.213,0.000,0.798,0.000,0.934,2.883,0.733,0.672,0.000,0.044,2.928
