Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Ov9433_rep10_Dep6_Tu5,5.197,6.483,25.794,18.718,4.838,5.622,0.000,8.424,0.000,5.463,1.910,0.000,0.643,2.153,0.000,0.000,0.000,0.000,0.000,0.000,3.546,0.000,0.000,0.000,0.000,0.000,1.598,0.000,0.698,0.000,1.306,0.646,0.000,2.748,1.511,0.820,0.000,0.475,0.016,1.390
Ov9433_rep6_Dep6_Tu20,2.521,6.416,28.200,9.307,3.269,12.148,0.000,3.960,0.000,3.018,0.000,2.600,0.572,2.499,0.000,0.000,0.000,0.000,0.000,0.000,3.485,0.000,0.000,0.959,0.000,0.727,1.074,0.000,2.677,0.000,1.872,1.767,2.269,3.486,1.151,0.634,0.280,1.873,0.287,2.951
Ov9433_rep8_Dep6_Tu5,5.558,5.296,32.658,18.062,3.182,4.911,0.000,4.450,0.000,6.852,0.849,0.000,1.569,2.124,0.000,0.000,0.000,0.000,0.000,0.000,2.141,0.000,1.149,0.548,0.000,0.386,1.048,0.000,0.000,0.000,1.678,0.576,0.490,2.061,1.124,1.212,0.000,0.218,0.203,1.656
Ov9433_rep2_Dep6_Tu5,6.320,5.482,30.300,9.858,6.468,9.016,0.000,7.613,0.000,3.498,2.751,0.494,0.000,3.474,0.000,0.000,0.000,0.000,0.000,0.000,2.124,0.000,0.560,0.000,0.000,1.381,0.537,0.000,0.636,0.000,0.049,1.840,0.551,2.660,0.891,1.462,0.000,0.000,0.000,2.036
Ov9433_rep5_Dep6_Tu0.5,4.310,7.718,32.814,14.967,4.816,7.145,0.000,6.005,0.000,5.271,2.241,0.000,0.000,3.538,0.000,0.000,0.000,0.000,0.000,0.000,2.836,0.000,0.000,0.000,0.000,0.849,0.863,0.000,0.000,0.000,0.152,1.511,0.127,2.308,0.907,0.966,0.000,0.000,0.000,0.656
Ov9433_rep5_Dep6_Tu5,4.526,6.166,32.869,15.013,0.000,12.323,0.000,2.535,0.000,7.948,0.000,0.000,1.833,1.578,0.000,0.000,0.000,0.000,0.000,0.000,3.358,0.000,0.000,0.889,0.000,0.345,0.417,0.000,0.707,0.000,0.512,1.487,0.398,2.398,0.988,1.685,0.000,0.000,0.000,2.023
Ov9433_rep8_Dep6_Tu30,0.000,8.462,23.503,12.317,6.568,3.295,0.000,6.043,0.000,2.793,1.848,0.000,1.515,1.501,0.000,0.000,0.000,0.000,0.000,0.000,3.330,0.000,0.000,0.931,0.000,1.726,0.913,0.510,5.065,0.765,1.116,2.961,2.592,4.558,2.468,1.318,0.237,2.198,0.000,1.467
Ov9433_rep6_Dep6_Tu0.3,5.326,7.806,31.435,14.369,4.338,10.640,0.000,4.037,0.000,4.477,3.206,0.170,0.000,3.734,0.000,0.000,0.000,0.000,0.000,0.000,3.068,0.000,0.000,0.000,0.000,0.785,0.591,0.000,0.000,0.000,0.000,1.374,0.167,2.039,0.469,0.821,0.704,0.000,0.068,0.376
Ov9433_rep1_Dep6_Tu0.3,5.102,6.257,29.682,14.447,5.161,10.864,0.000,3.622,0.217,6.602,3.117,0.000,0.000,3.402,0.000,0.000,0.000,0.000,0.000,0.000,3.289,0.000,0.000,0.000,0.000,0.000,0.957,0.000,0.000,0.000,1.205,0.626,0.241,0.810,1.471,1.376,0.000,0.000,1.066,0.486
Ov9433_rep2_Dep6_Tu10,2.936,7.811,24.184,13.199,6.684,11.326,0.000,6.061,0.000,0.544,5.618,0.196,1.804,1.144,0.000,0.000,0.000,0.000,0.000,0.000,3.316,0.000,0.000,0.000,0.000,0.802,0.986,0.451,1.159,0.000,0.338,2.008,0.266,2.214,2.929,1.375,1.042,0.000,0.000,1.607
