Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Ov9433_rep10_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.180,0.000,0.000,5.351,0.000,52.376,3.995,0.000,0.000,0.000,20.324,3.928,4.391,0.282,0.000,9.173
Ov9433_rep6_Dep6_Tu20,0.000,0.000,0.000,0.000,5.538,0.000,0.000,0.000,0.000,0.000,12.504,0.000,43.566,0.000,4.069,0.000,0.000,25.657,0.000,1.017,0.000,7.648,0.000
Ov9433_rep8_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.335,0.000,0.000,6.123,0.000,52.886,0.000,16.597,0.000,0.000,1.005,19.782,2.980,0.291,0.000,0.000
Ov9433_rep2_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,6.735,0.000,49.234,5.734,1.066,0.000,0.000,0.667,1.772,1.711,32.979,0.000,0.000
Ov9433_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.362,0.000,0.000,19.301,0.000,52.722,5.073,0.000,0.000,0.000,4.208,0.250,0.159,4.722,0.000,13.201
Ov9433_rep5_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.315,0.000,0.000,5.196,0.000,52.715,0.000,24.876,2.668,0.000,3.048,9.827,1.117,0.236,0.000,0.000
Ov9433_rep8_Dep6_Tu30,0.000,0.000,0.056,0.000,12.369,0.000,0.000,0.000,0.000,0.000,13.960,0.000,29.953,0.000,0.689,0.457,26.933,3.912,0.498,0.000,0.000,11.171,0.000
Ov9433_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.098,0.000,0.000,13.717,0.000,51.412,0.000,10.354,0.000,5.381,0.469,0.000,0.100,17.467,0.000,0.000
Ov9433_rep1_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.183,0.000,0.000,5.592,0.000,53.659,0.000,0.367,0.000,0.000,21.051,0.000,0.099,0.512,0.000,17.535
Ov9433_rep2_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.133,0.000,0.000,28.317,0.000,48.125,2.840,0.066,0.000,0.000,2.144,0.000,5.412,1.681,0.000,11.281
Ov9433_rep4_Dep6_Tu20,0.000,0.000,0.000,0.000,5.605,0.000,0.000,0.000,0.000,0.000,13.384,0.000,40.996,0.000,24.774,1.170,0.000,5.039,0.411,1.935,0.000,6.684,0.000
Ov9433_rep3_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.102,0.000,0.000,6.629,0.000,47.021,0.107,0.000,0.441,2.370,19.411,6.950,4.923,0.000,0.000,12.044
Ov9433_rep4_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.367,0.000,0.000,7.055,0.000,56.267,3.103,0.000,0.000,17.042,5.710,0.000,0.343,7.799,0.000,2.312
Ov9433_rep9_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.714,0.000,0.000,4.748,0.000,53.255,0.000,15.661,0.206,0.557,1.759,17.581,5.517,0.000,0.000,0.000
Ov9433_rep10_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.478,0.000,0.000,10.754,0.000,56.311,0.000,1.113,1.868,0.000,12.923,0.000,0.000,16.551,0.000,0.000
Ov9433_rep6_Dep6_Tu30,0.000,0.000,0.164,0.000,5.187,0.000,0.000,0.000,0.000,0.000,4.166,0.000,32.439,1.366,11.762,20.011,0.000,2.154,0.000,8.542,0.000,14.209,0.000
Ov9433_rep1_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.213,0.000,0.000,11.357,0.000,50.597,0.107,0.000,0.000,31.074,5.136,0.135,0.000,0.000,0.000,1.380
Ov9433_rep1_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.181,0.000,0.000,9.061,0.000,49.933,8.614,0.627,0.000,0.000,16.642,7.926,0.000,0.058,0.000,6.957
Ov9433_rep5_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.737,0.000,0.000,7.798,0.000,52.737,1.385,0.000,0.000,2.073,2.445,26.503,0.000,6.320,0.000,0.000
Ov9433_rep9_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.443,0.000,0.000,8.937,0.000,51.407,1.909,0.304,0.000,1.947,2.490,26.592,0.000,5.967,0.000,0.000
Ov9433_rep9_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.424,0.000,0.000,13.662,0.000,49.742,0.000,0.000,0.000,0.055,1.908,0.017,0.121,4.562,0.000,29.508
Ov9433_rep4_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.379,0.000,0.000,33.596,0.000,49.260,0.000,0.000,1.212,0.000,9.339,0.000,0.175,4.073,0.000,1.964
Ov9433_rep1_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.525,0.000,0.000,5.720,0.000,49.947,0.000,0.836,0.589,1.085,18.436,7.337,0.000,0.005,0.000,15.519
Ov9433_rep4_Dep6_Tu50,0.633,0.000,1.307,0.000,20.704,0.000,0.000,0.000,0.000,0.000,7.358,0.000,22.199,0.000,20.186,0.000,0.000,0.000,1.778,0.000,1.577,24.258,0.000
Ov9433_rep9_Dep6_Tu30,0.000,0.000,0.170,0.000,19.043,0.000,0.000,0.035,0.000,0.000,8.811,0.000,31.850,0.000,17.643,0.138,0.000,0.394,1.238,0.000,12.256,8.420,0.000
Ov9433_rep4_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.566,0.000,0.000,12.637,0.000,57.728,0.000,0.000,0.000,0.000,2.202,0.474,0.555,25.272,0.000,0.565
Ov9433_rep7_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.508,0.000,0.000,5.624,0.000,54.323,0.000,29.119,1.158,1.594,6.165,1.048,0.461,0.000,0.000,0.000
Ov9433_rep8_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.592,0.000,0.000,7.824,0.000,55.012,4.541,3.772,0.000,0.000,0.826,0.892,1.468,25.072,0.000,0.000
Ov9433_rep2_Dep6_Tu30,0.000,0.000,0.094,0.000,13.940,0.000,0.000,0.000,0.000,0.000,30.795,0.000,32.911,0.000,0.000,0.220,0.000,2.532,0.000,4.665,0.000,10.500,4.341
Ov9433_rep7_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.401,0.000,0.000,27.994,0.000,55.497,2.465,0.000,0.000,4.047,6.005,0.189,0.803,2.598,0.000,0.000
Ov9433_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.194,0.000,0.000,7.032,0.000,52.779,0.000,1.052,0.000,0.000,17.448,5.552,0.000,0.342,0.000,15.599
Ov9433_rep8_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.417,0.000,0.000,13.659,0.000,49.707,0.000,0.000,0.000,0.000,1.859,0.107,0.220,4.511,0.000,29.518
Ov9433_rep5_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.142,0.000,0.000,25.234,0.000,53.695,2.328,0.105,0.000,1.354,7.582,0.000,0.000,0.000,0.000,9.560
Ov9433_rep4_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.497,0.000,0.000,4.286,0.000,52.917,0.000,0.000,0.000,3.316,17.782,5.405,0.764,0.000,0.000,15.033
Ov9433_rep2_Dep6_Tu40,0.076,0.068,3.263,0.000,12.248,0.000,0.000,0.000,0.000,0.000,7.163,0.000,34.661,0.000,0.000,0.000,4.442,7.814,0.000,2.189,3.976,24.099,0.000
Ov9433_rep2_Dep6_Tu20,0.000,0.000,0.000,0.000,6.689,0.000,0.000,0.018,0.000,0.000,11.431,0.000,38.504,0.000,0.000,0.068,0.000,21.123,14.873,0.000,0.000,7.292,0.000
Ov9433_rep10_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.187,0.000,0.000,15.916,0.000,55.687,0.382,2.220,0.583,0.000,5.137,2.393,3.508,13.987,0.000,0.000
Ov9433_rep4_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.348,0.000,0.000,9.694,0.000,53.839,0.000,2.541,0.353,0.440,1.015,0.275,4.698,26.797,0.000,0.000
Ov9433_rep2_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.426,0.000,0.000,24.850,0.000,55.553,0.000,0.000,0.000,1.417,7.214,5.799,0.000,1.911,0.000,2.829
Ov9433_rep3_Dep6_Tu50,0.622,0.331,1.552,0.000,23.966,0.000,0.000,0.000,0.000,0.000,8.337,0.000,24.739,8.729,2.671,0.000,0.000,5.054,2.027,0.064,0.000,21.909,0.000
Ov9433_rep6_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.486,0.000,0.000,6.305,0.000,52.936,1.137,9.748,8.698,0.000,2.655,15.980,0.000,2.054,0.000,0.000
Ov9433_rep1_Dep6_Tu30,0.000,0.000,0.095,0.000,13.134,0.000,0.000,0.000,0.000,0.000,27.939,0.000,33.721,2.526,0.000,0.000,4.957,0.956,0.000,1.096,2.624,12.951,0.000
Ov9433_rep9_Dep6_Tu40,0.042,0.000,0.663,0.000,19.977,0.000,0.000,0.000,0.000,0.000,11.403,0.000,28.306,0.000,7.399,1.210,0.000,0.316,1.258,0.908,12.441,16.075,0.000
Ov9433_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.722,0.000,0.000,8.349,0.000,53.793,0.106,19.757,0.000,0.000,2.334,12.642,2.296,0.000,0.000,0.000
Ov9433_rep7_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.139,0.000,0.000,7.792,0.000,56.081,0.763,0.000,0.000,1.073,21.348,0.000,0.711,0.114,0.000,11.978
Ov9433_rep7_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,25.363,0.000,52.631,10.631,0.524,0.000,2.922,2.131,0.075,0.000,0.765,0.000,4.716
