Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Ov9433_rep10_Dep6_Tu5,13.789,0.000,0.825,0.000,0.000,27.210,0.000,28.004,0.000,13.105,0.000,0.000,0.984,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.323,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.917,0.000,0.000,0.000,10.844,0.000,0.000,0.000,0.000,0.000
Ov9433_rep6_Dep6_Tu20,10.736,0.000,15.732,0.000,0.000,24.278,0.000,12.552,0.000,11.415,0.000,0.000,1.080,0.000,0.000,0.000,0.000,0.000,3.417,0.000,2.700,0.000,0.000,5.675,0.000,0.000,0.000,0.000,0.000,0.958,0.000,0.000,2.202,8.423,0.128,0.000,0.000,0.706,0.000,0.000
Ov9433_rep8_Dep6_Tu5,9.480,0.000,1.220,0.000,5.461,34.500,1.981,16.625,0.000,2.533,0.000,7.645,0.000,3.505,0.000,0.000,0.000,0.000,3.409,0.000,4.263,0.000,0.000,0.000,0.000,0.000,2.085,0.000,0.000,0.000,0.000,0.000,2.437,0.000,4.855,0.000,0.000,0.000,0.000,0.000
Ov9433_rep2_Dep6_Tu5,11.836,0.000,25.624,0.000,0.000,19.187,0.000,17.452,0.000,8.462,0.000,0.000,2.723,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.762,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.860,0.000,0.000,6.817,0.000,5.276,0.000,0.000,0.000,0.000,0.000
Ov9433_rep5_Dep6_Tu0.5,10.534,0.000,24.823,0.000,0.000,23.258,0.000,20.779,0.000,8.676,0.000,0.321,0.000,2.526,0.000,0.000,0.000,0.000,0.000,1.200,4.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.217,0.000,0.000,0.000,0.000,0.000
Ov9433_rep5_Dep6_Tu5,8.463,0.000,14.098,0.000,0.000,24.238,0.000,18.307,0.000,7.728,0.000,4.169,5.267,0.000,0.000,0.000,0.000,0.000,1.038,0.000,6.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.828,0.000,7.761,0.000,0.000,0.000,0.000,0.000
Ov9433_rep8_Dep6_Tu30,8.247,6.505,22.811,0.000,0.000,7.350,1.848,13.178,0.000,6.211,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.575,0.000,0.000,2.574,0.000,0.102,0.000,0.759,0.000,3.863,1.481,0.000,8.668,8.754,5.077,0.000,0.000,0.000,0.000,0.000
Ov9433_rep6_Dep6_Tu0.3,12.523,0.000,20.591,0.000,5.107,30.605,0.000,0.000,0.000,8.981,0.000,6.854,0.000,1.885,0.000,0.000,0.000,0.000,2.309,0.000,3.607,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.515,4.140,0.883,0.000,0.000,0.000,0.000,0.000
Ov9433_rep1_Dep6_Tu0.3,12.971,0.000,3.947,0.000,0.000,36.190,1.894,21.434,0.000,13.214,0.000,0.000,0.000,1.820,0.000,0.000,1.139,0.000,0.582,0.095,3.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.941,0.000,0.000,0.000,0.271,0.000,0.000
Ov9433_rep2_Dep6_Tu10,5.911,4.736,9.742,0.000,0.000,26.440,0.000,19.707,0.000,10.295,0.000,3.335,0.445,0.000,0.000,0.000,0.000,0.000,0.000,1.821,1.683,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.465,0.000,0.000,0.000,0.000,14.418,0.000,0.000,0.000,0.000,0.000
Ov9433_rep4_Dep6_Tu20,8.500,0.000,17.262,0.000,0.000,19.006,0.000,13.380,0.000,0.000,0.000,15.720,0.000,3.559,0.000,0.000,0.000,0.000,1.239,0.000,3.744,0.000,0.000,3.652,0.000,0.188,0.000,0.807,0.809,0.000,0.000,0.000,6.336,0.000,5.799,0.000,0.000,0.000,0.000,0.000
Ov9433_rep3_Dep6_Tu10,0.000,17.424,0.097,0.000,0.000,38.034,0.000,22.571,0.000,11.463,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.248,3.099,0.000,0.000,2.116,0.000,0.000,0.000,0.654,0.000,0.000,0.000,0.000,0.063,0.000,4.232,0.000,0.000,0.000,0.000,0.000
Ov9433_rep4_Dep6_Tu0.3,7.911,2.354,1.770,0.000,0.000,30.176,0.000,30.834,0.000,13.187,0.000,0.000,2.639,0.000,0.000,0.000,0.000,0.000,1.592,0.000,2.907,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.551,0.000,2.079,0.000,0.000,0.000,0.000,0.000
Ov9433_rep9_Dep6_Tu0.1,12.130,0.000,0.000,9.945,0.000,43.575,0.000,0.828,0.000,6.155,0.000,5.996,4.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.691,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.334,0.000,11.973,0.000,0.000,0.000,0.000,0.000
Ov9433_rep10_Dep6_Tu0.5,8.357,1.672,5.716,0.000,0.000,37.119,0.000,19.740,0.000,12.562,0.000,0.000,0.741,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.491,0.000,0.000,0.000,0.000,0.000
Ov9433_rep6_Dep6_Tu30,7.035,0.368,2.760,0.000,0.000,37.943,0.485,3.941,0.000,0.000,0.000,11.216,1.286,0.000,0.000,0.000,0.000,0.000,1.373,0.000,3.967,0.000,0.000,5.985,0.000,0.000,0.000,0.000,6.853,0.000,0.000,0.000,5.693,0.000,11.095,0.000,0.000,0.000,0.000,0.000
Ov9433_rep1_Dep6_Tu2,4.180,7.381,10.647,0.000,0.000,28.424,0.000,20.519,0.000,11.915,0.000,0.000,1.649,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.744,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.523,0.165,9.852,0.000,0.000,0.000,0.000,0.000
Ov9433_rep1_Dep6_Tu5,13.082,0.000,16.923,0.000,0.000,29.288,0.000,12.042,0.000,11.219,0.000,0.000,0.000,1.954,0.000,0.000,0.000,0.000,0.000,3.301,4.814,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,5.273,2.087,0.000,0.000,0.000,0.000,0.000
Ov9433_rep5_Dep6_Tu1,12.571,0.000,14.546,0.000,0.000,21.949,0.000,19.068,0.000,5.532,6.175,1.799,2.457,0.015,0.000,0.000,0.000,0.000,3.308,0.000,4.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.652,0.000,0.000,0.000,7.228,0.000,0.000,0.000,0.000,0.000
