Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Ov9433_rep10_Dep6_Tu5,0.141,9.489,2.164,0.040,13.578,0.859,1.822,1.129,1.322,3.815,2.454,0.939,36.004,26.245
Ov9433_rep6_Dep6_Tu20,5.256,5.769,1.736,3.838,3.860,2.639,1.107,3.306,2.854,6.625,9.840,0.485,19.554,33.132
Ov9433_rep8_Dep6_Tu5,0.047,4.812,4.924,0.123,10.402,1.641,1.696,3.891,0.359,5.807,0.958,3.637,30.201,31.499
Ov9433_rep2_Dep6_Tu5,0.031,8.014,1.450,0.111,4.161,1.335,1.051,0.958,1.343,7.030,7.315,2.031,34.536,30.635
Ov9433_rep5_Dep6_Tu0.5,0.053,0.589,3.625,0.001,7.454,0.379,0.296,2.412,2.946,1.874,9.642,2.038,32.694,35.997
Ov9433_rep5_Dep6_Tu5,0.002,10.642,3.382,0.004,0.379,0.698,1.538,1.760,3.199,2.225,11.288,3.570,31.908,29.405
Ov9433_rep8_Dep6_Tu30,5.769,7.951,5.911,6.836,13.358,1.290,2.432,1.966,0.670,4.909,2.271,0.649,10.892,35.097
Ov9433_rep6_Dep6_Tu0.3,0.005,5.278,4.002,0.000,1.171,0.226,1.180,2.559,0.598,6.606,17.444,2.496,30.947,27.488
Ov9433_rep1_Dep6_Tu0.3,0.017,4.268,0.308,0.000,3.812,0.571,2.785,2.096,3.908,1.937,9.815,2.828,37.816,29.839
Ov9433_rep2_Dep6_Tu10,0.050,5.839,4.549,1.073,9.952,1.515,1.002,1.679,2.274,1.542,10.183,1.089,23.987,35.266
Ov9433_rep4_Dep6_Tu20,3.656,4.331,5.339,2.186,10.693,0.431,3.852,2.028,3.859,3.521,5.094,1.393,20.507,33.109
Ov9433_rep3_Dep6_Tu10,0.249,4.135,5.295,0.341,9.010,1.361,2.726,1.466,1.688,7.668,6.992,1.274,19.879,37.915
Ov9433_rep4_Dep6_Tu0.3,0.004,1.713,5.741,0.000,7.878,0.199,1.525,0.738,2.101,5.499,13.697,3.327,20.428,37.151
Ov9433_rep9_Dep6_Tu0.1,0.001,0.124,3.630,0.000,14.020,0.437,2.561,1.472,3.550,1.077,11.626,4.557,29.100,27.846
Ov9433_rep10_Dep6_Tu0.5,0.004,4.212,2.611,0.000,7.842,0.367,1.823,0.210,0.411,4.753,11.557,2.033,38.234,25.944
Ov9433_rep6_Dep6_Tu30,3.278,13.062,3.624,6.595,13.685,2.031,1.551,0.403,3.938,1.312,5.524,1.915,12.979,30.103
Ov9433_rep1_Dep6_Tu2,0.046,1.768,1.839,0.000,8.442,0.888,2.032,0.645,2.843,8.318,7.541,1.027,36.452,28.158
