Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Ov9433_rep10_Dep6_Tu5,0.000,12.451,1.387,47.836,12.201,2.499,0.000,0.000,5.533,4.446,0.294,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.788,0.000,6.366,0.000,0.000,0.166,0.000,0.000,5.232,0.000,0.000,0.255,0.000,0.015,0.000,0.000,0.067,0.036,0.000,0.000,0.000,0.026
Ov9433_rep6_Dep6_Tu20,9.975,2.252,3.228,0.000,27.642,8.387,0.000,0.000,7.893,6.766,0.000,3.508,0.130,0.000,0.000,0.000,0.000,0.000,1.376,0.558,3.761,0.000,0.000,0.103,0.000,0.000,5.850,0.000,13.591,0.115,0.000,0.000,0.000,3.128,1.666,0.000,0.048,0.021,0.000,0.000
Ov9433_rep8_Dep6_Tu5,0.000,13.472,0.000,24.420,18.934,4.073,0.000,12.962,6.981,5.974,0.000,0.000,1.474,0.000,0.000,0.000,0.000,0.000,2.905,0.000,0.000,0.000,0.566,0.019,0.000,0.224,0.928,0.000,0.000,0.082,0.000,0.000,0.000,1.743,5.180,0.000,0.062,0.000,0.000,0.000
Ov9433_rep2_Dep6_Tu5,0.172,15.665,41.559,3.818,12.858,7.834,0.000,0.000,7.198,1.360,2.382,0.250,0.470,0.000,0.000,0.000,0.000,0.000,1.128,0.000,0.385,0.000,0.010,0.008,0.074,0.000,1.234,0.000,0.000,0.141,0.000,0.000,0.000,0.945,2.441,0.000,0.065,0.000,0.000,0.000
Ov9433_rep5_Dep6_Tu0.5,24.799,4.150,0.000,0.000,48.184,5.343,0.000,0.054,7.578,1.422,1.846,0.911,0.250,0.019,0.000,0.000,0.000,0.020,0.000,0.546,1.890,0.000,0.025,0.000,0.000,0.000,2.661,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.101,0.000,0.000,0.000,0.000,0.000
Ov9433_rep5_Dep6_Tu5,0.000,11.444,0.000,15.933,14.272,3.388,0.000,32.703,5.135,5.598,0.000,0.000,0.336,0.000,0.000,0.000,0.000,0.000,6.175,0.000,0.000,0.000,0.204,0.032,0.000,0.000,2.668,0.000,0.000,0.205,0.000,0.000,0.000,1.835,0.000,0.000,0.071,0.000,0.000,0.000
Ov9433_rep8_Dep6_Tu30,5.776,1.996,1.072,11.908,27.227,0.609,0.000,0.000,8.133,0.153,1.518,1.649,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,1.072,0.000,0.000,0.130,0.000,1.181,4.559,0.000,12.070,0.158,0.000,0.000,0.000,0.400,1.708,0.002,0.003,18.295,0.000,0.079
Ov9433_rep6_Dep6_Tu0.3,2.640,16.046,0.000,3.079,36.040,14.457,0.000,0.000,5.389,2.814,0.428,6.054,3.331,0.000,0.000,0.000,0.130,0.000,0.237,0.515,0.135,0.000,0.419,0.000,0.000,0.000,1.112,0.000,0.000,0.000,0.000,0.000,0.000,0.194,6.900,0.000,0.080,0.000,0.000,0.000
Ov9433_rep1_Dep6_Tu0.3,0.000,8.384,0.075,32.293,31.938,1.244,0.208,0.000,2.869,7.041,0.362,0.272,0.247,3.855,0.553,0.000,0.000,0.000,0.000,0.424,3.141,0.000,0.000,0.000,0.000,0.000,6.379,0.000,0.000,0.000,0.000,0.624,0.000,0.064,0.000,0.000,0.025,0.000,0.000,0.000
Ov9433_rep2_Dep6_Tu10,18.488,1.153,4.659,5.920,24.711,8.258,0.590,0.000,13.569,0.277,4.643,0.000,0.708,0.000,0.098,0.000,0.000,0.000,0.000,0.122,0.831,0.000,0.000,0.063,0.000,1.349,9.345,0.000,5.006,0.079,0.000,0.000,0.004,0.000,0.000,0.000,0.125,0.000,0.000,0.000
Ov9433_rep4_Dep6_Tu20,0.054,7.939,4.835,15.616,19.968,3.256,0.000,0.000,10.327,0.688,3.773,0.191,0.000,0.000,0.000,0.000,0.000,0.000,7.364,0.000,0.153,0.000,0.022,0.262,0.000,0.000,4.129,0.000,8.772,0.077,0.000,0.000,11.862,0.554,0.000,0.000,0.000,0.156,0.000,0.000
Ov9433_rep3_Dep6_Tu10,5.048,5.769,0.000,38.793,21.220,2.099,0.176,0.205,2.738,0.000,6.915,0.000,1.291,0.124,0.000,0.000,0.000,0.000,0.925,0.000,0.562,0.000,2.503,0.393,0.000,4.969,5.020,0.000,0.000,0.745,0.000,0.000,0.000,0.058,0.000,0.000,0.445,0.000,0.000,0.000
Ov9433_rep4_Dep6_Tu0.3,7.684,10.095,0.000,11.603,35.433,7.259,0.302,0.686,8.476,3.379,1.631,0.963,0.686,0.284,0.000,0.000,0.000,0.070,0.063,1.905,0.894,0.000,0.349,0.004,0.000,0.000,8.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000
Ov9433_rep9_Dep6_Tu0.1,0.000,14.670,0.000,28.841,15.811,13.257,0.440,0.000,7.257,7.192,0.672,0.000,0.891,0.000,0.000,0.000,0.000,0.000,7.317,0.000,0.202,0.000,0.000,0.000,0.000,0.000,3.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.000
Ov9433_rep10_Dep6_Tu0.5,4.833,15.247,3.761,0.000,43.382,5.662,0.205,0.000,8.633,5.655,1.997,0.151,0.748,0.000,0.259,0.000,0.000,0.000,0.233,0.000,6.280,0.000,0.000,0.000,0.056,0.063,2.379,0.000,0.000,0.000,0.000,0.000,0.000,0.441,0.000,0.000,0.013,0.000,0.000,0.000
