Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Ov9433_rep10_Dep6_Tu5,11.202,0.000,22.517,10.589,7.744,1.844,0.000,19.015,1.117,7.158,1.701,0.000,2.200,1.241,0.000,0.000,0.000,0.000,0.000,0.000,4.146,0.000,0.000,0.000,0.000,0.000,1.497,0.000,0.000,0.000,2.665,0.000,0.459,1.408,3.369,0.128,0.000,0.000,0.000,0.000
Ov9433_rep6_Dep6_Tu20,2.128,5.041,33.301,0.000,9.006,2.785,0.000,10.501,0.504,1.728,0.000,5.912,3.898,0.690,0.000,0.000,0.000,0.000,0.000,0.000,3.523,0.000,0.000,1.230,0.000,0.000,0.000,0.000,4.865,1.360,1.877,0.550,3.316,0.239,5.238,0.000,0.200,2.110,0.000,0.000
Ov9433_rep8_Dep6_Tu5,8.361,0.000,30.795,11.869,4.177,0.000,0.000,12.949,2.562,6.157,1.236,1.822,4.637,0.000,0.000,0.000,0.000,0.000,0.480,0.000,1.122,0.000,2.044,0.481,0.092,0.775,1.052,0.000,0.564,0.066,2.075,0.000,2.686,0.405,3.095,0.500,0.000,0.000,0.000,0.000
Ov9433_rep2_Dep6_Tu5,11.399,0.000,29.663,1.289,9.941,8.421,0.000,12.636,0.000,1.605,3.589,3.107,1.830,2.627,0.000,0.000,0.000,0.000,0.000,0.000,1.650,0.000,0.000,0.028,0.221,0.458,0.000,0.000,1.839,0.000,1.360,0.000,0.930,2.196,2.952,1.311,0.000,0.000,0.000,0.947
Ov9433_rep5_Dep6_Tu0.5,7.062,3.865,34.693,3.950,5.409,5.162,0.000,15.581,0.000,4.021,4.284,0.000,1.074,2.566,0.000,0.000,0.000,0.000,0.000,0.000,3.228,0.000,0.000,0.000,0.000,0.582,0.000,0.000,0.000,0.000,0.465,1.041,3.665,1.911,1.440,0.000,0.000,0.000,0.000,0.000
Ov9433_rep5_Dep6_Tu5,8.043,0.000,34.105,12.514,3.120,4.684,0.000,7.563,0.000,8.858,0.026,0.000,4.160,0.000,0.000,0.000,0.000,0.000,2.190,0.000,1.605,0.000,0.000,0.047,0.000,2.462,0.000,0.000,0.354,0.065,1.305,0.412,2.603,0.000,5.119,0.000,0.766,0.000,0.000,0.000
Ov9433_rep8_Dep6_Tu30,0.000,5.771,28.872,3.974,3.833,0.000,0.000,14.967,0.000,0.000,6.476,0.885,0.000,2.247,0.000,0.000,0.000,0.000,0.000,0.000,2.219,0.000,0.000,0.688,0.000,1.209,1.046,0.000,6.376,2.934,1.912,0.142,4.627,3.131,3.724,0.973,0.000,3.995,0.000,0.000
Ov9433_rep6_Dep6_Tu0.3,6.313,5.702,30.714,8.214,3.170,14.616,0.000,7.096,0.000,4.588,0.505,3.920,0.000,3.734,0.000,0.000,0.000,0.000,0.000,0.000,3.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.353,0.742,3.063,0.000,2.618,0.000,1.353,0.000,0.000,0.000
Ov9433_rep1_Dep6_Tu0.3,10.361,0.000,37.242,0.000,4.770,2.443,0.192,18.767,0.000,10.480,0.000,0.000,1.340,2.711,0.000,0.000,0.000,0.000,0.000,0.000,3.328,0.000,0.000,0.000,0.000,0.007,1.621,0.000,0.000,0.000,1.362,0.737,3.218,0.000,1.322,0.100,0.000,0.000,0.000,0.000
Ov9433_rep2_Dep6_Tu10,4.764,4.120,23.391,6.499,7.717,8.257,0.000,15.018,0.000,0.000,7.594,0.044,4.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.700,0.000,0.000,0.000,0.000,1.386,1.062,0.000,2.482,0.000,2.237,0.000,0.000,0.000,7.273,0.846,0.592,0.000,0.000,0.000
