Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Ov9433_rep10_Dep6_Tu5,1.099,0.434,3.959,0.240,5.307,0.145,3.104,4.794,3.119,7.265,5.540,2.429,23.870,38.694
Ov9433_rep6_Dep6_Tu20,0.187,6.963,6.414,2.760,10.982,0.581,1.435,4.020,3.946,1.212,6.089,2.306,16.563,36.542
Ov9433_rep8_Dep6_Tu5,0.887,0.149,4.005,0.221,12.431,0.116,1.594,5.760,4.994,0.048,10.922,2.621,11.672,44.582
Ov9433_rep2_Dep6_Tu5,0.511,4.194,1.637,0.163,11.218,0.102,0.392,5.352,1.909,4.526,6.620,0.994,29.249,33.134
Ov9433_rep5_Dep6_Tu0.5,0.375,6.117,1.893,0.004,1.850,0.112,1.133,3.374,3.466,4.811,6.607,2.578,31.655,36.024
Ov9433_rep5_Dep6_Tu5,0.121,2.167,4.133,0.053,9.997,0.010,1.967,2.514,5.429,5.034,4.176,2.412,24.275,37.714
Ov9433_rep8_Dep6_Tu30,0.492,5.790,13.622,5.757,4.863,1.297,3.248,3.673,1.264,4.154,3.134,2.194,15.687,34.823
Ov9433_rep6_Dep6_Tu0.3,0.198,3.484,2.861,0.000,7.193,0.011,1.430,3.020,4.497,4.781,13.147,1.525,11.414,46.438
Ov9433_rep1_Dep6_Tu0.3,0.280,6.753,1.483,0.003,1.654,0.151,3.057,7.740,2.712,1.879,3.623,2.716,31.490,36.459
Ov9433_rep2_Dep6_Tu10,0.528,6.899,4.744,0.249,11.726,0.123,0.659,2.837,2.819,1.756,10.124,2.184,14.337,41.015
Ov9433_rep4_Dep6_Tu20,2.287,8.554,5.938,2.377,9.782,0.450,2.384,3.959,0.399,2.664,5.727,1.868,20.595,33.017
Ov9433_rep3_Dep6_Tu10,2.353,1.825,6.481,0.989,0.775,0.688,0.106,1.933,5.544,6.415,8.762,3.946,19.761,40.421
Ov9433_rep4_Dep6_Tu0.3,0.173,1.468,3.095,0.003,8.306,0.019,0.901,0.818,5.330,6.448,6.898,0.870,33.051,32.621
Ov9433_rep9_Dep6_Tu0.1,0.215,2.282,2.367,0.004,9.241,0.027,2.245,1.856,3.560,3.445,6.534,3.282,33.785,31.157
Ov9433_rep10_Dep6_Tu0.5,0.267,1.935,3.932,0.002,9.099,0.076,0.934,3.757,1.971,2.009,9.938,1.385,39.524,25.173
Ov9433_rep6_Dep6_Tu30,1.674,16.012,6.287,5.199,10.314,0.390,0.590,3.019,1.756,1.755,4.022,2.386,12.319,34.278
Ov9433_rep1_Dep6_Tu2,0.808,4.225,1.589,0.028,6.110,0.198,1.106,5.671,6.182,4.383,1.415,1.170,34.190,32.925
Ov9433_rep1_Dep6_Tu5,0.245,8.351,1.397,0.021,9.969,0.019,1.639,3.911,1.304,4.114,4.194,1.604,32.361,30.868
Ov9433_rep5_Dep6_Tu1,0.326,5.233,3.800,0.004,0.196,0.126,1.846,5.047,3.266,4.267,9.054,1.937,27.377,37.520
Ov9433_rep9_Dep6_Tu5,0.326,5.179,3.512,0.120,9.029,0.073,1.743,2.847,2.954,1.435,8.775,2.048,28.793,33.165
Ov9433_rep9_Dep6_Tu0.3,0.122,2.693,1.208,0.006,7.047,0.093,1.134,3.959,3.132,3.699,8.953,3.016,29.468,35.471
