Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Ov9433_rep10_Dep6_Tu5,0.003,0.000,0.008,18.050,1.982,0.000,8.068,0.000,3.224,1.399,5.047,0.402,61.816
Ov9433_rep6_Dep6_Tu20,0.053,4.549,0.133,12.162,7.974,0.000,5.136,0.000,8.295,7.632,1.393,0.073,52.600
Ov9433_rep8_Dep6_Tu5,0.127,0.000,0.087,7.919,0.197,0.000,0.193,0.000,10.286,9.600,9.985,0.767,60.841
Ov9433_rep2_Dep6_Tu5,0.000,0.000,0.058,16.766,0.182,0.000,0.093,0.000,2.421,15.447,4.979,0.153,59.902
Ov9433_rep5_Dep6_Tu0.5,0.000,0.000,0.000,27.704,0.000,0.000,3.725,0.000,0.168,1.205,3.007,0.407,63.784
Ov9433_rep5_Dep6_Tu5,0.000,0.000,0.086,8.772,0.206,0.000,0.068,0.000,12.477,8.084,11.703,0.351,58.253
Ov9433_rep8_Dep6_Tu30,7.442,12.343,2.438,13.383,4.332,0.000,4.725,0.000,0.065,8.340,1.237,0.198,45.497
Ov9433_rep6_Dep6_Tu0.3,0.000,0.000,0.079,14.684,0.000,0.000,0.349,0.000,0.957,11.880,12.124,2.342,57.584
Ov9433_rep1_Dep6_Tu0.3,0.000,0.000,0.019,13.366,0.000,0.000,9.819,0.107,0.799,0.753,8.442,5.583,61.112
Ov9433_rep2_Dep6_Tu10,5.808,0.000,0.151,22.064,0.681,0.000,4.707,0.000,0.342,5.476,1.982,1.598,57.190
Ov9433_rep4_Dep6_Tu20,6.959,1.667,0.418,9.627,4.879,0.000,0.361,0.000,8.474,14.340,4.391,0.095,48.789
Ov9433_rep3_Dep6_Tu10,2.352,0.000,0.383,13.611,3.262,0.000,8.152,0.000,1.015,2.105,5.345,4.509,59.266
Ov9433_rep4_Dep6_Tu0.3,0.000,0.000,0.015,21.646,0.000,0.000,3.506,0.000,1.533,2.432,7.680,1.147,62.039
Ov9433_rep9_Dep6_Tu0.1,0.000,0.000,0.047,7.933,0.000,0.000,0.417,0.000,10.284,7.647,11.809,2.020,59.841
Ov9433_rep10_Dep6_Tu0.5,0.028,0.000,0.027,18.577,0.000,0.000,4.066,0.000,0.871,4.055,11.068,0.549,60.758
Ov9433_rep6_Dep6_Tu30,11.431,0.000,0.149,3.307,5.306,25.787,0.182,0.000,1.086,7.752,4.828,0.000,40.171
Ov9433_rep1_Dep6_Tu2,0.000,0.000,0.053,26.387,0.002,0.000,8.249,0.000,0.384,1.281,2.642,0.198,60.803
Ov9433_rep1_Dep6_Tu5,0.000,0.000,0.150,18.740,1.085,0.000,5.684,0.000,9.057,2.158,2.607,0.037,60.483
Ov9433_rep5_Dep6_Tu1,0.000,0.000,0.318,17.031,0.000,0.000,0.544,0.000,2.310,5.081,12.756,0.698,61.262
Ov9433_rep9_Dep6_Tu5,0.000,0.000,0.554,17.000,0.491,0.000,0.387,0.000,2.992,5.695,12.788,0.593,59.499
Ov9433_rep9_Dep6_Tu0.3,0.000,0.000,0.000,24.593,0.000,0.000,5.098,0.083,0.122,1.050,1.932,4.242,62.879
Ov9433_rep4_Dep6_Tu10,0.110,3.797,0.188,25.989,2.048,0.000,1.371,0.000,0.273,4.047,4.648,0.009,57.521
Ov9433_rep1_Dep6_Tu3,0.021,0.000,0.040,13.855,0.051,0.000,10.015,0.000,0.594,1.886,7.410,4.999,61.129
Ov9433_rep4_Dep6_Tu50,9.859,0.000,0.729,1.083,21.246,0.000,0.914,0.000,0.458,26.959,4.348,0.338,34.066
Ov9433_rep9_Dep6_Tu30,14.647,0.000,0.255,4.988,5.487,0.000,0.310,0.000,0.000,21.324,5.539,4.968,42.481
Ov9433_rep4_Dep6_Tu2,0.000,0.011,0.000,15.807,0.028,0.000,1.053,0.000,1.486,12.489,9.846,0.089,59.191
Ov9433_rep7_Dep6_Tu3,0.000,0.000,0.185,9.316,0.051,0.000,0.043,0.000,11.584,6.958,13.133,0.350,58.379
Ov9433_rep8_Dep6_Tu1,0.000,0.000,0.000,15.960,0.000,0.000,0.454,0.000,0.856,11.146,10.814,0.727,60.042
Ov9433_rep2_Dep6_Tu30,5.076,17.210,0.013,11.472,6.524,0.000,1.438,0.077,0.000,10.628,1.194,1.118,45.251
Ov9433_rep7_Dep6_Tu1,0.000,0.000,0.000,27.809,0.000,0.000,2.196,0.000,0.314,1.534,3.188,0.863,64.096
Ov9433_rep6_Dep6_Tu3,0.000,0.000,0.000,16.319,0.032,0.000,8.716,0.000,6.646,1.267,4.465,0.149,62.405
Ov9433_rep8_Dep6_Tu0.3,0.000,0.000,0.000,24.581,0.000,0.000,5.099,0.082,0.112,1.088,1.935,4.241,62.862
Ov9433_rep5_Dep6_Tu3,0.000,0.000,0.000,28.476,0.231,0.000,1.156,0.732,0.199,1.314,2.602,0.284,65.007
Ov9433_rep4_Dep6_Tu0.1,0.000,0.000,0.015,14.949,0.000,0.000,8.546,0.000,1.257,0.396,6.485,4.453,63.899
Ov9433_rep2_Dep6_Tu40,10.800,3.620,1.491,1.074,10.777,0.000,4.141,0.000,0.000,21.788,8.170,0.802,37.337
Ov9433_rep2_Dep6_Tu20,2.197,0.000,0.854,13.309,8.812,0.000,8.090,0.000,2.450,5.921,2.313,2.180,53.873
Ov9433_rep10_Dep6_Tu3,0.071,0.000,0.030,16.577,0.061,0.000,2.590,0.000,2.718,8.518,8.413,0.445,60.576
