Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Ov9433_rep10_Dep6_Tu5,0.000,0.000,0.000,0.000,19.085,0.000,2.568,0.000,0.000,0.000,2.108,0.000,55.309,0.000,10.804,0.557,0.000,0.506,0.000,1.499,7.563,0.000,0.000
Ov9433_rep6_Dep6_Tu20,0.000,0.000,0.000,5.822,7.310,0.000,1.115,0.000,0.000,0.000,0.746,0.000,45.097,0.000,7.674,0.349,0.000,0.000,0.000,6.562,14.832,0.000,10.493
Ov9433_rep8_Dep6_Tu5,0.000,0.000,0.000,0.014,0.603,0.000,5.618,0.000,0.000,0.000,1.742,0.000,55.710,0.000,1.628,2.347,0.931,1.169,0.315,0.000,0.000,29.922,0.000
Ov9433_rep2_Dep6_Tu5,0.000,0.000,0.000,0.000,2.021,0.000,5.739,0.000,0.000,0.000,0.753,0.000,56.063,0.000,2.436,30.881,0.000,0.000,0.000,1.961,0.145,0.000,0.000
Ov9433_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,2.109,0.000,11.665,0.000,0.000,0.000,2.113,0.000,58.537,0.000,24.062,0.920,0.000,0.000,0.000,0.000,0.593,0.000,0.000
Ov9433_rep5_Dep6_Tu5,0.000,0.000,0.000,0.000,3.011,0.000,4.232,0.000,0.000,0.000,1.558,0.000,53.618,0.000,1.503,2.080,0.000,0.000,0.224,0.000,0.777,32.996,0.000
Ov9433_rep8_Dep6_Tu30,0.000,0.000,1.676,9.885,2.435,0.000,0.240,0.000,0.000,0.000,0.465,0.000,38.217,0.189,26.167,0.530,4.587,0.000,0.304,0.000,0.000,0.000,15.303
Ov9433_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.352,0.000,3.467,0.000,0.000,0.000,3.952,0.000,54.708,0.000,0.133,16.317,21.069,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep1_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.897,0.000,4.113,0.000,0.000,0.000,4.904,0.000,55.844,0.000,4.759,0.427,0.700,0.000,4.480,0.000,23.875,0.000,0.000
Ov9433_rep2_Dep6_Tu10,0.000,0.000,0.000,2.015,16.111,0.000,2.945,0.000,0.000,0.000,0.978,0.000,51.995,0.000,0.000,4.555,0.000,0.000,0.022,18.041,3.338,0.000,0.000
Ov9433_rep4_Dep6_Tu20,0.000,0.000,0.208,8.671,22.812,0.000,6.800,0.000,0.000,0.000,1.147,0.000,48.342,3.791,3.586,1.624,0.000,0.000,3.019,0.000,0.000,0.000,0.000
