Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Ov9433_rep10_Dep6_Tu5,1.045,3.307,0.923,0.337,1.738,0.302,0.591,9.656,3.880,1.314,8.501,3.569,9.492,8.393,6.944,5.112,7.812,0.669,2.121,0.352,6.380,8.745,8.816
Ov9433_rep6_Dep6_Tu20,1.141,4.363,2.133,1.612,1.981,0.728,4.772,2.477,8.939,7.046,3.926,1.003,6.317,4.845,0.852,5.258,6.166,8.628,2.284,7.071,13.392,4.640,0.427
Ov9433_rep8_Dep6_Tu5,0.440,0.158,1.056,0.258,2.110,0.430,1.805,9.389,7.672,1.451,3.637,4.669,11.358,1.208,4.855,2.469,6.664,16.986,2.861,2.849,2.991,11.737,2.947
Ov9433_rep2_Dep6_Tu5,0.889,3.796,0.132,0.025,1.349,0.169,3.620,1.988,4.677,6.240,6.854,5.448,7.053,5.882,8.074,16.355,0.784,13.004,2.862,2.470,3.667,3.854,0.809
Ov9433_rep5_Dep6_Tu0.5,0.377,2.526,0.133,0.051,1.838,0.078,2.742,1.764,7.535,5.884,6.572,5.731,2.709,4.669,1.059,10.743,12.597,1.580,8.753,0.258,0.644,13.392,8.366
Ov9433_rep5_Dep6_Tu5,0.671,4.536,0.570,0.118,0.739,0.270,4.937,11.899,0.253,6.889,0.833,2.607,10.893,6.379,5.990,8.275,3.032,6.959,9.557,1.687,3.365,2.794,6.749
Ov9433_rep8_Dep6_Tu30,2.078,2.557,3.815,3.304,4.488,1.555,3.450,4.152,3.608,4.299,4.232,3.375,6.467,9.943,5.590,5.210,0.339,2.687,2.202,10.874,9.310,5.527,0.940
Ov9433_rep6_Dep6_Tu0.3,0.040,2.497,0.265,0.075,1.734,0.063,4.179,8.801,2.989,2.085,8.682,1.860,9.446,3.725,11.591,4.264,0.212,8.282,17.560,0.746,4.558,1.644,4.700
Ov9433_rep1_Dep6_Tu0.3,0.689,1.381,0.144,0.042,2.620,0.115,0.093,9.739,11.137,3.182,8.129,0.517,1.408,8.446,9.682,2.212,6.060,0.604,5.286,0.962,3.104,23.233,1.216
Ov9433_rep2_Dep6_Tu10,1.423,2.441,0.907,0.359,3.083,0.559,4.076,3.139,9.498,2.037,5.246,2.129,9.150,4.823,8.123,9.112,1.639,1.267,9.240,4.043,3.927,5.026,8.752
Ov9433_rep4_Dep6_Tu20,0.997,3.307,2.601,1.785,3.128,1.094,2.605,8.606,1.651,0.268,6.455,5.751,9.967,6.488,5.955,9.140,0.110,2.087,4.516,9.083,4.427,3.674,6.306
Ov9433_rep3_Dep6_Tu10,1.141,3.974,0.602,0.943,2.403,0.252,3.434,2.367,9.118,3.981,6.521,0.640,9.604,6.314,7.035,2.492,2.548,3.467,3.822,2.911,5.457,19.482,1.493
Ov9433_rep4_Dep6_Tu0.3,0.694,2.954,0.178,0.053,1.345,0.113,0.292,8.883,0.507,3.282,11.002,5.509,8.106,5.958,9.114,4.500,2.657,10.288,7.556,0.581,2.968,7.564,5.897
Ov9433_rep9_Dep6_Tu0.1,0.454,3.362,0.254,0.032,0.598,0.100,5.489,4.622,4.674,4.828,3.866,5.264,5.161,5.410,20.760,7.826,1.019,4.880,4.585,0.043,7.832,5.864,3.077
Ov9433_rep10_Dep6_Tu0.5,0.684,3.135,0.259,0.049,1.726,0.155,2.165,3.826,9.331,0.679,10.843,2.601,8.810,5.653,12.631,4.785,5.252,6.522,3.187,0.692,5.976,10.745,0.295
Ov9433_rep6_Dep6_Tu30,2.697,4.904,3.106,3.329,4.175,0.177,2.692,5.643,2.547,6.571,3.359,2.146,4.631,3.875,2.263,7.210,8.200,3.983,1.234,14.380,5.878,3.620,3.380
Ov9433_rep1_Dep6_Tu2,0.496,3.494,0.012,0.057,2.167,0.127,4.258,6.314,5.985,5.110,2.876,3.565,6.459,7.187,7.756,1.604,4.204,1.371,20.959,0.867,6.269,8.505,0.357
Ov9433_rep1_Dep6_Tu5,1.467,1.554,0.493,0.120,2.023,0.294,4.568,10.676,2.363,2.550,5.961,0.055,14.111,0.860,0.926,1.410,7.747,3.177,4.303,1.866,11.084,14.950,7.443
Ov9433_rep5_Dep6_Tu1,0.369,3.429,0.196,0.082,2.226,0.179,1.265,8.996,5.534,1.821,4.656,2.513,13.738,3.675,17.872,7.152,0.813,5.592,4.970,0.694,3.170,10.401,0.658
Ov9433_rep9_Dep6_Tu5,1.340,1.281,0.860,0.237,0.469,0.361,3.572,8.882,0.945,3.576,8.956,4.641,10.036,7.263,17.310,0.761,10.570,1.631,5.614,2.992,3.401,3.275,2.026
