Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Ov9433_rep10_Dep6_Tu5,5.029,8.682,0.195,59.018,0.676,0.350,17.741,1.210,1.284,4.700,0.055,0.297,0.765
Ov9433_rep6_Dep6_Tu20,2.883,12.096,0.271,47.531,5.501,0.000,12.991,1.494,3.457,3.817,4.285,0.090,5.585
Ov9433_rep8_Dep6_Tu5,6.178,6.854,0.096,62.314,7.136,0.547,7.804,0.934,6.145,0.000,1.104,0.822,0.065
Ov9433_rep2_Dep6_Tu5,2.650,0.878,0.121,60.826,14.680,0.220,18.796,0.344,0.788,0.000,0.341,0.314,0.043
Ov9433_rep5_Dep6_Tu0.5,4.667,0.187,0.234,58.281,0.954,0.472,29.137,1.626,0.119,3.556,0.000,0.734,0.032
Ov9433_rep5_Dep6_Tu5,6.156,3.593,0.061,58.701,6.872,1.300,5.826,0.884,9.426,6.558,0.085,0.539,0.000
Ov9433_rep8_Dep6_Tu30,2.508,1.471,4.254,39.903,8.168,0.000,20.969,1.087,0.150,1.414,11.893,0.595,7.589
Ov9433_rep6_Dep6_Tu0.3,9.728,0.072,0.472,55.928,11.128,0.228,18.080,1.754,1.528,0.000,0.000,1.083,0.000
Ov9433_rep1_Dep6_Tu0.3,10.292,2.065,0.120,53.549,0.242,0.446,16.844,4.329,2.802,7.977,0.000,1.334,0.000
Ov9433_rep2_Dep6_Tu10,4.840,0.834,3.843,51.894,4.001,0.367,25.720,1.443,0.335,2.946,0.237,0.482,3.058
Ov9433_rep4_Dep6_Tu20,3.841,7.113,0.559,46.112,13.537,0.000,6.000,0.999,2.887,9.112,3.387,4.663,1.790
Ov9433_rep3_Dep6_Tu10,6.735,8.844,0.518,55.344,1.290,1.043,14.348,2.330,0.775,5.160,0.471,1.497,1.644
Ov9433_rep4_Dep6_Tu0.3,5.385,0.475,0.045,61.934,1.356,0.000,24.916,1.959,1.450,2.014,0.000,0.466,0.000
Ov9433_rep9_Dep6_Tu0.1,8.062,4.447,0.065,60.123,4.891,0.108,10.600,1.051,10.115,0.000,0.000,0.537,0.000
Ov9433_rep10_Dep6_Tu0.5,6.687,1.468,0.059,61.479,3.986,0.384,21.450,2.678,1.124,0.000,0.000,0.685,0.000
Ov9433_rep6_Dep6_Tu30,4.986,2.648,3.716,41.956,12.736,4.089,2.696,0.355,2.086,9.627,14.479,0.226,0.399
Ov9433_rep1_Dep6_Tu2,4.229,1.033,0.192,57.390,1.356,0.000,33.902,0.602,0.781,0.000,0.000,0.516,0.000
Ov9433_rep1_Dep6_Tu5,4.079,11.461,0.121,58.167,0.636,0.416,18.269,1.332,2.876,2.455,0.013,0.176,0.000
Ov9433_rep5_Dep6_Tu1,10.370,1.728,0.530,63.830,2.515,0.676,17.230,1.407,1.526,0.000,0.000,0.187,0.000
Ov9433_rep9_Dep6_Tu5,10.961,1.113,1.808,60.113,3.887,1.121,15.447,1.260,1.802,2.194,0.072,0.220,0.000
Ov9433_rep9_Dep6_Tu0.3,6.353,0.394,0.477,55.920,1.712,0.244,31.937,1.703,0.318,0.000,0.000,0.941,0.000
Ov9433_rep4_Dep6_Tu10,5.940,0.625,2.712,52.974,4.780,0.026,23.382,1.007,0.344,7.483,0.177,0.227,0.324
Ov9433_rep1_Dep6_Tu3,9.345,7.665,0.310,54.245,0.445,0.486,16.261,3.161,0.852,5.240,0.014,1.976,0.000
Ov9433_rep4_Dep6_Tu50,3.183,7.128,2.722,30.773,18.751,0.322,1.414,0.911,0.315,4.381,24.215,0.352,5.532
Ov9433_rep9_Dep6_Tu30,5.766,0.342,4.378,40.125,17.741,0.682,7.513,0.682,0.000,6.210,12.368,3.058,1.135
Ov9433_rep4_Dep6_Tu2,7.106,0.131,0.116,57.846,10.162,0.094,18.611,1.125,3.750,0.319,0.000,0.739,0.000
Ov9433_rep7_Dep6_Tu3,7.329,2.803,0.048,59.110,6.262,0.110,6.416,0.846,9.763,6.894,0.020,0.399,0.000
Ov9433_rep8_Dep6_Tu1,6.480,0.090,0.017,60.878,10.503,0.159,18.446,1.025,1.904,0.000,0.000,0.498,0.000
Ov9433_rep2_Dep6_Tu30,4.480,2.283,5.257,37.860,10.897,0.206,13.767,1.083,0.000,4.582,5.010,0.999,13.573
Ov9433_rep7_Dep6_Tu1,6.407,0.315,0.081,59.294,1.279,0.017,30.105,1.308,0.676,0.000,0.000,0.518,0.000
Ov9433_rep6_Dep6_Tu3,5.625,9.081,0.022,58.708,0.466,0.213,17.783,1.171,2.664,3.946,0.027,0.294,0.000
Ov9433_rep8_Dep6_Tu0.3,6.356,0.458,0.456,55.927,1.727,0.226,31.913,1.688,0.301,0.000,0.000,0.949,0.000
Ov9433_rep5_Dep6_Tu3,4.855,0.317,0.505,57.026,2.517,0.605,24.953,0.635,0.029,7.794,0.001,0.763,0.000
Ov9433_rep4_Dep6_Tu0.1,7.270,9.925,0.080,60.324,0.174,1.110,17.612,1.957,0.323,0.000,0.000,1.199,0.026
Ov9433_rep2_Dep6_Tu40,3.475,9.819,6.143,37.636,15.695,0.392,2.627,0.566,0.464,0.882,21.242,0.468,0.591
Ov9433_rep2_Dep6_Tu20,4.355,14.991,0.771,49.209,4.730,0.386,11.284,0.846,0.858,3.488,3.813,0.657,4.612
Ov9433_rep10_Dep6_Tu3,7.148,0.887,0.016,59.642,6.242,0.208,20.423,1.825,2.042,1.003,0.011,0.488,0.064
Ov9433_rep4_Dep6_Tu3,5.071,0.458,0.201,59.663,12.886,0.118,18.953,0.743,1.652,0.000,0.000,0.254,0.000
Ov9433_rep2_Dep6_Tu3,10.034,0.917,1.311,56.362,2.850,0.433,22.710,1.301,0.659,2.813,0.006,0.603,0.000
Ov9433_rep3_Dep6_Tu50,2.427,7.875,3.529,29.794,14.654,0.061,1.285,0.391,0.000,8.324,16.598,0.042,15.020
Ov9433_rep6_Dep6_Tu2,7.610,2.428,0.167,61.461,7.315,0.957,7.276,3.414,3.462,4.796,0.000,1.115,0.000
Ov9433_rep1_Dep6_Tu30,3.254,2.396,6.696,39.333,9.785,0.000,13.192,1.121,0.328,5.432,6.680,0.786,10.997
Ov9433_rep9_Dep6_Tu40,2.840,0.715,3.319,37.518,18.621,0.020,5.706,0.644,0.261,5.351,18.071,1.874,5.060
Ov9433_rep8_Dep6_Tu0.1,6.840,5.860,0.035,59.143,6.851,2.165,10.458,2.218,4.864,0.000,0.000,1.567,0.000
Ov9433_rep7_Dep6_Tu0.5,3.389,11.529,0.000,59.937,0.204,0.006,19.871,1.380,3.542,0.000,0.000,0.141,0.000
Ov9433_rep7_Dep6_Tu0.1,5.145,0.203,0.078,61.019,1.452,0.563,30.324,0.641,0.272,0.000,0.000,0.303,0.000
Ov9433_rep9_Dep6_Tu2,5.506,0.166,0.608,57.806,1.657,0.353,25.423,1.052,0.233,6.548,0.000,0.650,0.000
Ov9433_rep3_Dep6_Tu2,9.567,3.634,0.177,53.127,0.392,0.000,16.501,3.895,3.661,7.698,0.000,1.347,0.000
Ov9433_rep4_Dep6_Tu40,2.923,1.901,4.385,34.114,15.059,0.000,4.115,1.035,0.230,12.854,6.705,0.363,16.315
Ov9433_rep9_Dep6_Tu10,8.123,0.116,1.106,54.559,12.623,1.022,15.423,0.740,0.017,0.000,2.946,3.313,0.011
Ov9433_rep9_Dep6_Tu50,1.149,0.912,4.298,28.651,17.157,0.000,1.938,0.273,0.000,13.718,13.535,0.235,18.133
Ov9433_rep2_Dep6_Tu1,9.880,1.310,0.164,59.328,2.344,0.275,23.771,1.092,1.262,0.000,0.000,0.573,0.000
Ov9433_rep8_Dep6_Tu3,3.183,0.782,0.020,60.790,14.611,0.093,18.768,0.351,1.138,0.000,0.000,0.265,0.000
Ov9433_rep3_Dep6_Tu40,2.765,0.501,6.803,36.777,18.764,1.213,4.166,0.410,0.000,6.544,15.926,2.549,3.582
Ov9433_rep6_Dep6_Tu40,3.972,1.957,9.950,33.896,13.410,0.000,5.287,0.313,0.442,9.755,8.913,0.191,11.915
Ov9433_rep6_Dep6_Tu50,3.017,3.490,5.058,30.860,20.029,0.462,0.996,0.847,0.285,13.750,19.145,0.000,2.060
Ov9433_rep5_Dep6_Tu2,7.923,2.026,0.229,59.963,7.634,0.444,5.042,2.651,5.447,7.786,0.000,0.855,0.000
Ov9433_rep9_Dep6_Tu3,7.780,0.330,0.340,56.325,12.778,0.593,17.845,1.397,0.850,0.000,0.000,1.762,0.000
Ov9433_rep10_Dep6_Tu40,3.050,10.580,0.606,36.716,17.032,0.000,5.420,0.509,2.385,0.000,22.356,0.357,0.988
Ov9433_rep1_Dep6_Tu50,2.538,1.100,5.068,29.635,20.098,0.423,3.260,0.958,0.056,6.291,22.536,0.328,7.710
Ov9433_rep6_Dep6_Tu5,4.956,10.978,0.198,57.827,0.649,0.000,16.793,0.893,2.393,3.320,0.011,0.143,1.838
Ov9433_rep2_Dep6_Tu2,5.675,7.769,0.052,59.162,0.551,0.000,17.302,0.932,2.481,5.748,0.000,0.231,0.096
Ov9433_rep9_Dep6_Tu0.5,5.385,0.090,0.172,56.768,1.559,0.507,25.660,0.772,0.383,8.252,0.000,0.453,0.000
Ov9433_rep3_Dep6_Tu5,3.398,0.903,0.255,59.812,4.562,0.150,20.886,2.034,0.736,6.564,0.057,0.643,0.000
Ov9433_rep4_Dep6_Tu1,6.336,3.333,0.006,60.471,4.513,0.000,8.343,0.914,11.862,3.834,0.000,0.386,0.000
Ov9433_rep3_Dep6_Tu1,8.101,0.002,0.169,58.283,10.373,0.028,17.289,1.228,1.010,0.318,0.000,3.197,0.000
Ov9433_rep1_Dep6_Tu0.5,6.235,12.535,0.061,59.615,0.196,0.265,18.443,0.971,1.052,0.000,0.000,0.627,0.000
Ov9433_rep5_Dep6_Tu0.1,4.909,0.423,0.315,57.682,0.769,0.276,33.919,0.945,0.384,0.000,0.000,0.378,0.000
Ov9433_rep7_Dep6_Tu0.3,4.774,0.528,0.694,61.155,1.143,0.024,29.997,0.808,0.602,0.000,0.000,0.274,0.000
Ov9433_rep1_Dep6_Tu40,1.956,1.687,1.667,37.161,20.729,0.324,6.831,0.472,0.761,2.025,16.481,0.168,9.738
Ov9433_rep8_Dep6_Tu2,8.939,0.065,0.436,56.469,10.641,0.449,16.501,1.001,0.426,0.469,0.051,4.555,0.000
Ov9433_rep2_Dep6_Tu0.3,2.956,0.490,0.093,61.351,14.044,0.277,19.244,0.401,0.822,0.000,0.000,0.320,0.000
Ov9433_rep7_Dep6_Tu20,3.876,0.391,2.082,45.240,8.746,0.676,15.215,1.063,0.160,12.216,0.876,0.423,9.035
Ov9433_rep6_Dep6_Tu0.5,6.668,6.368,0.099,57.154,4.841,0.015,10.681,1.055,12.492,0.000,0.000,0.627,0.000
Ov9433_rep8_Dep6_Tu40,3.243,1.182,5.931,32.790,14.826,0.245,3.933,0.711,0.000,13.972,6.871,0.341,15.956
Ov9433_rep10_Dep6_Tu30,4.422,13.266,1.001,40.050,12.714,0.000,5.624,0.672,0.852,6.106,7.555,0.261,7.477
Ov9433_rep7_Dep6_Tu50,1.909,8.266,4.962,28.383,14.178,0.232,1.671,1.003,0.000,7.451,17.673,0.052,14.219
Ov9433_rep1_Dep6_Tu1,7.058,6.208,0.040,56.919,4.512,0.246,10.703,1.204,12.131,0.000,0.000,0.979,0.000
Ov9433_rep2_Dep6_Tu0.5,6.220,1.240,0.087,57.171,1.802,0.182,30.871,1.339,0.259,0.000,0.000,0.829,0.000
Ov9433_rep1_Dep6_Tu10,5.605,3.773,0.119,55.795,7.136,0.203,6.037,0.790,12.260,6.416,1.665,0.181,0.020
Ov9433_rep5_Dep6_Tu0.3,9.161,0.580,0.142,60.376,2.797,0.805,8.574,1.064,9.319,6.833,0.000,0.350,0.000
Ov9433_rep7_Dep6_Tu40,4.671,0.772,3.577,33.981,21.127,0.125,4.441,0.774,0.000,7.733,16.449,1.930,4.419
Ov9433_rep8_Dep6_Tu50,3.174,3.796,4.624,32.359,17.686,0.278,1.186,0.559,0.000,9.900,24.588,0.300,1.551
Ov9433_rep5_Dep6_Tu50,2.495,4.463,6.265,27.217,16.516,0.000,3.442,0.656,0.000,4.715,15.450,0.376,18.404
Ov9433_rep4_Dep6_Tu5,8.692,1.883,0.356,57.789,5.734,2.115,7.015,0.891,7.799,6.788,0.197,0.742,0.000
Ov9433_rep3_Dep6_Tu3,4.336,3.164,0.460,58.729,3.192,0.338,23.675,2.059,1.218,1.147,0.000,1.681,0.000
Ov9433_rep8_Dep6_Tu0.5,5.001,15.110,0.016,59.265,0.252,0.136,17.914,0.616,1.061,0.000,0.000,0.630,0.000
Ov9433_rep9_Dep6_Tu20,5.883,15.450,0.580,47.304,6.420,0.039,11.101,0.553,0.651,4.118,2.930,0.853,4.118
Ov9433_rep10_Dep6_Tu0.3,6.577,0.843,0.130,60.213,2.482,0.302,25.134,0.986,2.148,0.000,0.000,1.185,0.000
Ov9433_rep5_Dep6_Tu40,2.405,5.282,3.005,37.064,15.608,0.065,2.227,1.410,0.600,7.267,16.363,2.347,6.357
Ov9433_rep2_Dep6_Tu50,1.917,0.956,5.214,28.228,16.802,0.000,1.715,0.392,0.000,13.251,12.181,0.091,19.254
Ov9433_rep1_Dep6_Tu20,6.040,3.863,2.261,48.349,13.487,0.327,2.074,2.861,4.429,11.966,3.216,1.004,0.122
Ov9433_rep3_Dep6_Tu0.1,7.540,0.075,0.115,58.000,10.918,1.010,17.649,1.071,0.392,0.000,0.000,3.229,0.000
Ov9433_rep5_Dep6_Tu20,5.266,9.045,1.341,47.643,11.246,0.194,6.057,1.541,4.305,0.240,12.117,0.941,0.065
Ov9433_rep3_Dep6_Tu30,3.601,1.258,8.280,40.201,10.172,0.000,10.796,0.931,0.831,9.523,5.507,0.306,8.592
Ov9433_rep6_Dep6_Tu0.1,5.523,7.397,0.003,59.196,0.149,0.000,18.718,1.272,2.863,4.575,0.000,0.304,0.000
Ov9433_rep5_Dep6_Tu30,4.142,9.834,0.420,41.500,8.582,0.098,5.946,1.800,0.422,5.683,9.599,0.334,11.641
Ov9433_rep3_Dep6_Tu0.3,4.996,15.107,0.021,59.267,0.241,0.143,17.914,0.615,1.049,0.000,0.000,0.647,0.000
Ov9433_rep9_Dep6_Tu1,5.715,0.560,0.156,56.840,1.229,0.000,33.750,0.617,0.802,0.000,0.000,0.330,0.000
Ov9433_rep6_Dep6_Tu1,6.288,1.459,0.275,62.996,1.886,0.320,24.382,1.638,0.435,0.000,0.000,0.321,0.000
Ov9433_rep10_Dep6_Tu1,3.087,0.597,0.010,60.984,14.395,0.000,18.970,0.410,1.260,0.000,0.000,0.287,0.000
Ov9433_rep7_Dep6_Tu5,7.630,6.111,0.632,56.158,0.764,1.278,15.718,2.709,0.486,6.642,0.066,1.672,0.136
Ov9433_rep3_Dep6_Tu0.5,9.771,0.073,0.521,55.906,11.085,0.270,18.080,1.752,1.554,0.000,0.000,0.987,0.000
Ov9433_rep4_Dep6_Tu30,3.601,5.292,0.782,37.947,13.217,0.000,11.484,1.034,0.388,4.634,4.728,1.000,15.891
Ov9433_rep4_Dep6_Tu0.5,6.770,2.750,0.057,63.000,3.318,0.318,10.481,1.822,9.586,1.487,0.000,0.410,0.000
Ov9433_rep3_Dep6_Tu20,6.159,0.687,5.466,44.267,7.243,0.175,20.521,1.957,0.177,2.703,2.329,0.469,7.847
Ov9433_rep6_Dep6_Tu10,5.557,0.705,0.503,56.301,13.154,0.000,17.327,1.491,2.346,0.675,0.810,1.130,0.000
Ov9433_rep5_Dep6_Tu10,7.995,0.258,2.945,54.163,13.434,0.702,15.701,0.915,0.281,0.601,2.106,0.817,0.081
Ov9433_rep8_Dep6_Tu10,6.345,9.242,0.062,54.991,9.935,1.477,8.774,0.903,3.757,0.000,3.420,1.050,0.044
Ov9433_rep7_Dep6_Tu2,4.945,10.845,0.167,59.402,0.308,0.000,17.827,0.929,2.216,3.216,0.000,0.139,0.005
Ov9433_rep10_Dep6_Tu2,5.901,4.535,0.298,62.844,1.952,0.373,20.099,1.596,1.568,0.000,0.005,0.831,0.000
Ov9433_rep7_Dep6_Tu30,2.697,0.777,5.400,40.086,11.024,0.632,9.399,1.090,0.000,12.597,4.099,0.559,11.640
Ov9433_rep1_Dep6_Tu0.1,5.133,0.409,0.354,57.507,1.133,0.241,32.878,1.530,0.295,0.000,0.000,0.520,0.000
