Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1
Ov9433_rep10_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.519,0.000,0.000,0.000,44.532,54.948,0.000,0.000
Ov9433_rep6_Dep6_Tu20,0.000,0.000,0.000,0.000,0.000,0.000,0.453,0.000,0.000,0.000,38.252,43.980,8.752,8.563
Ov9433_rep8_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.638,0.000,0.000,0.000,36.479,62.882,0.000,0.000
Ov9433_rep2_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.297,0.000,0.000,0.000,35.043,64.660,0.000,0.000
Ov9433_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.923,0.000,0.000,0.000,43.438,55.638,0.000,0.000
Ov9433_rep5_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.685,0.000,0.000,0.000,37.144,62.170,0.000,0.000
Ov9433_rep8_Dep6_Tu30,0.000,0.000,1.166,0.000,0.000,0.000,0.197,0.000,0.000,0.000,33.058,36.540,19.236,9.804
Ov9433_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,3.440,0.000,0.000,0.000,35.243,61.317,0.000,0.000
Ov9433_rep1_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,2.660,0.000,0.000,0.000,44.272,53.067,0.000,0.000
Ov9433_rep2_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,0.810,0.000,0.000,0.000,45.321,53.869,0.000,0.000
Ov9433_rep4_Dep6_Tu20,0.000,0.000,0.000,0.000,0.000,0.000,0.321,0.000,0.000,0.000,32.872,45.617,10.124,11.065
Ov9433_rep3_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,1.123,0.000,0.000,0.000,45.434,53.443,0.000,0.000
Ov9433_rep4_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,1.029,0.000,0.000,0.000,40.620,58.350,0.000,0.000
Ov9433_rep9_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,1.275,0.000,0.000,0.000,36.557,62.166,0.000,0.000
Ov9433_rep10_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,1.081,0.000,0.000,0.000,39.522,59.396,0.000,0.000
Ov9433_rep6_Dep6_Tu30,0.000,0.000,1.542,0.000,0.000,0.000,0.730,0.000,0.000,0.000,29.593,39.264,7.187,21.684
Ov9433_rep1_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.550,0.000,0.000,0.000,44.885,54.564,0.000,0.000
Ov9433_rep1_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.692,0.000,0.000,0.000,44.473,54.834,0.000,0.000
Ov9433_rep5_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,1.677,0.000,0.000,0.000,38.362,59.961,0.000,0.000
Ov9433_rep9_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,1.307,0.000,0.000,0.000,38.894,59.797,0.000,0.000
Ov9433_rep9_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,2.345,0.000,0.000,0.000,43.151,54.503,0.000,0.000
Ov9433_rep4_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,1.091,0.000,0.000,0.000,44.359,54.549,0.000,0.000
Ov9433_rep1_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,1.602,0.000,0.000,0.000,44.858,53.539,0.000,0.000
Ov9433_rep4_Dep6_Tu50,0.516,0.000,2.809,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.351,25.698,23.340,26.285
Ov9433_rep9_Dep6_Tu30,0.000,0.000,0.252,0.000,0.000,0.000,0.538,0.000,0.000,0.000,25.021,39.408,22.290,12.490
Ov9433_rep4_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.883,0.000,0.000,0.000,36.043,63.073,0.000,0.000
Ov9433_rep7_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.886,0.000,0.000,0.000,36.754,62.359,0.000,0.000
Ov9433_rep8_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,1.015,0.000,0.000,0.000,35.547,63.436,0.000,0.000
Ov9433_rep2_Dep6_Tu30,0.000,0.000,0.281,0.000,0.000,0.000,0.840,0.000,0.000,0.000,29.234,35.691,26.522,7.432
Ov9433_rep7_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,1.572,0.000,0.000,0.000,42.815,55.613,0.000,0.000
Ov9433_rep6_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.836,0.000,0.000,0.000,43.679,55.485,0.000,0.000
Ov9433_rep8_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,2.423,0.000,0.000,0.000,43.114,54.462,0.000,0.000
Ov9433_rep5_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.788,0.000,0.000,0.000,43.584,55.627,0.000,0.000
Ov9433_rep4_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,1.689,0.000,0.000,0.000,44.298,54.012,0.000,0.000
Ov9433_rep2_Dep6_Tu40,0.000,0.000,4.586,0.000,0.000,0.000,0.245,0.000,0.000,0.000,25.721,32.910,12.081,24.456
Ov9433_rep2_Dep6_Tu20,0.000,0.000,0.000,0.000,0.000,0.000,0.761,0.000,0.000,0.000,40.267,42.666,5.697,10.608
Ov9433_rep10_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,1.042,0.000,0.000,0.000,39.293,59.664,0.000,0.000
Ov9433_rep4_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.691,0.000,0.000,0.000,35.209,64.099,0.000,0.000
Ov9433_rep2_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,1.444,0.000,0.000,0.000,41.859,56.696,0.000,0.000
Ov9433_rep3_Dep6_Tu50,1.201,0.900,2.753,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.958,24.622,28.034,20.532
Ov9433_rep6_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,1.444,0.000,0.000,0.000,35.864,62.691,0.000,0.000
Ov9433_rep1_Dep6_Tu30,0.000,0.000,0.288,0.000,0.000,0.000,0.068,0.000,0.000,0.000,31.934,35.563,21.364,10.782
Ov9433_rep9_Dep6_Tu40,0.000,0.000,0.460,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.159,33.479,23.496,19.406
Ov9433_rep8_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,1.568,0.000,0.000,0.000,36.173,62.259,0.000,0.000
Ov9433_rep7_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.602,0.000,0.000,0.000,44.080,55.318,0.000,0.000
Ov9433_rep7_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.892,0.000,0.000,0.000,43.588,55.519,0.000,0.000
Ov9433_rep9_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.883,0.000,0.000,0.000,43.364,55.751,0.000,0.000
Ov9433_rep3_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,2.028,0.000,0.000,0.000,44.534,53.438,0.000,0.000
Ov9433_rep4_Dep6_Tu40,0.000,0.000,1.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.657,30.492,31.518,11.083
Ov9433_rep9_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,1.528,0.000,0.000,0.000,35.151,57.716,0.000,5.605
Ov9433_rep9_Dep6_Tu50,0.562,0.000,0.709,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.245,23.917,34.087,19.480
Ov9433_rep2_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,3.482,0.000,0.000,0.000,39.734,56.783,0.000,0.000
Ov9433_rep8_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.584,0.000,0.000,0.000,34.766,64.649,0.000,0.000
Ov9433_rep3_Dep6_Tu40,0.110,0.000,0.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.835,32.849,22.067,20.694
Ov9433_rep6_Dep6_Tu40,0.000,0.000,3.625,0.000,0.000,0.000,0.293,0.000,0.000,0.000,25.510,30.071,27.810,12.690
Ov9433_rep6_Dep6_Tu50,0.094,0.000,2.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.647,26.906,24.411,25.919
Ov9433_rep5_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,1.249,0.000,0.000,0.000,35.619,63.131,0.000,0.000
Ov9433_rep9_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,1.748,0.000,0.000,0.000,35.774,62.478,0.000,0.000
Ov9433_rep10_Dep6_Tu40,0.002,0.000,1.863,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.918,33.498,17.519,21.199
Ov9433_rep1_Dep6_Tu50,0.124,0.000,0.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.704,25.072,26.677,25.775
Ov9433_rep6_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.663,0.000,0.000,0.000,44.726,54.610,0.000,0.000
Ov9433_rep2_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.802,0.000,0.000,0.000,44.071,55.126,0.000,0.000
Ov9433_rep9_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,1.257,0.000,0.000,0.000,43.691,55.051,0.000,0.000
Ov9433_rep3_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,0.304,0.000,0.000,0.000,41.500,58.195,0.000,0.000
Ov9433_rep4_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.973,0.000,0.000,0.000,36.563,62.463,0.000,0.000
Ov9433_rep3_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,1.772,0.000,0.000,0.000,36.115,62.112,0.000,0.000
Ov9433_rep1_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,1.324,0.000,0.000,0.000,44.183,54.492,0.000,0.000
Ov9433_rep5_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.948,0.000,0.000,0.000,44.474,54.578,0.000,0.000
Ov9433_rep7_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.723,0.000,0.000,0.000,43.631,55.646,0.000,0.000
Ov9433_rep1_Dep6_Tu40,0.046,0.000,0.317,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.241,33.600,24.288,19.507
Ov9433_rep8_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,1.800,0.000,0.000,0.000,36.087,62.112,0.000,0.000
Ov9433_rep2_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,0.388,0.000,0.000,0.000,35.018,64.593,0.000,0.000
Ov9433_rep7_Dep6_Tu20,0.000,0.000,0.000,0.000,0.000,0.000,0.573,0.000,0.000,0.000,33.928,42.420,18.793,4.285
Ov9433_rep6_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,1.249,0.000,0.000,0.000,36.560,62.190,0.000,0.000
Ov9433_rep8_Dep6_Tu40,0.140,0.000,0.839,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.647,29.642,30.522,13.209
Ov9433_rep10_Dep6_Tu30,0.000,0.000,0.068,0.000,0.000,0.000,0.358,0.000,0.000,0.000,31.555,36.607,18.925,12.487
Ov9433_rep7_Dep6_Tu50,0.179,0.071,5.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.991,23.345,28.631,20.607
Ov9433_rep1_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,1.755,0.000,0.000,0.000,36.349,61.895,0.000,0.000
Ov9433_rep2_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,1.776,0.000,0.000,0.000,43.354,54.869,0.000,0.000
Ov9433_rep1_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,0.733,0.000,0.000,0.000,34.786,55.063,0.000,9.417
Ov9433_rep5_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,1.758,0.000,0.000,0.000,36.492,61.748,0.000,0.000
Ov9433_rep7_Dep6_Tu40,0.013,0.000,0.242,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.271,32.114,27.897,17.463
Ov9433_rep8_Dep6_Tu50,0.454,0.000,2.819,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.988,26.801,17.649,29.289
Ov9433_rep5_Dep6_Tu50,0.282,0.284,2.872,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.836,23.597,35.401,16.729
Ov9433_rep4_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,1.034,0.000,0.000,0.000,36.929,62.036,0.000,0.000
Ov9433_rep3_Dep6_Tu3,0.000,0.000,0.000,0.000,0.000,0.000,0.536,0.000,0.000,0.000,42.503,56.961,0.000,0.000
Ov9433_rep8_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,1.472,0.000,0.000,0.000,44.684,53.844,0.000,0.000
Ov9433_rep9_Dep6_Tu20,0.000,0.000,0.000,0.000,0.000,0.000,0.878,0.000,0.000,0.000,40.546,42.603,6.834,9.138
Ov9433_rep10_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,1.482,0.000,0.000,0.000,40.793,57.724,0.000,0.000
Ov9433_rep5_Dep6_Tu40,0.022,0.000,0.940,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.849,32.492,19.401,21.296
Ov9433_rep2_Dep6_Tu50,0.344,0.048,1.924,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.494,23.873,35.941,17.374
Ov9433_rep1_Dep6_Tu20,0.000,0.000,0.017,0.000,0.000,0.000,0.542,0.000,0.000,0.000,30.052,48.103,8.460,12.826
Ov9433_rep3_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,1.579,0.000,0.000,0.000,35.668,62.752,0.000,0.000
Ov9433_rep5_Dep6_Tu20,0.000,0.000,0.000,0.000,0.000,0.000,0.754,0.000,0.000,0.000,32.942,46.563,3.059,16.681
Ov9433_rep3_Dep6_Tu30,0.000,0.000,0.563,0.000,0.000,0.000,0.313,0.000,0.000,0.000,30.690,36.400,22.456,9.579
Ov9433_rep6_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,1.048,0.000,0.000,0.000,43.808,55.143,0.000,0.000
Ov9433_rep5_Dep6_Tu30,0.109,0.000,0.123,0.000,0.000,0.000,0.598,0.000,0.000,0.000,32.241,36.118,17.344,13.467
Ov9433_rep3_Dep6_Tu0.3,0.000,0.000,0.000,0.000,0.000,0.000,1.519,0.000,0.000,0.000,44.648,53.833,0.000,0.000
Ov9433_rep9_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.986,0.000,0.000,0.000,44.551,54.463,0.000,0.000
Ov9433_rep6_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,1.228,0.000,0.000,0.000,40.835,57.937,0.000,0.000
Ov9433_rep10_Dep6_Tu1,0.000,0.000,0.000,0.000,0.000,0.000,0.553,0.000,0.000,0.000,34.775,64.672,0.000,0.000
Ov9433_rep7_Dep6_Tu5,0.000,0.000,0.000,0.000,0.000,0.000,1.006,0.000,0.000,0.000,44.808,54.185,0.000,0.000
Ov9433_rep3_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,3.462,0.000,0.000,0.000,35.240,61.297,0.000,0.000
Ov9433_rep4_Dep6_Tu30,0.000,0.000,0.051,0.000,0.000,0.000,0.454,0.000,0.000,0.000,28.902,36.353,28.033,6.208
Ov9433_rep4_Dep6_Tu0.5,0.000,0.000,0.000,0.000,0.000,0.000,0.894,0.000,0.000,0.000,36.286,62.819,0.000,0.000
Ov9433_rep3_Dep6_Tu20,0.000,0.000,0.699,0.000,0.000,0.000,1.435,0.000,0.000,0.000,33.565,42.352,18.132,3.816
Ov9433_rep6_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,0.709,0.000,0.000,0.000,36.891,62.400,0.000,0.000
Ov9433_rep5_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,1.633,0.000,0.000,0.000,33.172,55.078,4.632,5.485
Ov9433_rep8_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,1.176,0.000,0.000,0.000,35.081,55.381,0.000,8.361
Ov9433_rep7_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.774,0.000,0.000,0.000,44.419,54.806,0.000,0.000
Ov9433_rep10_Dep6_Tu2,0.000,0.000,0.000,0.000,0.000,0.000,0.932,0.000,0.000,0.000,40.688,58.380,0.000,0.000
Ov9433_rep7_Dep6_Tu30,0.000,0.000,0.151,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.174,36.579,23.024,10.071
Ov9433_rep1_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,1.395,0.000,0.000,0.000,43.384,55.220,0.000,0.000
Ov9433_rep8_Dep6_Tu20,0.000,0.000,0.000,0.000,0.000,0.000,0.560,0.000,0.000,0.000,29.163,47.782,14.591,7.903
Ov9433_rep10_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,1.147,0.000,0.000,0.000,42.127,56.726,0.000,0.000
Ov9433_rep7_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,0.741,0.000,0.000,0.000,44.856,54.402,0.000,0.000
Ov9433_rep10_Dep6_Tu50,0.269,0.392,4.243,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.200,24.338,28.170,20.388
Ov9433_rep2_Dep6_Tu0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.772,0.000,0.000,0.000,35.608,63.619,0.000,0.000
Ov9433_rep10_Dep6_Tu10,0.000,0.000,0.000,0.000,0.000,0.000,0.700,0.000,0.000,0.000,43.414,55.885,0.000,0.000
