Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Ov9433_rep10_Dep6_Tu5,2.159,2.431,5.502,5.569,1.558,6.919,4.391,5.089,3.279,2.278,3.475,1.058,1.470,1.379,2.561,2.787,1.593,0.545,0.617,2.557,0.315,1.189,1.097,0.178,0.335,0.178,0.148,0.059,0.019,0.000,0.002,0.091,0.198,1.247,1.032,0.793,0.158,0.219,0.542,0.746,0.078,2.356,1.529,4.133,0.775,5.333,3.839,6.728,7.232,2.230
Ov9433_rep6_Dep6_Tu20,2.623,2.159,4.791,4.763,0.184,3.402,3.627,3.502,6.077,3.299,0.120,3.759,0.289,0.542,1.656,2.170,1.429,3.109,0.177,0.370,0.825,0.974,2.464,0.374,0.365,0.843,0.749,0.278,0.654,0.056,0.022,0.391,0.397,1.461,2.097,0.343,0.926,0.749,1.641,0.798,3.660,0.899,8.587,4.726,0.649,0.081,3.591,9.523,1.978,1.851
Ov9433_rep8_Dep6_Tu5,1.278,2.791,1.837,6.453,6.034,2.665,7.658,6.296,5.590,0.009,2.319,3.513,1.014,1.343,1.197,0.162,2.750,1.211,1.627,2.463,1.203,1.352,0.262,0.094,0.218,0.383,0.376,0.004,0.064,0.003,0.020,0.085,0.302,1.889,1.886,0.349,0.143,0.318,0.664,0.064,3.197,0.681,2.004,0.617,0.587,0.260,7.041,5.251,8.409,4.064
Ov9433_rep2_Dep6_Tu5,1.855,2.200,7.502,6.324,2.445,7.680,3.219,1.672,8.108,3.598,1.630,3.177,1.845,0.037,0.355,1.048,0.460,1.114,2.188,2.775,1.000,0.028,1.016,0.078,0.484,0.206,0.374,0.020,0.016,0.001,0.014,0.050,0.624,2.234,1.453,0.412,0.189,0.192,0.682,0.189,7.481,5.079,0.544,2.696,2.195,1.820,4.856,0.916,5.578,0.341
Ov9433_rep5_Dep6_Tu0.5,0.217,2.259,5.700,8.311,3.723,3.047,3.908,1.780,7.804,5.251,2.542,1.921,1.231,1.676,2.963,1.595,2.062,0.838,1.197,0.310,0.249,0.945,1.455,0.015,0.278,0.129,0.161,0.011,0.002,0.000,0.005,0.020,0.593,0.805,1.471,0.416,0.020,0.082,0.135,0.307,4.313,1.635,0.085,2.843,0.884,6.328,0.357,4.681,7.410,6.031
Ov9433_rep5_Dep6_Tu5,2.048,1.723,5.470,4.617,2.773,6.275,8.138,6.810,0.933,3.730,2.518,1.134,0.666,1.573,1.368,2.315,1.360,1.505,1.816,1.311,0.672,0.743,1.256,0.009,0.242,0.384,0.314,0.059,0.019,0.000,0.028,0.111,0.424,1.969,0.858,0.821,0.069,0.473,0.396,0.524,4.598,4.567,0.232,4.415,2.259,3.215,0.255,6.471,4.945,1.586
Ov9433_rep8_Dep6_Tu30,2.085,0.520,4.578,0.600,1.205,0.625,4.704,2.126,3.410,2.562,1.082,3.055,1.273,1.128,1.364,1.109,0.854,2.349,1.467,2.269,0.413,0.533,1.311,0.087,0.708,1.519,0.776,0.685,1.452,0.939,0.188,0.389,0.770,1.365,2.374,0.087,1.173,1.595,1.779,1.792,6.196,1.902,8.387,0.902,6.654,5.433,1.727,1.203,0.181,9.113
Ov9433_rep6_Dep6_Tu0.3,0.233,0.907,4.145,0.300,6.741,8.299,0.957,3.740,9.022,1.287,5.505,1.804,1.268,0.787,2.486,0.713,3.188,2.623,1.469,2.553,0.826,0.923,1.379,0.013,0.308,0.009,0.174,0.001,0.001,0.000,0.001,0.019,0.617,1.522,0.674,0.230,0.057,0.063,0.432,0.259,8.021,0.769,0.041,4.786,0.621,3.542,5.865,4.733,2.567,3.519
Ov9433_rep1_Dep6_Tu0.3,0.213,0.002,1.585,6.395,6.803,6.167,2.818,7.608,4.317,3.839,1.938,4.394,1.523,0.820,1.011,2.195,3.612,0.653,1.814,1.526,0.186,1.030,1.507,0.031,0.253,0.276,0.222,0.019,0.005,0.000,0.004,0.038,0.771,1.092,1.396,0.078,0.031,0.211,0.313,0.143,0.333,3.625,0.023,3.494,0.785,1.668,0.186,6.428,8.992,7.629
Ov9433_rep2_Dep6_Tu10,0.484,1.851,7.686,6.838,0.836,2.496,5.821,0.818,2.606,2.124,3.529,2.722,0.341,0.422,1.961,2.650,1.732,1.152,1.931,2.225,1.175,1.580,0.174,0.286,0.618,0.314,0.420,0.116,0.086,0.020,0.039,0.123,1.354,1.809,0.700,0.641,0.352,0.665,0.405,0.522,1.707,9.811,0.397,7.290,4.570,1.875,1.717,0.829,4.073,6.104
