Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Ov9433_rep10_Dep6_Tu5,0.111,0.267,8.781,6.980,4.272,5.190,6.552,10.264,6.739,0.624,3.229,3.133,0.890,1.220,2.573,0.766,1.337,1.214,1.034,1.951,1.152,0.781,0.152,0.108,0.463,0.394,0.121,0.065,0.123,0.107,0.060,0.094,4.600,3.436,0.613,1.168,1.869,4.353,1.824,11.389
Ov9433_rep6_Dep6_Tu20,2.423,0.091,6.516,7.232,4.548,7.928,8.213,2.462,0.746,3.609,3.871,1.889,1.252,1.653,0.612,2.129,1.996,0.941,0.463,1.097,0.282,0.473,0.765,0.315,0.380,0.561,0.321,0.354,1.053,0.738,0.381,0.328,4.810,0.465,0.268,12.467,3.536,0.745,3.199,8.888
Ov9433_rep8_Dep6_Tu5,1.535,1.572,5.349,0.970,0.923,14.880,11.786,0.438,9.097,5.492,0.070,6.399,0.867,1.519,0.157,2.066,0.041,2.331,1.844,1.632,0.090,0.781,1.118,0.247,0.259,0.242,0.022,0.095,0.201,0.003,0.050,0.082,6.732,4.104,1.741,0.472,3.041,2.689,1.660,7.404
Ov9433_rep2_Dep6_Tu5,1.190,1.462,5.625,8.131,4.971,8.610,4.349,7.652,9.042,2.616,0.813,2.099,1.122,1.200,1.869,1.956,0.445,0.862,0.422,0.701,0.868,0.595,0.165,0.085,0.196,0.213,0.016,0.170,0.219,0.037,0.049,0.089,0.188,3.464,1.554,2.605,2.082,0.676,5.818,15.773
Ov9433_rep5_Dep6_Tu0.5,2.725,0.443,5.223,6.222,0.297,9.676,12.313,16.661,2.284,3.778,3.308,0.241,1.536,1.466,0.468,0.121,0.370,2.920,0.516,0.304,0.259,1.474,0.501,0.145,0.449,0.174,0.146,0.054,0.067,0.020,0.022,0.006,4.239,1.179,1.633,5.335,0.994,1.240,3.366,7.823
Ov9433_rep5_Dep6_Tu5,1.465,1.203,7.747,4.552,10.587,4.667,10.760,6.388,1.657,1.872,4.529,3.541,1.212,1.115,0.688,0.287,1.798,0.681,1.840,2.079,0.800,0.986,0.655,0.163,0.190,0.006,0.242,0.094,0.008,0.000,0.062,0.094,4.330,1.842,2.440,5.298,1.203,3.398,4.666,4.854
Ov9433_rep8_Dep6_Tu30,1.793,0.814,5.490,5.007,1.417,0.506,7.854,6.309,4.014,1.855,3.188,1.263,1.752,0.374,1.827,1.772,0.619,1.112,0.548,1.460,0.511,0.664,1.518,0.848,1.179,0.208,0.022,0.588,1.626,1.562,0.469,0.529,7.408,3.808,3.208,11.796,8.930,0.149,5.346,0.654
Ov9433_rep6_Dep6_Tu0.3,2.115,0.416,6.683,6.655,5.861,8.571,13.194,5.261,7.263,2.289,0.377,4.203,0.774,1.555,1.897,0.484,1.238,2.827,1.697,0.261,0.137,1.282,0.632,0.148,0.560,0.104,0.148,0.042,0.020,0.036,0.066,0.043,4.413,0.091,1.031,5.048,0.100,4.918,1.674,5.886
Ov9433_rep1_Dep6_Tu0.3,1.373,1.206,9.383,6.143,6.281,0.058,11.744,8.533,4.791,4.625,1.688,5.534,0.208,1.154,3.419,0.594,0.509,2.223,1.929,0.821,0.387,0.926,1.257,0.110,0.295,0.148,0.167,0.019,0.021,0.018,0.007,0.046,3.705,3.522,1.479,7.821,0.111,2.652,0.632,4.463
Ov9433_rep2_Dep6_Tu10,1.428,1.460,0.460,7.994,7.148,8.599,5.892,3.428,8.856,3.635,2.410,3.445,0.102,1.717,0.221,1.978,2.417,1.703,0.181,0.346,0.027,0.815,0.977,0.201,0.367,0.419,0.306,0.053,0.265,0.028,0.131,0.215,4.859,2.298,2.815,0.033,3.892,5.446,0.309,13.122
