Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Ov9433_rep10_Dep6_Tu5,2.050,0.853,1.879,0.000,4.369,2.474,3.941,0.000,0.000,10.763,7.435,2.838,63.397
Ov9433_rep6_Dep6_Tu20,3.618,1.922,3.353,2.413,6.785,4.051,3.813,0.000,0.000,8.369,5.130,3.518,57.027
Ov9433_rep8_Dep6_Tu5,2.354,0.845,1.869,0.000,3.530,2.771,3.736,0.000,0.000,9.883,7.863,3.719,63.430
Ov9433_rep2_Dep6_Tu5,2.095,2.142,1.674,0.000,3.618,2.459,3.165,0.000,0.000,11.243,6.620,3.702,63.280
Ov9433_rep5_Dep6_Tu0.5,1.500,0.000,1.413,0.000,3.547,2.201,3.143,0.000,0.000,10.814,7.580,3.937,65.865
Ov9433_rep5_Dep6_Tu5,2.051,1.145,2.131,0.000,3.680,2.728,3.994,0.000,0.000,10.292,7.626,3.438,62.913
Ov9433_rep8_Dep6_Tu30,4.603,0.000,4.217,4.261,9.901,5.254,3.969,0.000,0.000,6.467,5.492,3.463,52.373
Ov9433_rep6_Dep6_Tu0.3,1.454,0.000,1.565,0.000,2.751,1.967,3.291,0.000,0.000,11.078,8.432,4.232,65.231
Ov9433_rep1_Dep6_Tu0.3,1.027,0.277,1.772,0.000,3.018,2.245,3.576,0.000,0.000,10.290,9.852,3.621,64.322
Ov9433_rep2_Dep6_Tu10,2.799,0.692,2.687,0.508,5.702,2.957,3.205,0.000,0.000,9.910,7.061,3.199,61.280
Ov9433_rep4_Dep6_Tu20,3.703,1.718,2.846,2.624,6.868,3.929,4.005,0.000,0.000,8.331,5.752,3.448,56.778
Ov9433_rep3_Dep6_Tu10,2.798,0.905,2.190,0.635,5.404,3.211,4.402,0.000,0.000,8.929,7.594,3.272,60.660
Ov9433_rep4_Dep6_Tu0.3,1.195,0.228,1.365,0.000,2.846,1.957,3.040,0.000,0.000,13.680,7.042,3.439,65.209
Ov9433_rep9_Dep6_Tu0.1,1.477,1.843,1.409,0.000,2.598,2.073,3.729,0.000,0.000,10.538,8.519,3.931,63.882
Ov9433_rep10_Dep6_Tu0.5,1.147,0.619,1.552,0.000,3.320,2.087,3.563,0.000,0.000,11.591,7.896,3.553,64.671
Ov9433_rep6_Dep6_Tu30,4.470,1.087,4.238,3.905,8.910,5.443,4.727,0.000,0.000,7.414,4.757,3.702,51.347
Ov9433_rep1_Dep6_Tu2,1.896,0.435,1.550,0.000,3.581,2.404,3.011,0.000,0.000,10.825,7.741,4.145,64.413
Ov9433_rep1_Dep6_Tu5,1.966,0.796,1.927,0.000,4.484,2.696,3.781,0.000,0.000,9.696,7.520,3.803,63.331
Ov9433_rep5_Dep6_Tu1,1.957,0.367,1.743,0.000,3.008,2.115,3.252,0.000,0.000,10.924,9.233,3.479,63.923
Ov9433_rep9_Dep6_Tu5,2.263,0.011,2.228,0.000,4.251,2.668,3.395,0.000,0.000,10.195,8.640,3.685,62.663
Ov9433_rep9_Dep6_Tu0.3,1.442,0.000,1.419,0.000,3.090,2.053,3.287,0.000,0.000,11.708,7.153,3.367,66.482
Ov9433_rep4_Dep6_Tu10,3.025,0.166,2.258,0.388,4.880,3.609,3.593,0.000,0.000,10.402,8.286,2.933,60.460
Ov9433_rep1_Dep6_Tu3,1.687,0.559,1.729,0.000,3.343,2.586,3.904,0.000,0.000,10.256,8.711,3.208,64.017
Ov9433_rep4_Dep6_Tu50,7.258,0.000,6.080,9.174,14.628,6.919,5.342,0.000,0.000,3.225,3.194,2.448,41.733
Ov9433_rep9_Dep6_Tu30,4.724,0.266,4.541,4.926,9.685,4.884,3.869,0.000,0.000,7.107,4.821,3.164,52.014
Ov9433_rep4_Dep6_Tu2,1.555,1.649,1.234,0.000,3.865,2.564,2.753,0.000,0.000,9.545,8.566,4.243,64.026
Ov9433_rep7_Dep6_Tu3,1.919,1.994,1.587,0.000,3.327,2.358,3.272,0.000,0.000,10.848,7.876,3.191,63.628
Ov9433_rep8_Dep6_Tu1,2.012,0.913,1.195,0.000,3.402,2.321,2.852,0.000,0.000,10.473,8.782,3.340,64.710
Ov9433_rep2_Dep6_Tu30,4.207,0.000,3.785,4.742,10.370,4.818,3.760,0.000,0.000,8.478,4.172,2.737,52.928
Ov9433_rep7_Dep6_Tu1,1.158,0.000,1.509,0.000,4.062,1.878,3.410,0.000,0.000,12.076,6.753,3.591,65.561
