Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Ov9433_rep10_Dep6_Tu5,2.076,1.143,7.085,3.165,6.515,0.617,0.943,5.588,4.111,0.454,1.335,5.851,1.070,0.947,0.181,0.873,0.718,1.233,0.013,0.982,0.859,0.366,0.410,0.030,0.097,0.066,0.415,0.022,0.068,0.002,0.360,1.362,0.672,0.135,0.770,0.355,0.118,0.787,0.773,0.039,3.274,2.142,7.738,4.900,0.011,5.747,16.165,4.094,2.648,0.672
Ov9433_rep6_Dep6_Tu20,1.212,1.617,4.111,1.257,4.499,3.160,5.043,2.362,3.283,0.903,4.503,0.381,0.788,0.659,1.072,0.001,0.645,0.125,1.000,1.044,0.934,0.179,1.047,0.302,0.219,0.084,0.681,1.015,0.844,1.950,0.328,1.023,2.202,1.879,1.253,0.387,0.523,0.784,0.171,1.624,4.754,5.170,0.636,7.708,1.869,1.851,6.078,8.968,5.820,2.054
Ov9433_rep8_Dep6_Tu5,2.800,1.939,6.496,4.893,1.728,0.994,7.296,3.695,5.685,2.170,3.704,2.427,1.806,0.778,0.508,1.148,0.120,0.166,0.254,1.132,0.735,0.710,0.276,0.015,0.001,0.068,0.361,0.002,0.229,0.087,0.279,0.745,1.236,0.416,1.785,0.546,0.345,0.600,0.030,0.247,2.379,0.287,8.358,10.337,2.250,3.701,5.084,0.702,6.942,1.508
Ov9433_rep2_Dep6_Tu5,2.638,2.470,6.796,6.773,5.685,2.204,0.801,3.882,3.624,2.235,1.382,0.960,0.181,0.538,0.672,0.263,0.158,0.563,0.044,0.703,0.756,0.554,0.916,0.003,0.066,0.008,0.003,0.004,0.028,0.192,0.176,0.996,1.090,0.238,1.058,0.231,0.407,0.522,0.400,0.072,0.098,1.532,9.939,0.994,16.703,6.365,2.502,1.096,9.162,1.316
Ov9433_rep5_Dep6_Tu0.5,0.039,1.021,5.397,5.747,7.610,4.704,3.460,7.123,1.361,1.106,2.203,3.413,0.787,0.603,0.654,0.411,0.748,0.239,0.079,0.232,0.559,0.449,0.771,0.000,0.040,0.048,0.163,0.004,0.008,0.000,0.019,0.023,0.830,0.867,0.397,0.436,0.216,0.004,0.032,0.220,0.712,0.674,6.741,4.203,7.380,1.604,10.637,8.945,1.075,6.008
Ov9433_rep5_Dep6_Tu5,0.454,1.958,1.428,4.144,2.529,6.932,3.884,1.894,8.828,1.982,2.075,3.789,1.874,0.123,0.572,1.132,1.592,0.891,0.179,1.606,0.475,1.417,0.491,0.001,0.112,0.018,0.031,0.000,0.026,0.001,0.012,0.947,0.967,0.534,1.926,0.001,0.145,0.711,0.044,0.257,0.640,1.724,5.777,7.213,4.307,5.583,1.047,8.967,6.683,2.076
Ov9433_rep8_Dep6_Tu30,3.593,0.160,3.725,2.426,3.032,0.849,3.838,3.088,1.171,2.702,0.875,0.433,0.010,1.004,0.199,0.424,0.966,0.828,0.522,0.810,0.680,0.299,0.607,0.778,0.488,0.676,2.012,0.903,2.811,1.157,1.197,0.049,0.546,3.345,2.454,1.558,1.607,0.856,1.045,0.386,15.281,4.598,2.848,1.070,9.307,4.171,3.186,0.613,2.113,2.704
Ov9433_rep6_Dep6_Tu0.3,1.882,2.091,1.030,4.924,5.429,6.143,7.200,4.763,4.799,5.250,5.214,3.616,0.790,1.299,0.043,0.600,0.251,0.902,0.054,1.103,0.582,0.009,0.417,0.000,0.033,0.026,0.023,0.001,0.006,0.000,0.024,0.031,0.534,0.861,1.367,0.147,0.138,0.172,0.226,0.159,0.366,2.371,13.631,2.390,1.898,8.093,2.053,4.433,0.590,2.035
Ov9433_rep1_Dep6_Tu0.3,0.912,1.620,2.821,8.164,1.725,9.883,6.288,5.604,0.731,3.478,4.160,1.728,0.891,0.883,0.336,1.334,1.029,0.487,0.172,0.754,0.574,0.598,0.613,0.000,0.007,0.002,0.004,0.000,0.000,0.000,0.104,0.088,0.515,0.239,0.552,0.015,0.071,0.195,0.131,0.198,0.154,2.768,3.749,8.493,2.676,1.801,10.782,10.216,1.948,0.506
Ov9433_rep2_Dep6_Tu10,1.683,0.361,3.406,2.253,4.237,1.593,1.403,7.934,6.058,1.556,4.194,3.169,0.921,0.798,0.380,0.789,0.491,0.535,0.688,0.631,0.513,0.385,0.403,0.111,0.183,0.039,0.290,0.030,0.033,0.111,0.302,1.654,0.851,1.164,2.063,0.216,0.443,0.392,0.244,0.381,5.495,3.161,8.075,1.528,3.227,5.735,8.946,0.588,3.927,6.431
Ov9433_rep4_Dep6_Tu20,0.201,0.264,0.874,5.864,2.165,3.575,1.934,2.956,0.996,2.874,2.685,3.463,1.324,0.943,1.510,0.265,1.079,0.835,1.112,1.150,0.726,1.138,0.604,0.662,0.582,0.839,1.388,0.476,0.247,0.626,0.595,0.272,0.583,0.223,3.141,0.117,0.739,0.493,0.748,1.044,2.270,11.286,4.152,4.355,4.840,2.236,2.748,4.177,7.407,5.219
Ov9433_rep3_Dep6_Tu10,1.254,0.415,7.079,0.539,8.839,9.128,2.623,0.533,1.280,3.582,0.156,1.071,0.579,0.619,0.678,0.823,1.038,0.828,0.281,0.238,1.331,0.028,0.848,0.238,0.245,0.245,0.125,0.099,0.260,0.143,0.287,0.605,1.447,1.281,1.350,0.678,0.020,0.850,0.259,0.682,1.062,2.828,0.123,5.646,0.633,0.428,13.224,4.825,9.277,9.351
Ov9433_rep4_Dep6_Tu0.3,0.734,0.381,5.176,7.766,0.037,3.807,9.014,6.066,2.343,5.654,0.741,3.710,1.580,1.044,0.183,0.683,0.856,1.091,0.567,0.102,0.482,0.840,0.668,0.000,0.027,0.024,0.029,0.000,0.003,0.000,0.033,0.386,0.140,0.102,1.037,0.043,0.452,0.491,0.261,0.335,0.003,0.881,5.349,6.490,1.628,8.544,5.603,7.549,1.989,5.073
Ov9433_rep9_Dep6_Tu0.1,1.895,2.761,4.127,0.302,5.891,9.495,0.794,2.825,7.768,4.049,1.299,3.259,0.465,2.362,1.064,1.081,1.461,0.021,0.690,0.118,0.506,0.545,1.455,0.000,0.069,0.004,0.007,0.000,0.001,0.000,0.015,0.403,0.027,2.424,2.737,0.093,0.097,0.187,0.128,0.121,0.299,2.530,12.456,3.493,4.534,5.124,8.527,2.065,0.309,0.121
Ov9433_rep10_Dep6_Tu0.5,0.150,2.633,9.712,4.252,2.681,0.689,9.393,0.098,9.546,3.270,1.048,4.575,1.409,0.174,0.738,0.312,1.092,0.169,0.389,0.116,0.599,1.502,0.469,0.000,0.007,0.013,0.019,0.000,0.005,0.000,0.005,0.316,0.387,1.642,0.960,0.254,0.006,0.367,0.070,0.114,0.298,1.143,1.329,0.985,5.240,9.048,11.010,5.827,5.688,0.251
