Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1
Ov9433_rep10_Dep6_Tu5,2.131,0.000,3.532,3.489,3.310,26.794,0.000,23.327,0.000,14.501,0.000,0.000,0.000,10.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.502,1.201,0.083,0.000,0.000,4.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep6_Dep6_Tu20,0.081,0.000,17.299,2.986,5.785,0.000,0.000,22.563,0.000,13.109,0.000,0.000,0.000,0.000,0.000,4.945,0.000,0.000,0.000,0.000,0.000,10.908,3.791,7.867,0.000,0.000,0.137,0.000,0.000,4.024,0.000,0.000,0.000,0.000,6.503,0.000,0.000,0.000,0.000,0.000
Ov9433_rep8_Dep6_Tu5,2.461,0.000,12.594,0.412,8.252,0.000,0.000,36.203,0.000,2.202,0.000,9.349,0.000,2.320,0.000,9.230,0.000,0.000,0.000,0.000,0.000,7.899,2.854,0.000,0.000,0.000,4.054,0.000,0.000,0.259,0.000,0.000,0.000,0.000,1.648,0.000,0.000,0.000,0.261,0.000
Ov9433_rep2_Dep6_Tu5,1.313,0.000,10.029,4.838,7.202,0.000,0.000,25.102,19.627,7.865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.565,0.742,0.000,0.000,0.000,0.827,0.000,0.000,1.127,0.000,0.000,0.000,0.000,1.762,0.000,0.000,0.000,0.000,0.000
Ov9433_rep5_Dep6_Tu0.5,0.260,0.000,42.847,15.874,0.000,0.000,0.000,12.000,0.660,9.195,0.000,3.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.312,1.755,1.837,0.000,0.000,1.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep5_Dep6_Tu5,5.547,0.000,8.165,1.083,1.210,0.000,0.000,35.182,13.545,4.185,0.000,9.014,0.000,0.000,0.000,2.606,0.000,0.000,0.000,0.000,0.000,6.505,7.831,0.000,0.000,0.000,4.865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.260,0.000,0.000,0.000,0.000,0.000
Ov9433_rep8_Dep6_Tu30,0.000,8.149,14.797,23.296,5.345,0.000,0.000,0.000,0.000,3.745,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.551,0.779,1.890,0.000,0.000,3.456,0.000,0.000,4.136,0.000,0.000,21.050,10.802,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep6_Dep6_Tu0.3,10.651,0.000,32.748,0.000,2.886,0.000,0.000,14.646,0.000,12.396,0.000,6.528,0.000,0.000,0.000,0.597,0.000,0.000,0.000,0.000,0.000,8.754,2.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.529,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep1_Dep6_Tu0.3,0.000,0.000,10.532,8.082,2.918,0.000,0.000,39.336,0.000,11.602,0.000,0.000,0.000,0.240,0.779,0.000,0.000,0.000,20.800,0.127,0.000,3.919,1.268,0.000,0.000,0.000,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.298,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep2_Dep6_Tu10,1.813,3.476,12.134,30.293,0.000,0.000,0.000,20.444,0.000,12.765,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.988,0.000,6.052,0.241,1.172,0.000,0.000,2.818,0.000,0.000,4.429,0.000,0.000,0.000,0.373,0.000,0.000,0.000,0.000,0.000,0.000
