Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1
Ov9433_rep10_Dep6_Tu5,4.055,0.000,28.095,1.727,0.000,23.036,2.736,0.000,0.000,13.866,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.000,14.562,0.036,0.000,0.000,0.000,0.000,0.000,0.429,5.371,4.076,0.000,1.963,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep6_Dep6_Tu20,3.421,9.536,21.355,0.079,0.000,0.000,7.674,0.000,0.000,10.934,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.411,7.177,0.000,0.000,0.000,0.000,0.000,4.171,13.317,3.895,0.000,0.000,5.029,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep8_Dep6_Tu5,7.545,0.000,32.482,2.071,0.000,0.000,11.387,10.554,0.000,1.391,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.485,0.000,22.471,0.000,0.000,0.000,0.000,0.000,0.000,0.524,8.776,1.444,0.000,0.000,0.732,0.000,0.000,0.000,0.134,0.000,0.000
Ov9433_rep2_Dep6_Tu5,18.268,0.000,23.395,0.432,0.000,0.000,7.259,0.000,8.294,5.876,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.940,0.000,0.000,0.000,0.000,0.000,0.000,1.248,19.612,4.600,0.000,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep5_Dep6_Tu0.5,5.044,0.000,12.831,0.287,0.000,0.000,0.000,2.154,0.336,9.558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.184,1.435,0.000,0.000,0.000,0.000,0.000,0.000,40.171,16.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep5_Dep6_Tu5,2.786,0.000,29.021,3.653,0.000,0.000,1.068,8.260,15.210,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.352,0.000,26.390,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.628,1.472,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.165
Ov9433_rep8_Dep6_Tu30,2.648,7.593,0.000,3.060,0.000,0.000,4.184,0.000,0.000,3.023,0.000,6.962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.711,0.000,0.000,1.385,0.000,0.000,0.000,0.000,0.000,3.776,19.683,21.157,25.818,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep6_Dep6_Tu0.3,6.438,0.000,13.933,0.000,0.000,0.000,3.037,4.093,0.000,9.957,0.000,0.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.356,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.714,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.209
Ov9433_rep1_Dep6_Tu0.3,1.060,7.607,39.398,0.000,0.000,0.000,2.328,0.000,0.000,8.615,0.000,0.239,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.267,0.000,21.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.777,9.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep2_Dep6_Tu10,0.000,6.910,21.574,1.241,0.000,0.000,0.000,0.000,0.000,11.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.769,1.452,0.000,0.000,0.000,0.000,0.000,4.135,14.028,25.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep4_Dep6_Tu20,6.100,0.000,21.224,12.145,0.000,0.000,4.916,23.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.308,0.000,10.740,3.198,0.000,0.000,0.000,0.000,0.000,2.563,9.766,5.753,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep3_Dep6_Tu10,0.000,19.932,43.551,0.065,0.000,0.000,6.181,0.000,0.000,8.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.000,7.861,2.943,0.000,0.000,0.000,0.000,0.000,1.446,8.545,1.178,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep4_Dep6_Tu0.3,0.000,4.156,19.684,0.065,0.000,0.000,4.197,0.000,0.000,11.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.951,25.897,0.000,0.000,0.289,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep9_Dep6_Tu0.1,3.195,0.646,44.426,1.532,0.000,0.176,0.851,0.000,0.000,5.752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.570,0.000,33.943,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.611,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.297
Ov9433_rep10_Dep6_Tu0.5,4.448,0.000,15.198,0.258,0.000,1.083,3.685,8.440,0.000,7.201,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.798,0.000,16.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.694,16.089,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep6_Dep6_Tu30,6.638,0.000,32.219,8.163,0.000,0.000,5.566,12.384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.830,4.208,0.157,0.000,0.000,0.000,16.513,0.304,0.000,0.000,0.000,0.000,1.016,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep1_Dep6_Tu2,4.940,4.943,10.523,0.523,0.000,0.000,0.000,0.000,0.000,9.013,0.000,0.256,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.986,0.000,9.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.543,32.870,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep1_Dep6_Tu5,4.579,0.000,13.902,0.869,0.000,34.121,0.000,0.815,0.000,6.474,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.829,0.000,20.539,0.000,0.000,0.000,0.000,0.000,0.000,0.504,15.894,1.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep5_Dep6_Tu1,6.781,0.000,14.986,0.178,0.000,0.000,0.072,0.000,18.386,6.556,0.696,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.000,32.378,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.331,5.583,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep9_Dep6_Tu5,8.006,0.000,13.692,0.272,0.000,0.000,1.403,0.000,17.229,6.270,0.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.457,0.000,30.818,0.003,0.000,0.000,0.000,0.000,0.000,0.444,16.178,4.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep9_Dep6_Tu0.3,9.129,0.000,32.204,0.000,0.000,13.243,1.398,2.395,0.000,10.279,0.000,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.540,0.000,0.000,0.000,0.000,0.000,0.000,0.006,20.141,2.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep4_Dep6_Tu10,7.304,0.000,34.542,0.000,0.000,0.000,0.000,3.838,0.000,11.725,0.000,13.991,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.827,3.684,0.000,0.000,0.000,0.000,0.000,0.384,11.265,8.436,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep1_Dep6_Tu3,0.000,13.097,38.036,0.000,0.000,2.219,2.783,0.000,0.000,11.541,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.679,0.060,0.000,0.000,0.000,0.000,0.000,0.250,9.370,4.963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep4_Dep6_Tu50,5.425,0.000,0.000,0.220,0.000,0.000,6.902,0.000,12.132,8.367,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.548,21.222,0.000,0.000,0.000,25.374,1.302,16.431,0.000,0.000,0.000,0.074,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep9_Dep6_Tu30,11.956,0.000,17.820,5.220,0.000,0.000,3.159,16.399,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.342,0.000,3.573,0.453,9.566,0.000,0.000,0.000,0.000,4.267,14.834,1.393,0.000,0.000,10.016,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep4_Dep6_Tu2,0.955,0.000,0.000,0.539,0.000,0.000,1.856,20.165,0.489,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.090,0.000,22.176,0.000,0.000,0.000,0.000,0.000,0.000,0.377,22.009,30.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep7_Dep6_Tu3,4.844,0.000,30.269,0.897,0.000,0.000,0.000,11.595,22.333,1.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.455,0.000,26.555,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.699,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep8_Dep6_Tu1,6.617,0.000,31.310,0.441,0.000,0.000,0.981,0.000,21.089,8.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.554,0.000,0.000,0.000,0.000,0.000,0.000,0.033,6.487,6.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.995
Ov9433_rep2_Dep6_Tu30,7.211,0.000,7.213,8.358,0.000,0.000,17.957,2.828,0.000,0.655,0.000,7.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.640,0.000,0.000,0.000,0.000,0.000,5.001,26.094,2.976,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ov9433_rep7_Dep6_Tu1,3.692,6.934,0.000,0.078,0.000,8.219,5.154,0.497,3.924,11.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.789,0.000,0.000,0.000,0.000,0.000,0.000,0.012,37.797,11.851,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
