Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Ov9433_rep10_Dep6_Tu5,0.106,2.131,0.970,0.102,1.381,1.955,1.940,3.489,0.318,1.995,4.822,2.638,5.932,6.416,6.164,8.215,6.037,0.365,10.119,8.960,9.295,11.990,4.660
Ov9433_rep6_Dep6_Tu20,1.354,3.849,1.242,3.541,4.345,2.249,0.468,2.223,1.484,2.644,6.411,2.554,6.897,0.973,12.437,3.224,3.712,13.570,4.069,9.300,4.983,2.203,6.268
Ov9433_rep8_Dep6_Tu5,0.074,1.818,1.453,0.566,1.234,1.510,2.212,2.925,1.331,3.592,4.182,3.643,11.477,6.025,7.908,12.033,0.853,6.155,10.327,7.236,11.981,1.104,0.361
Ov9433_rep2_Dep6_Tu5,0.013,0.786,0.796,0.209,2.061,1.100,2.174,1.710,1.732,5.765,1.948,1.863,12.793,5.810,6.418,6.356,10.955,7.649,7.910,9.103,0.234,8.264,4.353
Ov9433_rep5_Dep6_Tu0.5,0.124,0.101,0.910,0.001,1.258,0.390,2.042,1.445,0.916,2.973,3.748,1.265,15.420,7.181,4.393,7.832,11.706,8.817,6.509,8.745,2.251,10.574,1.397
Ov9433_rep5_Dep6_Tu5,0.029,0.641,0.472,0.022,4.227,1.022,2.499,3.288,1.798,1.693,6.080,2.845,6.613,1.603,4.326,12.842,10.040,10.811,1.563,1.876,10.878,13.161,1.673
Ov9433_rep8_Dep6_Tu30,4.871,7.170,0.714,5.406,2.998,1.781,2.451,1.113,1.027,2.557,1.951,1.290,2.984,2.315,2.410,7.808,7.651,8.599,2.438,13.439,5.450,0.800,12.776
Ov9433_rep6_Dep6_Tu0.3,0.030,0.392,0.527,0.002,2.021,0.141,1.801,1.626,3.023,3.410,11.648,2.026,1.544,13.695,1.831,3.554,21.546,12.327,7.085,5.667,2.443,2.647,1.013
Ov9433_rep1_Dep6_Tu0.3,0.030,0.312,0.052,0.009,0.867,0.227,2.896,4.028,2.843,2.644,8.572,1.490,5.804,17.027,0.110,0.054,13.480,12.387,2.482,12.307,0.582,8.983,2.814
Ov9433_rep2_Dep6_Tu10,0.384,1.853,0.498,1.166,3.073,2.233,1.616,1.180,2.231,1.213,6.056,2.241,9.947,1.336,13.654,1.334,9.738,5.595,9.916,8.273,5.835,7.094,3.534
Ov9433_rep4_Dep6_Tu20,4.243,1.311,1.092,1.828,1.622,0.046,2.942,0.541,2.959,2.630,6.377,3.785,9.343,10.828,8.150,8.571,1.206,0.836,7.970,6.762,3.196,3.052,10.709
Ov9433_rep3_Dep6_Tu10,1.328,1.425,1.303,0.794,1.509,0.983,2.984,0.151,1.120,7.497,3.397,2.056,1.431,0.147,2.304,5.512,0.456,11.406,9.007,21.126,17.363,1.418,5.283
Ov9433_rep4_Dep6_Tu0.3,0.089,0.972,0.312,0.003,0.165,0.712,2.440,2.421,2.663,1.901,6.328,2.119,12.576,13.122,5.499,0.075,13.397,4.270,8.747,3.850,6.141,11.267,0.930
Ov9433_rep9_Dep6_Tu0.1,0.004,0.685,0.253,0.000,2.916,0.213,1.327,3.249,2.077,3.235,6.926,4.042,11.107,4.944,2.970,10.655,6.378,2.752,4.712,0.027,21.910,8.307,1.311
Ov9433_rep10_Dep6_Tu0.5,0.035,0.481,0.577,0.003,0.748,0.264,3.453,1.179,1.721,2.640,8.312,2.404,8.847,9.822,5.807,3.508,9.178,8.459,3.975,12.509,5.156,9.802,1.121
Ov9433_rep6_Dep6_Tu30,1.589,3.975,0.961,4.922,7.910,1.243,1.988,2.813,0.629,4.442,4.529,2.188,5.915,5.545,2.316,7.455,4.917,2.844,6.976,3.793,3.669,0.542,18.837
Ov9433_rep1_Dep6_Tu2,0.114,1.453,0.597,0.002,1.265,1.340,0.607,2.255,2.321,2.264,6.444,1.940,0.975,12.501,4.314,3.576,3.220,6.894,6.084,21.778,11.033,8.563,0.461
Ov9433_rep1_Dep6_Tu5,0.276,0.468,0.986,0.022,3.464,0.715,1.920,1.719,3.153,5.885,4.165,0.608,9.204,1.339,5.743,12.251,6.837,2.673,2.765,12.465,10.273,11.263,1.806
Ov9433_rep5_Dep6_Tu1,0.009,0.961,0.849,0.000,1.323,0.436,2.652,2.847,0.553,5.768,8.949,3.301,0.146,5.672,3.046,6.667,18.838,7.712,9.890,5.775,10.897,1.949,1.759
Ov9433_rep9_Dep6_Tu5,0.277,1.156,0.090,0.754,4.136,0.316,2.972,1.918,2.928,5.826,0.848,2.775,9.246,2.585,5.586,11.763,10.951,16.082,2.012,5.531,9.692,1.963,0.593
Ov9433_rep9_Dep6_Tu0.3,0.031,0.290,0.634,0.000,1.080,1.147,0.338,1.595,2.122,1.557,8.376,1.595,4.575,14.145,7.609,5.547,15.847,5.046,12.767,8.775,0.103,6.087,0.736
Ov9433_rep4_Dep6_Tu10,2.618,1.382,0.717,0.227,2.742,2.110,1.691,0.301,1.897,3.745,8.849,1.559,3.069,10.498,4.373,6.395,4.640,9.515,6.736,16.310,1.745,1.432,7.447
Ov9433_rep1_Dep6_Tu3,0.066,0.795,0.471,0.010,1.300,1.060,2.181,0.934,0.452,4.604,9.617,2.585,15.445,16.672,2.747,11.496,1.508,0.727,6.069,7.938,5.145,5.290,2.891
Ov9433_rep4_Dep6_Tu50,16.676,0.607,0.516,10.134,4.523,1.396,2.547,1.282,0.915,2.732,2.411,1.140,1.886,3.359,10.045,11.390,1.998,1.256,1.452,1.265,1.992,0.805,19.674
Ov9433_rep9_Dep6_Tu30,2.845,6.481,0.590,4.267,1.314,0.083,2.437,1.197,0.038,4.305,5.790,3.147,4.300,11.249,0.989,4.741,0.081,7.461,0.814,7.559,5.137,1.719,23.456
Ov9433_rep4_Dep6_Tu2,0.020,0.483,0.357,0.096,1.948,0.436,2.094,1.720,2.856,1.138,12.498,2.589,1.776,6.510,6.278,5.429,8.968,2.359,4.891,11.036,12.329,10.892,3.297
Ov9433_rep7_Dep6_Tu3,0.192,1.813,0.733,0.006,0.046,0.939,3.034,3.017,0.253,4.401,6.332,2.980,0.129,4.351,4.169,3.989,5.389,9.015,8.741,7.983,14.632,16.853,1.003
Ov9433_rep8_Dep6_Tu1,0.038,0.568,0.594,0.001,2.595,0.764,0.135,1.119,1.938,4.091,6.835,4.440,8.616,5.294,5.213,6.074,5.888,5.439,12.990,14.209,6.961,5.209,0.991
Ov9433_rep2_Dep6_Tu30,13.011,4.812,0.521,3.027,2.471,1.218,0.450,1.309,0.380,2.485,2.279,1.173,1.649,0.273,24.726,1.283,0.379,5.704,2.352,12.532,6.130,0.167,11.668
Ov9433_rep7_Dep6_Tu1,0.017,0.252,0.416,0.010,1.450,0.535,1.450,1.632,0.855,3.422,6.861,2.096,7.545,1.532,12.394,3.194,11.828,6.888,1.675,15.053,10.953,9.842,0.099
Ov9433_rep6_Dep6_Tu3,0.087,0.284,0.641,0.066,0.303,0.965,3.309,1.797,1.274,4.351,5.821,1.766,11.239,0.812,2.216,12.822,8.726,4.587,3.478,3.420,10.286,18.701,3.049
Ov9433_rep8_Dep6_Tu0.3,0.057,0.149,0.702,0.002,0.047,1.077,0.858,2.466,1.035,2.037,9.640,1.638,9.290,14.245,3.902,1.831,7.860,4.325,8.462,21.409,2.608,4.603,1.762
Ov9433_rep5_Dep6_Tu3,0.254,0.909,0.637,0.017,2.076,1.275,1.223,1.384,1.634,3.407,6.663,3.576,13.419,6.811,8.545,0.275,0.099,16.176,0.560,17.002,1.312,10.894,1.851
Ov9433_rep4_Dep6_Tu0.1,0.016,0.209,0.444,0.001,1.252,0.681,1.469,1.842,1.461,4.911,2.080,1.664,17.366,2.737,5.820,8.091,6.951,6.026,13.676,7.094,4.371,11.623,0.215
Ov9433_rep2_Dep6_Tu40,12.527,2.168,1.375,5.043,0.351,1.382,2.534,1.743,2.613,1.275,5.829,0.348,0.964,2.906,0.772,20.324,0.746,4.036,1.479,4.084,2.260,0.628,24.614
Ov9433_rep2_Dep6_Tu20,3.894,2.871,1.789,1.704,0.742,2.149,4.106,3.268,1.118,0.208,4.493,1.986,4.238,7.086,10.539,12.728,2.386,6.543,2.591,5.570,8.209,0.750,11.032
Ov9433_rep10_Dep6_Tu3,0.056,0.331,0.433,0.541,0.396,0.514,1.187,2.977,0.836,4.740,9.012,2.988,12.597,6.080,2.166,4.943,6.454,10.705,1.015,8.623,12.013,7.434,3.958
Ov9433_rep4_Dep6_Tu3,0.009,1.048,1.078,0.007,3.472,0.419,1.222,2.255,2.345,3.784,2.658,2.890,7.768,6.888,5.120,2.782,2.534,11.353,12.552,7.392,15.178,4.924,2.323
Ov9433_rep2_Dep6_Tu3,0.029,0.719,0.255,0.129,4.843,0.849,1.233,1.818,0.933,7.626,6.979,2.039,8.871,1.914,8.291,7.061,4.432,0.606,5.657,15.797,10.086,7.427,2.403
Ov9433_rep3_Dep6_Tu50,13.760,4.136,1.715,8.695,1.918,0.740,0.894,1.025,0.267,1.849,1.268,0.812,0.498,3.740,15.058,0.438,1.456,1.214,7.954,4.232,2.683,4.348,21.299
Ov9433_rep6_Dep6_Tu2,0.009,0.368,0.495,0.032,2.371,0.549,1.498,0.149,3.820,3.524,5.371,2.814,15.497,10.591,5.637,12.909,10.528,1.680,10.131,0.484,1.699,8.786,1.060
Ov9433_rep1_Dep6_Tu30,3.522,6.460,0.253,3.543,2.253,3.582,3.148,0.316,2.020,2.206,2.217,0.193,5.436,3.835,17.060,6.891,4.502,8.848,7.344,0.949,2.762,1.742,10.917
Ov9433_rep9_Dep6_Tu40,11.192,5.554,1.989,8.549,1.468,0.445,1.430,1.729,1.479,2.471,3.402,0.844,2.521,2.747,10.297,3.164,4.932,8.006,5.925,4.347,4.048,1.865,11.598
Ov9433_rep8_Dep6_Tu0.1,0.006,0.095,0.189,0.000,2.944,0.926,2.819,1.018,1.975,3.868,8.715,3.147,11.420,4.737,5.857,5.006,3.383,5.018,18.276,2.244,0.743,16.770,0.841
Ov9433_rep7_Dep6_Tu0.5,0.012,0.156,0.373,0.001,3.456,0.365,1.640,2.390,2.364,4.708,6.613,1.065,13.747,1.227,5.866,2.933,10.335,8.426,13.344,9.673,5.079,6.074,0.153
