Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Ov9433_rep10_Dep6_Tu5,0.000,0.000,0.000,0.000,11.747,0.000,3.158,0.000,0.000,15.331,12.506,2.359,54.899
Ov9433_rep6_Dep6_Tu20,4.920,0.000,2.037,3.493,9.005,0.000,2.372,0.000,1.261,11.595,10.484,1.706,53.127
Ov9433_rep8_Dep6_Tu5,2.631,0.000,0.000,0.000,10.361,0.000,4.101,0.000,0.312,11.633,7.348,4.022,59.592
Ov9433_rep2_Dep6_Tu5,0.000,0.000,0.000,2.057,9.452,0.000,1.820,0.000,0.000,14.298,8.778,2.740,60.854
Ov9433_rep5_Dep6_Tu0.5,0.000,0.000,0.000,0.000,7.139,0.000,3.894,0.000,0.000,12.148,6.903,3.151,66.765
Ov9433_rep5_Dep6_Tu5,0.000,0.000,0.000,0.000,14.270,0.000,6.845,0.000,0.000,8.617,9.664,5.047,55.557
Ov9433_rep8_Dep6_Tu30,5.294,0.647,0.000,4.834,23.089,0.000,0.725,0.000,0.000,15.683,5.172,0.000,44.556
Ov9433_rep6_Dep6_Tu0.3,0.000,0.000,0.000,0.000,8.276,0.000,4.410,0.000,1.174,9.629,15.652,3.058,57.799
Ov9433_rep1_Dep6_Tu0.3,0.000,2.574,0.000,0.000,4.576,0.000,3.509,0.227,0.000,13.886,10.787,1.756,62.685
Ov9433_rep2_Dep6_Tu10,0.000,0.000,0.000,2.886,13.572,0.000,0.371,0.000,1.517,13.370,12.817,1.005,54.462
Ov9433_rep4_Dep6_Tu20,7.319,0.000,0.000,0.304,11.612,0.000,3.439,0.000,0.000,9.686,13.181,3.903,50.556
Ov9433_rep3_Dep6_Tu10,3.466,0.000,0.000,0.000,4.287,0.000,2.070,0.000,0.000,19.381,10.381,0.000,60.415
Ov9433_rep4_Dep6_Tu0.3,0.000,0.000,0.000,0.000,6.171,0.000,3.881,0.000,1.973,11.685,11.874,3.019,61.397
Ov9433_rep9_Dep6_Tu0.1,0.000,0.000,0.000,0.000,14.795,0.000,4.778,0.000,0.378,11.829,9.771,4.959,53.491
Ov9433_rep10_Dep6_Tu0.5,0.000,0.000,0.000,0.000,8.941,0.000,5.307,0.000,0.000,13.275,10.722,1.441,60.314
Ov9433_rep6_Dep6_Tu30,4.646,0.000,0.000,5.605,24.876,0.000,2.622,0.000,0.000,9.355,7.117,0.793,44.986
Ov9433_rep1_Dep6_Tu2,0.000,0.000,0.000,0.000,13.776,0.000,2.535,0.000,0.000,12.943,10.625,2.377,57.745
Ov9433_rep1_Dep6_Tu5,0.000,0.000,0.000,0.000,10.432,0.000,3.659,0.000,1.833,13.350,11.109,2.027,57.590
Ov9433_rep5_Dep6_Tu1,0.000,0.000,0.373,0.000,6.676,1.264,4.564,0.000,1.402,13.879,13.097,3.141,55.604
